origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,flags,duration_minutes,duration_display,raw_price,raw_text,status,status_message,created_at
SFO,DTW,2026-10-14,one-way,,,,06:00,13:36,DL772,DL,economy,0,web_award,delta,26200,,6.0,320.4,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,50.0,0.0,0.0,393.4,"delta_web_observation, fare_brand:delta_main, early departure",276,4h 36m,"26,200 miles + $6","DL772
DTW
Details
Seats
Delta Main
Actual Fare
26,200
miles
+
$
6
One-Way
Delta Comfort Classic
Actual Fare
39,900
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,06:00,13:36,DL772,DL,economy,0,web_award,delta,39900,,6.0,484.8,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,50.0,0.0,0.0,557.8,"delta_web_observation, fare_brand:delta_comfort, early departure",276,4h 36m,"39,900 miles + $6","DL772
$
6
One-Way
Delta Comfort Classic
Actual Fare
39,900
miles
+
$
6
One-Way
Delta First Classic
Actual Fare
75,400
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,06:00,13:36,DL772,DL,first,0,web_award,delta,75400,,6.0,910.8,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,50.0,0.0,0.0,983.8,"delta_web_observation, fare_brand:delta_first, early departure",276,4h 36m,"75,400 miles + $6","DL772
$
6
One-Way
Delta First Classic
Actual Fare
75,400
miles
+
$
6
One-Way
3 left at this price
Not Offered
Lowest Fare
Nonstop",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,11:35,19:11,DL361,DL,economy,0,web_award,delta,26200,,6.0,320.4,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,0.0,0.0,0.0,343.4,"delta_web_observation, fare_brand:delta_main",276,4h 36m,"26,200 miles + $6","DL361
DTW
Details
Seats
Delta Main
Actual Fare
26,200
miles
+
$
6
One-Way
Delta Comfort Classic
Actual Fare
44,400
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,11:35,19:11,DL361,DL,economy,0,web_award,delta,44400,,6.0,538.8,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,0.0,0.0,0.0,561.8,"delta_web_observation, fare_brand:delta_comfort",276,4h 36m,"44,400 miles + $6","DL361
$
6
One-Way
Delta Comfort Classic
Actual Fare
44,400
miles
+
$
6
One-Way
Delta First Classic
Actual Fare
97,800
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,11:35,19:11,DL361,DL,first,0,web_award,delta,97800,,6.0,1179.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,23.0,0.0,0.0,0.0,1202.6,"delta_web_observation, fare_brand:delta_first",276,4h 36m,"97,800 miles + $6","DL361
$
6
One-Way
Delta First Classic
Actual Fare
97,800
miles
+
$
6
One-Way
Not Offered
Lowest Fare
Nonstop
Free Wi-Fi for SkyMiles Members",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,14:25,22:00,DL940,DL,economy,0,web_award,delta,26200,,6.0,320.4,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,22.92,0.0,0.0,0.0,343.32,"delta_web_observation, fare_brand:delta_main",275,4h 35m,"26,200 miles + $6","DL940
DTW
Details
Seats
Delta Main
Actual Fare
26,200
miles
+
$
6
One-Way
Delta Comfort Classic
Actual Fare
39,900
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,14:25,22:00,DL940,DL,economy,0,web_award,delta,39900,,6.0,484.8,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,22.92,0.0,0.0,0.0,507.72,"delta_web_observation, fare_brand:delta_comfort",275,4h 35m,"39,900 miles + $6","DL940
$
6
One-Way
Delta Comfort Classic
Actual Fare
39,900
miles
+
$
6
One-Way
Delta First Classic
Actual Fare
60,400
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,14:25,22:00,DL940,DL,first,0,web_award,delta,60400,,6.0,730.8,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,22.92,0.0,0.0,0.0,753.72,"delta_web_observation, fare_brand:delta_first",275,4h 35m,"60,400 miles + $6","DL940
$
6
One-Way
Delta First Classic
Actual Fare
60,400
miles
+
$
6
One-Way
2 left at this price
Not Offered
Lowest Fare
Nonstop",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
SFO,DTW,2026-10-14,one-way,,,,22:45,06:20,DL335,DL,economy,0,web_award,delta,26200,,6.0,320.4,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-10-14_economy_one_way/browser_delta_sfo_dtw_2026-10-14_economy_one_way.png,0.0,22.92,75.0,0.0,0.0,418.32,"delta_web_observation, fare_brand:delta_main, late departure",275,4h 35m,"26,200 miles + $6","DL335
DTW
Details
Seats
Delta Main
Actual Fare
26,200
miles
+
$
6
One-Way
Delta Comfort Classic
Actual Fare
39,900
miles",observed,"Skip to Main Content
SFO - DTW
One Way
Oct 14
1 Passenger
Modify
Sign Up
Log in
3
One Way
SFO
DTW
Wed, Oct 14, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Limited Time Offer
Earn a we",2026-06-12T06:32:08.879Z
