origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,flags,duration_minutes,duration_display,raw_price,raw_text,status,status_message,created_at
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,06:00,13:36,DL772,DL,economy,0,web_award,delta,86800,,12.0,1053.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,50.0,0.0,0.0,1126.6,"delta_web_observation, fare_brand:delta_main, early departure",276,4h 36m,"86,800 miles + $12","DL772
Details
Seats
Delta Main Classic
From
Actual Fare
86,800
miles
+
$
12
Round Trip
Delta Comfort Classic
From
Actual Fare
103,100",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,06:00,13:36,DL772,DL,economy,0,web_award,delta,103100,,12.0,1249.2,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,50.0,0.0,0.0,1322.2,"delta_web_observation, fare_brand:delta_comfort, early departure",276,4h 36m,"103,100 miles + $12","DL772
12
Round Trip
Delta Comfort Classic
From
Actual Fare
103,100
miles
+
$
12
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,06:00,13:36,DL772,DL,first,0,web_award,delta,249600,,12.0,3007.2,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,50.0,0.0,0.0,3080.2,"delta_web_observation, fare_brand:delta_first, early departure",276,4h 36m,"249,600 miles + $12","DL772
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare
249,600
miles
+
$
12
Round Trip
Not Offered
Nonstop
Free Wi-Fi for SkyMiles Members
DL361",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,11:35,19:11,DL361,DL,economy,0,web_award,delta,98800,,12.0,1197.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,0.0,0.0,0.0,1220.6,"delta_web_observation, fare_brand:delta_main",276,4h 36m,"98,800 miles + $12","DL361
Details
Seats
Delta Main Classic
From
Actual Fare
98,800
miles
+
$
12
Round Trip
Delta Comfort Classic
From
Actual Fare
115,000",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,11:35,19:11,DL361,DL,economy,0,web_award,delta,115000,,12.0,1392.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,0.0,0.0,0.0,1415.0,"delta_web_observation, fare_brand:delta_comfort",276,4h 36m,"115,000 miles + $12","DL361
12
Round Trip
Delta Comfort Classic
From
Actual Fare
115,000
miles
+
$
12
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,11:35,19:11,DL361,DL,first,0,web_award,delta,199800,,12.0,2409.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,23.0,0.0,0.0,0.0,2432.6,"delta_web_observation, fare_brand:delta_first",276,4h 36m,"199,800 miles + $12","DL361
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare
199,800
miles
+
$
12
Round Trip
Not Offered
Lowest Fare
Nonstop
Free Wi-Fi for SkyMiles Members",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,14:25,22:00,DL1927,DL,economy,0,web_award,delta,86800,,12.0,1053.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,22.92,0.0,0.0,0.0,1076.52,"delta_web_observation, fare_brand:delta_main",275,4h 35m,"86,800 miles + $12","DL1927
Details
Seats
Delta Main Classic
From
Actual Fare
86,800
miles
+
$
12
Round Trip
Delta Comfort Classic
From
Actual Fare
103,100",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,14:25,22:00,DL1927,DL,economy,0,web_award,delta,103100,,12.0,1249.2,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,22.92,0.0,0.0,0.0,1272.12,"delta_web_observation, fare_brand:delta_comfort",275,4h 35m,"103,100 miles + $12","DL1927
12
Round Trip
Delta Comfort Classic
From
Actual Fare
103,100
miles
+
$
12
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,14:25,22:00,DL1927,DL,first,0,web_award,delta,148100,,12.0,1789.2,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,22.92,0.0,0.0,0.0,1812.12,"delta_web_observation, fare_brand:delta_first",275,4h 35m,"148,100 miles + $12","DL1927
Round Trip
5 left at this price
Delta First Classic
From
Actual Fare
148,100
miles
+
$
12
Round Trip
4 left at this price
Not Offered
Lowest Fare
Nonstop",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
SFO,DTW,2026-11-13,round-trip,DTW,SFO,2026-11-29,22:45,06:20,DL335,DL,economy,0,web_award,delta,86800,,12.0,1053.6,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/award_web/data/raw/delta/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip/browser_delta_sfo_dtw_2026-11-13_dtw_sfo_2026-11-29_economy_round_trip.png,0.0,22.92,75.0,0.0,0.0,1151.52,"delta_web_observation, fare_brand:delta_main, late departure",275,4h 35m,"86,800 miles + $12","DL335
Details
Seats
Delta Main Classic
From
Actual Fare
86,800
miles
+
$
12
Round Trip
Delta Comfort Classic
From
Actual Fare
103,100",observed,"Skip to Main Content
SFO - DTW
Round Trip
Nov 13 - 29
1 Passenger
Modify
Sign Up
Log in
3
Outbound
SFO
DTW
Fri, Nov 13, 2026
Show Price In, changes will reload the page
Show Price In
$USD
Miles
Miles + Cash
Sort & Filter
Extra: Maximum Flex",2026-06-12T06:37:47.371Z
