origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '15:56', 'arrive_time': '22:32 +1', 'flight_numbers': 'AA 2652 / AA 364', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1956, 'duration_display': '32h 36m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '15:56', 'arrive_time': '19:05', 'airline': 'AA', 'flight_number': '2652', 'aircraft': 'Airbus A321', 'duration_minutes': 189}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '21:00', 'arrive_time': '22:32', 'airline': 'AA', 'flight_number': '364', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 1555, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,15:56,22:32 +1,AA 2652 / AA 364,AA,1,1956,32h 36m,,,,,,,,15:56,22:32 +1,AA 2652 / AA 364,AA,economy,1,cash,fli,,430.0,430.0,USD,,430.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,50.0,163.0,0.0,75.0,718.0,next_day_arrival,1,True,,1956,32h 36m,USD 430.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '08:00', 'arrive_time': '13:40 +1', 'flight_numbers': 'AA 316 / AA 2834', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1900, 'duration_display': '31h 40m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '08:00', 'arrive_time': '11:01', 'airline': 'AA', 'flight_number': '316', 'aircraft': 'Boeing 737', 'duration_minutes': 181}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '12:08', 'arrive_time': '13:40', 'airline': 'AA', 'flight_number': '2834', 'aircraft': 'Boeing 737', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 1507, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,08:00,13:40 +1,AA 316 / AA 2834,AA,1,1900,31h 40m,,,,,,,,08:00,13:40 +1,AA 316 / AA 2834,AA,economy,1,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,50.0,158.33,0.0,75.0,737.33,next_day_arrival,2,False,,1900,31h 40m,USD 454.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:05', 'arrive_time': '22:15', 'flight_numbers': 'WN 1018 / WN 1679', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 490, 'duration_display': '8h 10m', 'segments': [{'origin': 'CUN', 'destination': 'DEN', 'depart_time': '16:05', 'arrive_time': '19:10', 'airline': 'WN', 'flight_number': '1018', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 245}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '20:40', 'arrive_time': '22:15', 'airline': 'WN', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 155}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,16:05,22:15,WN 1018 / WN 1679,WN,1,490,8h 10m,,,,,,,,16:05,22:15,WN 1018 / WN 1679,WN,economy,1,cash,fli,,652.0,652.0,USD,,652.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,50.0,40.83,0.0,0.0,742.83,,34,False,,490,8h 10m,USD 652.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '20:57', 'flight_numbers': 'UA 1059 / UA 2168 / UA 2745', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 906, 'duration_display': '15h 6m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 301, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,2,906,15h 6m,,,,,,,,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,economy,2,cash,fli,,570.0,570.0,USD,,570.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,75.5,0.0,0.0,745.5,,15,False,,906,15h 6m,USD 570.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:56', 'arrive_time': '22:13', 'flight_numbers': 'AM 511 / AM 642 / DL 3073', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 977, 'duration_display': '16h 17m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '07:56', 'arrive_time': '09:15', 'airline': 'AM', 'flight_number': '511', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}, {'origin': 'MEX', 'destination': 'LAX', 'depart_time': '13:45', 'arrive_time': '16:47', 'airline': 'AM', 'flight_number': '642', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 242}, {'origin': 'LAX', 'destination': 'SJC', 'depart_time': '20:59', 'arrive_time': '22:13', 'airline': 'DL', 'flight_number': '3073', 'aircraft': 'Airbus A319', 'duration_minutes': 74}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 270, 'overnight': False, 'change_of_airport': False}, {'airport': 'LAX', 'duration_minutes': 252, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,07:56,22:13,AM 511 / AM 642 / DL 3073,"AM, DL",2,977,16h 17m,,,,,,,,07:56,22:13,AM 511 / AM 642 / DL 3073,"AM, DL",economy,2,cash,fli,,574.0,574.0,USD,,574.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,81.42,0.0,0.0,755.42,,20,False,,977,16h 17m,USD 574.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:38', 'arrive_time': '23:44', 'flight_numbers': 'AM 527 / DL 642 / DL 1272', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 786, 'duration_display': '13h 6m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '12:38', 'arrive_time': '14:05', 'airline': 'AM', 'flight_number': '527', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 147}, {'origin': 'MEX', 'destination': 'SLC', 'depart_time': '15:15', 'arrive_time': '19:28', 'airline': 'DL', 'flight_number': '642', 'aircraft': 'Airbus A319', 'duration_minutes': 253}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 70, 'overnight': False, 'change_of_airport': False}, {'airport': 'SLC', 'duration_minutes': 202, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,12:38,23:44,AM 527 / DL 642 / DL 1272,"AM, DL",2,786,13h 6m,,,,,,,,12:38,23:44,AM 527 / DL 642 / DL 1272,"AM, DL",economy,2,cash,fli,,549.0,549.0,USD,,549.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,65.5,50.0,0.0,764.5,late arrival,10,False,,786,13h 6m,USD 549.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '11:16', 'arrive_time': '23:44', 'flight_numbers': 'AM 523 / DL 642 / DL 1272', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 868, 'duration_display': '14h 28m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '11:16', 'arrive_time': '12:45', 'airline': 'AM', 'flight_number': '523', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 149}, {'origin': 'MEX', 'destination': 'SLC', 'depart_time': '15:15', 'arrive_time': '19:28', 'airline': 'DL', 'flight_number': '642', 'aircraft': 'Airbus A319', 'duration_minutes': 253}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 150, 'overnight': False, 'change_of_airport': False}, {'airport': 'SLC', 'duration_minutes': 202, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,11:16,23:44,AM 523 / DL 642 / DL 1272,"AM, DL",2,868,14h 28m,,,,,,,,11:16,23:44,AM 523 / DL 642 / DL 1272,"AM, DL",economy,2,cash,fli,,549.0,549.0,USD,,549.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,72.33,50.0,0.0,771.33,late arrival,9,False,,868,14h 28m,USD 549.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '09:11', 'arrive_time': '23:44', 'flight_numbers': 'AM 515 / DL 642 / DL 1272', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 993, 'duration_display': '16h 33m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '09:11', 'arrive_time': '10:30', 'airline': 'AM', 'flight_number': '515', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}, {'origin': 'MEX', 'destination': 'SLC', 'depart_time': '15:15', 'arrive_time': '19:28', 'airline': 'DL', 'flight_number': '642', 'aircraft': 'Airbus A319', 'duration_minutes': 253}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 285, 'overnight': False, 'change_of_airport': False}, {'airport': 'SLC', 'duration_minutes': 202, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,09:11,23:44,AM 515 / DL 642 / DL 1272,"AM, DL",2,993,16h 33m,,,,,,,,09:11,23:44,AM 515 / DL 642 / DL 1272,"AM, DL",economy,2,cash,fli,,549.0,549.0,USD,,549.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,82.75,50.0,0.0,781.75,late arrival,8,False,,993,16h 33m,USD 549.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '11:16', 'arrive_time': '22:13', 'flight_numbers': 'AM 523 / AM 642 / DL 3073', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 777, 'duration_display': '12h 57m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '11:16', 'arrive_time': '12:45', 'airline': 'AM', 'flight_number': '523', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 149}, {'origin': 'MEX', 'destination': 'LAX', 'depart_time': '13:45', 'arrive_time': '16:47', 'airline': 'AM', 'flight_number': '642', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 242}, {'origin': 'LAX', 'destination': 'SJC', 'depart_time': '20:59', 'arrive_time': '22:13', 'airline': 'DL', 'flight_number': '3073', 'aircraft': 'Airbus A319', 'duration_minutes': 74}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 60, 'overnight': False, 'change_of_airport': False}, {'airport': 'LAX', 'duration_minutes': 252, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,11:16,22:13,AM 523 / AM 642 / DL 3073,"AM, DL",2,777,12h 57m,,,,,,,,11:16,22:13,AM 523 / AM 642 / DL 3073,"AM, DL",economy,2,cash,fli,,622.0,622.0,USD,,622.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,64.75,0.0,0.0,786.75,,22,False,,777,12h 57m,USD 622.00,
CUN,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:56', 'arrive_time': '23:44', 'flight_numbers': 'AM 511 / DL 642 / DL 1272', 'carriers': 'AM, DL', 'stops': 2, 'duration_minutes': 1068, 'duration_display': '17h 48m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '07:56', 'arrive_time': '09:15', 'airline': 'AM', 'flight_number': '511', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}, {'origin': 'MEX', 'destination': 'SLC', 'depart_time': '15:15', 'arrive_time': '19:28', 'airline': 'DL', 'flight_number': '642', 'aircraft': 'Airbus A319', 'duration_minutes': 253}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 360, 'overnight': False, 'change_of_airport': False}, {'airport': 'SLC', 'duration_minutes': 202, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",CUN,SJC,2026-09-07,07:56,23:44,AM 511 / DL 642 / DL 1272,"AM, DL",2,1068,17h 48m,,,,,,,,07:56,23:44,AM 511 / DL 642 / DL 1272,"AM, DL",economy,2,cash,fli,,549.0,549.0,USD,,549.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/cun_sjc_2026-09-07_economy_fli_raw.json,100.0,89.0,50.0,0.0,788.0,late arrival,7,False,,1068,17h 48m,USD 549.00,
