origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,06:00,13:36,DL 772,DL,0,276,4h 36m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,349.0,349.0,USD,,349.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,375.5,,1,True,,318,5h 18m,USD 349.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '22:45', 'arrive_time': '06:20 +1', 'flight_numbers': 'DL 335', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 275, 'duration_display': '4h 35m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '22:45', 'arrive_time': '06:20', 'airline': 'DL', 'flight_number': '335', 'aircraft': 'Boeing 737', 'duration_minutes': 275}], 'layovers': []}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,22:45,06:20 +1,DL 335,DL,0,275,4h 35m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,384.0,384.0,USD,,384.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,410.5,,2,False,,318,5h 18m,USD 384.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '00:40', 'arrive_time': '11:39', 'flight_numbers': 'DL 2789 / DL 1433', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 479, 'duration_display': '7h 59m', 'segments': [{'origin': 'SFO', 'destination': 'MSP', 'depart_time': '00:40', 'arrive_time': '06:20', 'airline': 'DL', 'flight_number': '2789', 'aircraft': 'Boeing 737', 'duration_minutes': 220}, {'origin': 'MSP', 'destination': 'DTW', 'depart_time': '08:50', 'arrive_time': '11:39', 'airline': 'DL', 'flight_number': '1433', 'aircraft': 'Airbus A321', 'duration_minutes': 109}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 150, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,00:40,11:39,DL 2789 / DL 1433,DL,1,479,7h 59m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,3,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:00', 'arrive_time': '15:14', 'flight_numbers': 'DL 1331 / DL 2236', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 374, 'duration_display': '6h 14m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Boeing 737', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'DTW', 'depart_time': '09:40', 'arrive_time': '15:14', 'airline': 'DL', 'flight_number': '2236', 'aircraft': 'Boeing 737', 'duration_minutes': 214}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,06:00,15:14,DL 1331 / DL 2236,DL,1,374,6h 14m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,4,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:00', 'arrive_time': '17:09', 'flight_numbers': 'DL 570 / DL 1005', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 489, 'duration_display': '8h 9m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '06:00', 'arrive_time': '13:39', 'airline': 'DL', 'flight_number': '570', 'aircraft': 'Boeing 737', 'duration_minutes': 279}, {'origin': 'ATL', 'destination': 'DTW', 'depart_time': '15:10', 'arrive_time': '17:09', 'airline': 'DL', 'flight_number': '1005', 'aircraft': 'Airbus A321', 'duration_minutes': 119}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 91, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,06:00,17:09,DL 570 / DL 1005,DL,1,489,8h 9m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,5,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:00', 'arrive_time': '18:48', 'flight_numbers': 'DL 570 / DL 2067', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 588, 'duration_display': '9h 48m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '06:00', 'arrive_time': '13:39', 'airline': 'DL', 'flight_number': '570', 'aircraft': 'Boeing 737', 'duration_minutes': 279}, {'origin': 'ATL', 'destination': 'DTW', 'depart_time': '16:50', 'arrive_time': '18:48', 'airline': 'DL', 'flight_number': '2067', 'aircraft': 'Airbus A321', 'duration_minutes': 118}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 191, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,06:00,18:48,DL 570 / DL 2067,DL,1,588,9h 48m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,6,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '06:15', 'arrive_time': '15:30', 'flight_numbers': 'DL 2178 / DL 1519', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SFO', 'destination': 'MSP', 'depart_time': '06:15', 'arrive_time': '11:57', 'airline': 'DL', 'flight_number': '2178', 'aircraft': 'Boeing 737', 'duration_minutes': 222}, {'origin': 'MSP', 'destination': 'DTW', 'depart_time': '12:45', 'arrive_time': '15:30', 'airline': 'DL', 'flight_number': '1519', 'aircraft': 'Airbus A321', 'duration_minutes': 105}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 48, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,06:15,15:30,DL 2178 / DL 1519,DL,1,375,6h 15m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,7,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '07:30', 'arrive_time': '20:13', 'flight_numbers': 'DL 640 / DL 1478', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 583, 'duration_display': '9h 43m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '07:30', 'arrive_time': '15:10', 'airline': 'DL', 'flight_number': '640', 'aircraft': 'Boeing 737', 'duration_minutes': 280}, {'origin': 'ATL', 'destination': 'DTW', 'depart_time': '18:12', 'arrive_time': '20:13', 'airline': 'DL', 'flight_number': '1478', 'aircraft': 'Airbus A321', 'duration_minutes': 121}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 182, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,07:30,20:13,DL 640 / DL 1478,DL,1,583,9h 43m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,8,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '09:53', 'arrive_time': '20:38', 'flight_numbers': 'DL 381 / DL 2736', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 465, 'duration_display': '7h 45m', 'segments': [{'origin': 'SFO', 'destination': 'AUS', 'depart_time': '09:53', 'arrive_time': '15:33', 'airline': 'DL', 'flight_number': '381', 'aircraft': 'Airbus A319', 'duration_minutes': 220}, {'origin': 'AUS', 'destination': 'DTW', 'depart_time': '16:40', 'arrive_time': '20:38', 'airline': 'DL', 'flight_number': '2736', 'aircraft': 'Airbus A319', 'duration_minutes': 178}], 'layovers': [{'airport': 'AUS', 'duration_minutes': 67, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,09:53,20:38,DL 381 / DL 2736,DL,1,465,7h 45m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,9,False,,318,5h 18m,USD 454.00,
DTW,SFO,2027-01-07,round-trip,SFO,DTW,2027-01-14,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SFO', 'date': '2027-01-07', 'depart_time': '08:25', 'arrive_time': '10:43', 'flight_numbers': 'DL 361', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 318, 'duration_display': '5h 18m', 'segments': [{'origin': 'DTW', 'destination': 'SFO', 'depart_time': '08:25', 'arrive_time': '10:43', 'airline': 'DL', 'flight_number': '361', 'aircraft': 'Boeing 737', 'duration_minutes': 318}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'SFO', 'destination': 'DTW', 'date': '2027-01-14', 'depart_time': '11:05', 'arrive_time': '23:06', 'flight_numbers': 'DL 1715 / DL 708', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 541, 'duration_display': '9h 1m', 'segments': [{'origin': 'SFO', 'destination': 'LAX', 'depart_time': '11:05', 'arrive_time': '12:37', 'airline': 'DL', 'flight_number': '1715', 'aircraft': 'Boeing 737', 'duration_minutes': 92}, {'origin': 'LAX', 'destination': 'DTW', 'depart_time': '15:36', 'arrive_time': '23:06', 'airline': 'DL', 'flight_number': '708', 'aircraft': 'Airbus A321neo', 'duration_minutes': 270}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 179, 'overnight': False, 'change_of_airport': False}]}}",DTW,SFO,2027-01-07,08:25,10:43,DL 361,DL,0,318,5h 18m,11:05,23:06,DL 1715 / DL 708,DL,1,541,9h 1m,08:25,10:43,DL 361,DL,economy,0,cash,fli,,454.0,454.0,USD,,454.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sfo_2027-01-07_sfo_dtw_2027-01-14_economy_round_trip_fli_raw.json,0.0,26.5,0.0,0.0,480.5,,10,False,,318,5h 18m,USD 454.00,
