origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '14:40', 'flight_numbers': 'WN 1076 / WN 2445', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 420, 'duration_display': '7h'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,10:40,14:40,WN 1076 / WN 2445,WN,1,420,7h,,,,,,,,10:40,14:40,WN 1076 / WN 2445,WN,economy,1,cash,fli,,367.0,367.0,USD,,367.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,35.0,0.0,0.0,452.0,,2,False,,420,7h,USD 367.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '06:05', 'arrive_time': '13:45', 'flight_numbers': 'WN 1874 / WN 1796', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 640, 'duration_display': '10h 40m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,06:05,13:45,WN 1874 / WN 1796,WN,1,640,10h 40m,,,,,,,,06:05,13:45,WN 1874 / WN 1796,WN,economy,1,cash,fli,,372.0,372.0,USD,,372.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,53.33,50.0,0.0,525.33,early departure,6,False,,640,10h 40m,USD 372.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '16:50', 'flight_numbers': 'WN 1076 / WN 4556', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 550, 'duration_display': '9h 10m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,10:40,16:50,WN 1076 / WN 4556,WN,1,550,9h 10m,,,,,,,,10:40,16:50,WN 1076 / WN 4556,WN,economy,1,cash,fli,,434.0,434.0,USD,,434.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,45.83,0.0,0.0,529.83,,10,False,,550,9h 10m,USD 434.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '12:50', 'arrive_time': '19:45', 'flight_numbers': 'WN 971 / WN 2740', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 595, 'duration_display': '9h 55m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,12:50,19:45,WN 971 / WN 2740,WN,1,595,9h 55m,,,,,,,,12:50,19:45,WN 971 / WN 2740,WN,economy,1,cash,fli,,434.0,434.0,USD,,434.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,49.58,0.0,0.0,533.58,,11,False,,595,9h 55m,USD 434.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '20:35', 'flight_numbers': 'WN 1076 / WN 4451 / WN 4451', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 775, 'duration_display': '12h 55m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,10:40,20:35,WN 1076 / WN 4451 / WN 4451,WN,2,775,12h 55m,,,,,,,,10:40,20:35,WN 1076 / WN 4451 / WN 4451,WN,economy,2,cash,fli,,378.0,378.0,USD,,378.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,100.0,64.58,0.0,0.0,542.58,,8,False,,775,12h 55m,USD 378.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:25', 'arrive_time': '21:45', 'flight_numbers': 'WN 1877 / WN 3564 / WN 356', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 980, 'duration_display': '16h 20m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,08:25,21:45,WN 1877 / WN 3564 / WN 356,WN,2,980,16h 20m,,,,,,,,08:25,21:45,WN 1877 / WN 3564 / WN 356,WN,economy,2,cash,fli,,364.0,364.0,USD,,364.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,100.0,81.67,0.0,0.0,545.67,,1,True,,980,16h 20m,USD 364.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '10:40', 'arrive_time': '19:10', 'flight_numbers': 'WN 1076 / WN 879', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 690, 'duration_display': '11h 30m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,10:40,19:10,WN 1076 / WN 879,WN,1,690,11h 30m,,,,,,,,10:40,19:10,WN 1076 / WN 879,WN,economy,1,cash,fli,,439.0,439.0,USD,,439.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,57.5,0.0,0.0,546.5,,17,False,,690,11h 30m,USD 439.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:25', 'arrive_time': '12:40', 'flight_numbers': 'WN 1877 / WN 3035', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 435, 'duration_display': '7h 15m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,08:25,12:40,WN 1877 / WN 3035,WN,1,435,7h 15m,,,,,,,,08:25,12:40,WN 1877 / WN 3035,WN,economy,1,cash,fli,,467.0,467.0,USD,,467.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,50.0,36.25,0.0,0.0,553.25,,26,False,,435,7h 15m,USD 467.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:25', 'arrive_time': '22:50', 'flight_numbers': 'WN 1877 / WN 3564 / WN 2447', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 1045, 'duration_display': '17h 25m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,08:25,22:50,WN 1877 / WN 3564 / WN 2447,WN,2,1045,17h 25m,,,,,,,,08:25,22:50,WN 1877 / WN 3564 / WN 2447,WN,economy,2,cash,fli,,369.0,369.0,USD,,369.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,100.0,87.08,0.0,0.0,556.08,,3,False,,1045,17h 25m,USD 369.00,
DTW,SJC,2026-11-30,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '06:05', 'arrive_time': '12:10', 'flight_numbers': 'WN 1874 / WN 1764 / WN 1764', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 545, 'duration_display': '9h 5m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",DTW,SJC,2026-11-30,06:05,12:10,WN 1874 / WN 1764 / WN 1764,WN,2,545,9h 5m,,,,,,,,06:05,12:10,WN 1874 / WN 1764 / WN 1764,WN,economy,2,cash,fli,,372.0,372.0,USD,,372.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/dtw_sjc_2026-11-30_economy_fli_raw.json,100.0,45.42,50.0,0.0,567.42,early departure,4,False,,545,9h 5m,USD 372.00,
