origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '21:25', 'arrive_time': '23:40', 'airline': 'AS', 'flight_number': '411', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,,,,,,,,20:01,23:40,AS 2292 / AS 411,AS,economy,1,cash,fli,,364.0,364.0,USD,,364.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,23.25,50.0,0.0,487.25,late arrival,1,True,,279,4h 39m,USD 364.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:17', 'arrive_time': '17:50', 'flight_numbers': 'UA 2244', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 153, 'duration_display': '2h 33m', 'segments': [{'origin': 'FCA', 'destination': 'SFO', 'depart_time': '16:17', 'arrive_time': '17:50', 'airline': 'UA', 'flight_number': '2244', 'aircraft': 'Airbus A320', 'duration_minutes': 153}], 'layovers': []}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,16:17,17:50,UA 2244,UA,0,153,2h 33m,,,,,,,,16:17,17:50,UA 2244,UA,economy,0,cash,fli,,523.0,523.0,USD,,523.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,0.0,12.75,0.0,0.0,535.75,,23,False,,153,2h 33m,USD 523.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 2244 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 111, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,06:15,10:58,AS 2244 / AS 528,AS,1,343,5h 43m,,,,,,,,06:15,10:58,AS 2244 / AS 528,AS,economy,1,cash,fli,,435.0,435.0,USD,,435.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,28.58,50.0,0.0,563.58,early departure,6,False,,343,5h 43m,USD 435.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '09:37 +1', 'flight_numbers': 'AS 2292 / AS 725', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 876, 'duration_display': '14h 36m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '07:18', 'arrive_time': '09:37', 'airline': 'AS', 'flight_number': '725', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 139}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 640, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,09:37 +1,AS 2292 / AS 725,AS,1,876,14h 36m,,,,,,,,20:01,09:37 +1,AS 2292 / AS 725,AS,economy,1,cash,fli,,404.0,404.0,USD,,404.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,73.0,0.0,75.0,602.0,next_day_arrival,2,False,,876,14h 36m,USD 404.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '10:59 +1', 'flight_numbers': 'AS 2292 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 958, 'duration_display': '15h 58m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:41', 'arrive_time': '10:59', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 723, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,10:59 +1,AS 2292 / AS 528,AS,1,958,15h 58m,,,,,,,,20:01,10:59 +1,AS 2292 / AS 528,AS,economy,1,cash,fli,,404.0,404.0,USD,,404.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,79.83,0.0,75.0,608.83,next_day_arrival,3,False,,958,15h 58m,USD 404.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:03 +1', 'flight_numbers': 'AS 2292 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1082, 'duration_display': '18h 2m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:47', 'arrive_time': '13:03', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 849, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,13:03 +1,AS 2292 / AS 688,AS,1,1082,18h 2m,,,,,,,,20:01,13:03 +1,AS 2292 / AS 688,AS,economy,1,cash,fli,,437.0,437.0,USD,,437.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,90.17,0.0,75.0,652.17,next_day_arrival,7,False,,1082,18h 2m,USD 437.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 2244 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 231, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,06:15,12:56,AS 2244 / AS 688,AS,1,461,7h 41m,,,,,,,,06:15,12:56,AS 2244 / AS 688,AS,economy,1,cash,fli,,518.0,518.0,USD,,518.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,38.42,50.0,0.0,656.42,early departure,22,False,,461,7h 41m,USD 518.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '14:27 +1', 'flight_numbers': 'AS 2292 / AS 655', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1166, 'duration_display': '19h 26m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '12:05', 'arrive_time': '14:27', 'airline': 'AS', 'flight_number': '655', 'aircraft': 'Boeing 737', 'duration_minutes': 142}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 927, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,14:27 +1,AS 2292 / AS 655,AS,1,1166,19h 26m,,,,,,,,20:01,14:27 +1,AS 2292 / AS 655,AS,economy,1,cash,fli,,437.0,437.0,USD,,437.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,97.17,0.0,75.0,659.17,next_day_arrival,8,False,,1166,19h 26m,USD 437.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '11:10 +1', 'flight_numbers': 'AS 2292 / AS 2262 / AS 3025', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 969, 'duration_display': '16h 9m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'BOI', 'depart_time': '21:18', 'arrive_time': '23:44', 'airline': 'AS', 'flight_number': '2262', 'aircraft': 'Embraer 175', 'duration_minutes': 86}, {'origin': 'BOI', 'destination': 'SFO', 'depart_time': '10:14', 'arrive_time': '11:10', 'airline': 'AS', 'flight_number': '3025', 'aircraft': 'Embraer 175', 'duration_minutes': 116}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 40, 'overnight': False, 'change_of_airport': False}, {'airport': 'BOI', 'duration_minutes': 630, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,11:10 +1,AS 2292 / AS 2262 / AS 3025,AS,2,969,16h 9m,,,,,,,,20:01,11:10 +1,AS 2292 / AS 2262 / AS 3025,AS,economy,2,cash,fli,,405.0,405.0,USD,,405.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,100.0,80.75,0.0,75.0,660.75,next_day_arrival,5,False,,969,16h 9m,USD 405.00,
FCA,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '21:39 +1', 'flight_numbers': 'AS 2292 / AS 628', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1598, 'duration_display': '26h 38m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '19:24', 'arrive_time': '21:39', 'airline': 'AS', 'flight_number': '628', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 1366, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",FCA,SFO,2026-09-07,20:01,21:39 +1,AS 2292 / AS 628,AS,1,1598,26h 38m,,,,,,,,20:01,21:39 +1,AS 2292 / AS 628,AS,economy,1,cash,fli,,404.0,404.0,USD,,404.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/fca_sfo_2026-09-07_economy_fli_raw.json,50.0,133.17,0.0,75.0,662.17,next_day_arrival,4,False,,1598,26h 38m,USD 404.00,
