origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,,,,,,,,05:30,08:50,DL 2795 / DL 920,DL,economy,1,cash,fli,,264.0,264.0,USD,,264.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,21.67,100.0,0.0,435.67,very early departure,1,True,,260,4h 20m,USD 264.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 722 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,07:15,10:58,AS 722 / AS 528,AS,1,283,4h 43m,,,,,,,,07:15,10:58,AS 722 / AS 528,AS,economy,1,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,23.58,0.0,0.0,438.58,,15,False,,283,4h 43m,USD 365.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:40', 'flight_numbers': 'AS 660 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 444, 'duration_display': '7h 24m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,16:16,22:40,AS 660 / AS 590,AS,1,444,7h 24m,,,,,,,,16:16,22:40,AS 660 / AS 590,AS,economy,1,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,37.0,0.0,0.0,452.0,,16,False,,444,7h 24m,USD 365.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '21:42', 'flight_numbers': 'AS 722 / AS 650 / AS 338', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 927, 'duration_display': '15h 27m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,07:15,21:42,AS 722 / AS 650 / AS 338,AS,2,927,15h 27m,,,,,,,,07:15,21:42,AS 722 / AS 650 / AS 338,AS,economy,2,cash,fli,,323.0,323.0,USD,,323.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,100.0,77.25,0.0,0.0,500.25,,3,False,,927,15h 27m,USD 323.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '22:40', 'flight_numbers': 'AS 722 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 985, 'duration_display': '16h 25m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,07:15,22:40,AS 722 / AS 590,AS,1,985,16h 25m,,,,,,,,07:15,22:40,AS 722 / AS 590,AS,economy,1,cash,fli,,372.0,372.0,USD,,372.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,82.08,0.0,0.0,504.08,,19,False,,985,16h 25m,USD 372.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:15', 'arrive_time': '17:50', 'flight_numbers': 'UA 5417', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 155, 'duration_display': '2h 35m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,16:15,17:50,UA 5417,UA,0,155,2h 35m,,,,,,,,16:15,17:50,UA 5417,UA,economy,0,cash,fli,,494.0,494.0,USD,,494.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,0.0,12.92,0.0,0.0,506.92,,55,False,,155,2h 35m,USD 494.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '21:59', 'flight_numbers': 'DL 3808 / DL 2762', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 263, 'duration_display': '4h 23m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,18:36,21:59,DL 3808 / DL 2762,DL,1,263,4h 23m,,,,,,,,18:36,21:59,DL 3808 / DL 2762,DL,economy,1,cash,fli,,439.0,439.0,USD,,439.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,21.92,0.0,0.0,510.92,,41,False,,263,4h 23m,USD 439.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '14:45', 'flight_numbers': 'AS 722 / AS 650 / AS 3211', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 510, 'duration_display': '8h 30m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,07:15,14:45,AS 722 / AS 650 / AS 3211,AS,2,510,8h 30m,,,,,,,,07:15,14:45,AS 722 / AS 650 / AS 3211,AS,economy,2,cash,fli,,386.0,386.0,USD,,386.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,100.0,42.5,0.0,0.0,528.5,,21,False,,510,8h 30m,USD 386.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '23:40', 'flight_numbers': 'AS 660 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 504, 'duration_display': '8h 24m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,16:16,23:40,AS 660 / AS 411,AS,1,504,8h 24m,,,,,,,,16:16,23:40,AS 660 / AS 411,AS,economy,1,cash,fli,,387.0,387.0,USD,,387.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,42.0,50.0,0.0,529.0,late arrival,22,False,,504,8h 24m,USD 387.00,
MSO,SFO,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '23:40', 'flight_numbers': 'AS 722 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1045, 'duration_display': '17h 25m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",MSO,SFO,2026-09-07,07:15,23:40,AS 722 / AS 411,AS,1,1045,17h 25m,,,,,,,,07:15,23:40,AS 722 / AS 411,AS,economy,1,cash,fli,,347.0,347.0,USD,,347.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sfo_2026-09-07_economy_fli_raw.json,50.0,87.08,50.0,0.0,534.08,late arrival,4,False,,1045,17h 25m,USD 347.00,
