origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,,,,,,,,05:30,08:54,DL 2795 / DL 4026,DL,economy,1,cash,fli,,358.0,358.0,USD,,358.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,50.0,22.0,100.0,0.0,530.0,very early departure,19,False,,264,4h 24m,USD 358.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:57', 'flight_numbers': 'AS 660 / AS 1444', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SJC', 'depart_time': '20:43', 'arrive_time': '22:57', 'airline': 'AS', 'flight_number': '1444', 'aircraft': 'Boeing 737', 'duration_minutes': 134}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 223, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,16:16,22:57,AS 660 / AS 1444,AS,1,461,7h 41m,,,,,,,,16:16,22:57,AS 660 / AS 1444,AS,economy,1,cash,fli,,444.0,444.0,USD,,444.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,50.0,38.42,0.0,0.0,532.42,,77,False,,461,7h 41m,USD 444.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:27', 'flight_numbers': 'AS 660 / AS 434 / AS 755', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 431, 'duration_display': '7h 11m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'PDX', 'depart_time': '18:51', 'arrive_time': '19:50', 'airline': 'AS', 'flight_number': '434', 'aircraft': 'Boeing 737', 'duration_minutes': 59}, {'origin': 'PDX', 'destination': 'SJC', 'depart_time': '20:37', 'arrive_time': '22:27', 'airline': 'AS', 'flight_number': '755', 'aircraft': 'Boeing 737', 'duration_minutes': 110}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 111, 'overnight': False, 'change_of_airport': False}, {'airport': 'PDX', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,16:16,22:27,AS 660 / AS 434 / AS 755,AS,2,431,7h 11m,,,,,,,,16:16,22:27,AS 660 / AS 434 / AS 755,AS,economy,2,cash,fli,,403.0,403.0,USD,,403.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,35.92,0.0,0.0,538.92,,50,False,,431,7h 11m,USD 403.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '13:44', 'flight_numbers': 'AS 722 / AS 3145 / AS 694', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 449, 'duration_display': '7h 29m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'PDX', 'depart_time': '10:04', 'arrive_time': '11:13', 'airline': 'AS', 'flight_number': '3145', 'aircraft': 'Embraer 175', 'duration_minutes': 69}, {'origin': 'PDX', 'destination': 'SJC', 'depart_time': '11:53', 'arrive_time': '13:44', 'airline': 'AS', 'flight_number': '694', 'aircraft': 'Boeing 737', 'duration_minutes': 111}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 126, 'overnight': False, 'change_of_airport': False}, {'airport': 'PDX', 'duration_minutes': 40, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,07:15,13:44,AS 722 / AS 3145 / AS 694,AS,2,449,7h 29m,,,,,,,,07:15,13:44,AS 722 / AS 3145 / AS 694,AS,economy,2,cash,fli,,403.0,403.0,USD,,403.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,37.42,0.0,0.0,540.42,,49,False,,449,7h 29m,USD 403.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '22:56', 'flight_numbers': 'AS 722 / AS 650 / AS 1449', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1001, 'duration_display': '16h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SAN', 'depart_time': '08:48', 'arrive_time': '11:45', 'airline': 'AS', 'flight_number': '650', 'aircraft': 'Boeing 737', 'duration_minutes': 177}, {'origin': 'SAN', 'destination': 'SJC', 'depart_time': '21:23', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '1449', 'aircraft': 'Boeing 737', 'duration_minutes': 93}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}, {'airport': 'SAN', 'duration_minutes': 578, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,07:15,22:56,AS 722 / AS 650 / AS 1449,AS,2,1001,16h 41m,,,,,,,,07:15,22:56,AS 722 / AS 650 / AS 1449,AS,economy,2,cash,fli,,358.0,358.0,USD,,358.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,83.42,0.0,0.0,541.42,,18,False,,1001,16h 41m,USD 358.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,,,,,,,,06:00,12:27,DL 2907 / DL 2383,DL,economy,1,cash,fli,,410.0,410.0,USD,,410.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,50.0,37.25,50.0,0.0,547.25,early departure,64,False,,447,7h 27m,USD 410.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '22:57', 'flight_numbers': 'AS 722 / AS 1444', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1002, 'duration_display': '16h 42m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SJC', 'depart_time': '20:43', 'arrive_time': '22:57', 'airline': 'AS', 'flight_number': '1444', 'aircraft': 'Boeing 737', 'duration_minutes': 134}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 765, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,07:15,22:57,AS 722 / AS 1444,AS,1,1002,16h 42m,,,,,,,,07:15,22:57,AS 722 / AS 1444,AS,economy,1,cash,fli,,418.0,418.0,USD,,418.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,50.0,83.5,0.0,0.0,551.5,,71,False,,1002,16h 42m,USD 418.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '07:52 +1', 'flight_numbers': 'AS 660 / AS 586 / AS 2129', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 996, 'duration_display': '16h 36m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'BOI', 'depart_time': '18:03', 'arrive_time': '20:33', 'airline': 'AS', 'flight_number': '586', 'aircraft': 'Boeing 737', 'duration_minutes': 90}, {'origin': 'BOI', 'destination': 'SJC', 'depart_time': '07:00', 'arrive_time': '07:52', 'airline': 'AS', 'flight_number': '2129', 'aircraft': 'Embraer 175', 'duration_minutes': 112}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 63, 'overnight': False, 'change_of_airport': False}, {'airport': 'BOI', 'duration_minutes': 627, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,16:16,07:52 +1,AS 660 / AS 586 / AS 2129,AS,2,996,16h 36m,,,,,,,,16:16,07:52 +1,AS 660 / AS 586 / AS 2129,AS,economy,2,cash,fli,,299.0,299.0,USD,,299.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,83.0,0.0,75.0,557.0,next_day_arrival,3,False,,996,16h 36m,USD 299.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '22:27', 'flight_numbers': 'AS 722 / AS 441 / AS 755', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 972, 'duration_display': '16h 12m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'PDX', 'depart_time': '15:50', 'arrive_time': '16:49', 'airline': 'AS', 'flight_number': '441', 'aircraft': 'Boeing 737', 'duration_minutes': 59}, {'origin': 'PDX', 'destination': 'SJC', 'depart_time': '20:37', 'arrive_time': '22:27', 'airline': 'AS', 'flight_number': '755', 'aircraft': 'Boeing 737', 'duration_minutes': 110}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 472, 'overnight': False, 'change_of_airport': False}, {'airport': 'PDX', 'duration_minutes': 228, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,07:15,22:27,AS 722 / AS 441 / AS 755,AS,2,972,16h 12m,,,,,,,,07:15,22:27,AS 722 / AS 441 / AS 755,AS,economy,2,cash,fli,,378.0,378.0,USD,,378.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,81.0,0.0,0.0,559.0,,24,False,,972,16h 12m,USD 378.00,
MSO,SJC,2026-09-07,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '16:24', 'flight_numbers': 'AS 722 / AS 3145 / AS 2324', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 609, 'duration_display': '10h 9m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'PDX', 'depart_time': '10:04', 'arrive_time': '11:13', 'airline': 'AS', 'flight_number': '3145', 'aircraft': 'Embraer 175', 'duration_minutes': 69}, {'origin': 'PDX', 'destination': 'SJC', 'depart_time': '14:31', 'arrive_time': '16:24', 'airline': 'AS', 'flight_number': '2324', 'aircraft': 'Embraer 175', 'duration_minutes': 113}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 126, 'overnight': False, 'change_of_airport': False}, {'airport': 'PDX', 'duration_minutes': 198, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",MSO,SJC,2026-09-07,07:15,16:24,AS 722 / AS 3145 / AS 2324,AS,2,609,10h 9m,,,,,,,,07:15,16:24,AS 722 / AS 3145 / AS 2324,AS,economy,2,cash,fli,,412.0,412.0,USD,,412.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/mso_sjc_2026-09-07_economy_fli_raw.json,100.0,50.75,0.0,0.0,562.75,,65,False,,609,10h 9m,USD 412.00,
