origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:35', 'arrive_time': '13:54 +1', 'flight_numbers': 'F9 1448 / F9 153', 'carriers': 'F9', 'stops': 1, 'duration_minutes': 799, 'duration_display': '13h 19m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '22:35', 'arrive_time': '06:27', 'airline': 'F9', 'flight_number': '1448', 'aircraft': 'Airbus A321neo', 'duration_minutes': 292}, {'origin': 'ATL', 'destination': 'CUN', 'depart_time': '12:06', 'arrive_time': '13:54', 'airline': 'F9', 'flight_number': '153', 'aircraft': 'Airbus A321neo', 'duration_minutes': 168}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 339, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '10:44 +1', 'flight_numbers': 'AC 1813 / AC 739', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 939, 'duration_display': '15h 39m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '08:15', 'arrive_time': '10:44', 'airline': 'AC', 'flight_number': '739', 'aircraft': 'Airbus A220-300 Passenger', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 370, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,22:35,13:54 +1,F9 1448 / F9 153,F9,1,799,13h 19m,21:05,10:44 +1,AC 1813 / AC 739,AC,1,939,15h 39m,22:35,13:54 +1,F9 1448 / F9 153,F9,economy,1,cash,fli,,650.0,650.0,USD,,650.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,66.58,75.0,75.0,916.58,"late departure, next_day_arrival",1,True,,799,13h 19m,USD 650.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:35', 'arrive_time': '13:54 +1', 'flight_numbers': 'F9 1448 / F9 153', 'carriers': 'F9', 'stops': 1, 'duration_minutes': 799, 'duration_display': '13h 19m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '22:35', 'arrive_time': '06:27', 'airline': 'F9', 'flight_number': '1448', 'aircraft': 'Airbus A321neo', 'duration_minutes': 292}, {'origin': 'ATL', 'destination': 'CUN', 'depart_time': '12:06', 'arrive_time': '13:54', 'airline': 'F9', 'flight_number': '153', 'aircraft': 'Airbus A321neo', 'duration_minutes': 168}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 339, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '12:34 +1', 'flight_numbers': 'AC 1813 / AC 741', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 1049, 'duration_display': '17h 29m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '10:05', 'arrive_time': '12:34', 'airline': 'AC', 'flight_number': '741', 'aircraft': 'Airbus A320', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 480, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,22:35,13:54 +1,F9 1448 / F9 153,F9,1,799,13h 19m,21:05,12:34 +1,AC 1813 / AC 741,AC,1,1049,17h 29m,22:35,13:54 +1,F9 1448 / F9 153,F9,economy,1,cash,fli,,650.0,650.0,USD,,650.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,66.58,75.0,75.0,916.58,"late departure, next_day_arrival",2,False,,799,13h 19m,USD 650.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:35', 'arrive_time': '13:54 +1', 'flight_numbers': 'F9 1448 / F9 153', 'carriers': 'F9', 'stops': 1, 'duration_minutes': 799, 'duration_display': '13h 19m', 'segments': [{'origin': 'SFO', 'destination': 'ATL', 'depart_time': '22:35', 'arrive_time': '06:27', 'airline': 'F9', 'flight_number': '1448', 'aircraft': 'Airbus A321neo', 'duration_minutes': 292}, {'origin': 'ATL', 'destination': 'CUN', 'depart_time': '12:06', 'arrive_time': '13:54', 'airline': 'F9', 'flight_number': '153', 'aircraft': 'Airbus A321neo', 'duration_minutes': 168}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 339, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '21:05', 'arrive_time': '15:24 +1', 'flight_numbers': 'AC 1813 / AC 743', 'carriers': 'AC', 'stops': 1, 'duration_minutes': 1219, 'duration_display': '20h 19m', 'segments': [{'origin': 'CUN', 'destination': 'YYZ', 'depart_time': '21:05', 'arrive_time': '02:05', 'airline': 'AC', 'flight_number': '1813', 'aircraft': 'Airbus A321', 'duration_minutes': 240}, {'origin': 'YYZ', 'destination': 'SFO', 'depart_time': '12:55', 'arrive_time': '15:24', 'airline': 'AC', 'flight_number': '743', 'aircraft': 'Airbus A220-300 Passenger', 'duration_minutes': 329}], 'layovers': [{'airport': 'YYZ', 'duration_minutes': 650, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,22:35,13:54 +1,F9 1448 / F9 153,F9,1,799,13h 19m,21:05,15:24 +1,AC 1813 / AC 743,AC,1,1219,20h 19m,22:35,13:54 +1,F9 1448 / F9 153,F9,economy,1,cash,fli,,650.0,650.0,USD,,650.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,66.58,75.0,75.0,916.58,"late departure, next_day_arrival",3,False,,799,13h 19m,USD 650.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 2019 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 932, 'duration_display': '15h 32m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 556, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '11:13 +1', 'flight_numbers': 'UA 1275 / UA 433', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1373, 'duration_display': '22h 53m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '09:40', 'arrive_time': '11:13', 'airline': 'UA', 'flight_number': '433', 'aircraft': 'Boeing 737', 'duration_minutes': 93}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 978, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:02 +1,UA 2019 / UA 1018,UA,1,932,15h 32m,14:20,11:13 +1,UA 1275 / UA 433,UA,1,1373,22h 53m,18:30,12:02 +1,UA 2019 / UA 1018,UA,economy,1,cash,fli,,720.0,720.0,USD,,720.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,77.67,0.0,75.0,922.67,next_day_arrival,5,False,,932,15h 32m,USD 720.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:33 +1', 'flight_numbers': 'UA 2019 / UA 1014', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 963, 'duration_display': '16h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '10:15', 'arrive_time': '12:33', 'airline': 'UA', 'flight_number': '1014', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 587, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '11:13 +1', 'flight_numbers': 'UA 1275 / UA 433', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1373, 'duration_display': '22h 53m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '09:40', 'arrive_time': '11:13', 'airline': 'UA', 'flight_number': '433', 'aircraft': 'Boeing 737', 'duration_minutes': 93}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 978, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:33 +1,UA 2019 / UA 1014,UA,1,963,16h 3m,14:20,11:13 +1,UA 1275 / UA 433,UA,1,1373,22h 53m,18:30,12:33 +1,UA 2019 / UA 1014,UA,economy,1,cash,fli,,720.0,720.0,USD,,720.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,80.25,0.0,75.0,925.25,next_day_arrival,12,False,,963,16h 3m,USD 720.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 2019 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 932, 'duration_display': '15h 32m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 556, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '09:18 +1', 'flight_numbers': 'UA 1275 / UA 1372', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1258, 'duration_display': '20h 58m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '07:45', 'arrive_time': '09:18', 'airline': 'UA', 'flight_number': '1372', 'aircraft': 'Boeing 737', 'duration_minutes': 93}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 863, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:02 +1,UA 2019 / UA 1018,UA,1,932,15h 32m,14:20,09:18 +1,UA 1275 / UA 1372,UA,1,1258,20h 58m,18:30,12:02 +1,UA 2019 / UA 1018,UA,economy,1,cash,fli,,725.0,725.0,USD,,725.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,77.67,0.0,75.0,927.67,next_day_arrival,6,False,,932,15h 32m,USD 725.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:33 +1', 'flight_numbers': 'UA 2019 / UA 1014', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 963, 'duration_display': '16h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '10:15', 'arrive_time': '12:33', 'airline': 'UA', 'flight_number': '1014', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 587, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '09:18 +1', 'flight_numbers': 'UA 1275 / UA 1372', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1258, 'duration_display': '20h 58m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '07:45', 'arrive_time': '09:18', 'airline': 'UA', 'flight_number': '1372', 'aircraft': 'Boeing 737', 'duration_minutes': 93}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 863, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:33 +1,UA 2019 / UA 1014,UA,1,963,16h 3m,14:20,09:18 +1,UA 1275 / UA 1372,UA,1,1258,20h 58m,18:30,12:33 +1,UA 2019 / UA 1014,UA,economy,1,cash,fli,,725.0,725.0,USD,,725.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,80.25,0.0,75.0,930.25,next_day_arrival,13,False,,963,16h 3m,USD 725.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 2019 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 932, 'duration_display': '15h 32m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 556, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '14:52 +1', 'flight_numbers': 'UA 1275 / UA 469', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1592, 'duration_display': '26h 32m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '13:25', 'arrive_time': '14:52', 'airline': 'UA', 'flight_number': '469', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 87}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 1203, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:02 +1,UA 2019 / UA 1018,UA,1,932,15h 32m,14:20,14:52 +1,UA 1275 / UA 469,UA,1,1592,26h 32m,18:30,12:02 +1,UA 2019 / UA 1018,UA,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,77.67,0.0,75.0,932.67,next_day_arrival,7,False,,932,15h 32m,USD 730.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:33 +1', 'flight_numbers': 'UA 2019 / UA 1014', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 963, 'duration_display': '16h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '10:15', 'arrive_time': '12:33', 'airline': 'UA', 'flight_number': '1014', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 587, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '14:52 +1', 'flight_numbers': 'UA 1275 / UA 469', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1592, 'duration_display': '26h 32m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '13:25', 'arrive_time': '14:52', 'airline': 'UA', 'flight_number': '469', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 87}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 1203, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:33 +1,UA 2019 / UA 1014,UA,1,963,16h 3m,14:20,14:52 +1,UA 1275 / UA 469,UA,1,1592,26h 32m,18:30,12:33 +1,UA 2019 / UA 1014,UA,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,80.25,0.0,75.0,935.25,next_day_arrival,14,False,,963,16h 3m,USD 730.00,
SFO,CUN,2026-09-04,round-trip,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 2019 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 932, 'duration_display': '15h 32m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 556, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '17:42 +1', 'flight_numbers': 'UA 1275 / UA 2019', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1762, 'duration_display': '29h 22m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '16:10', 'arrive_time': '17:42', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737', 'duration_minutes': 92}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 1368, 'overnight': True, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,18:30,12:02 +1,UA 2019 / UA 1018,UA,1,932,15h 32m,14:20,17:42 +1,UA 1275 / UA 2019,UA,1,1762,29h 22m,18:30,12:02 +1,UA 2019 / UA 1018,UA,economy,1,cash,fli,,773.0,773.0,USD,,773.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,77.67,0.0,75.0,975.67,next_day_arrival,8,False,,932,15h 32m,USD 773.00,
