origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:51', 'arrive_time': '16:12', 'flight_numbers': 'UA 1679', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 321, 'duration_display': '5h 21m', 'segments': [{'origin': 'SFO', 'destination': 'CUN', 'depart_time': '08:51', 'arrive_time': '16:12', 'airline': 'UA', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 321}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '20:57', 'flight_numbers': 'UA 1059 / UA 2168 / UA 2745', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 906, 'duration_display': '15h 6m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 301, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,08:51,16:12,UA 1679,UA,0,321,5h 21m,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,2,906,15h 6m,08:51,16:12,UA 1679,UA,economy,0,cash,fli,,899.0,899.0,USD,,899.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,26.75,0.0,0.0,925.75,,1,True,,321,5h 21m,USD 899.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '00:45', 'arrive_time': '10:06', 'flight_numbers': 'UA 604 / UA 1619', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 441, 'duration_display': '7h 21m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '00:45', 'arrive_time': '06:35', 'airline': 'UA', 'flight_number': '604', 'aircraft': 'Boeing 777', 'duration_minutes': 230}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '07:48', 'arrive_time': '10:06', 'airline': 'UA', 'flight_number': '1619', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 73, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '20:57', 'flight_numbers': 'UA 1059 / UA 2168 / UA 2745', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 906, 'duration_display': '15h 6m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 301, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,00:45,10:06,UA 604 / UA 1619,UA,1,441,7h 21m,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,2,906,15h 6m,00:45,10:06,UA 604 / UA 1619,UA,economy,1,cash,fli,,966.0,966.0,USD,,966.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,36.75,100.0,0.0,1152.75,very early departure,15,False,,441,7h 21m,USD 966.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '23:59', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 505 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 603, 'duration_display': '10h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '23:59', 'arrive_time': '06:02', 'airline': 'UA', 'flight_number': '505', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 243}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 222, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '20:57', 'flight_numbers': 'UA 1059 / UA 2168 / UA 2745', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 906, 'duration_display': '15h 6m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 301, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,23:59,12:02 +1,UA 505 / UA 1018,UA,1,603,10h 3m,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,2,906,15h 6m,23:59,12:02 +1,UA 505 / UA 1018,UA,economy,1,cash,fli,,953.0,953.0,USD,,953.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,50.25,75.0,75.0,1203.25,"late departure, next_day_arrival",8,False,,603,10h 3m,USD 953.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:51', 'arrive_time': '16:12', 'flight_numbers': 'UA 1679', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 321, 'duration_display': '5h 21m', 'segments': [{'origin': 'SFO', 'destination': 'CUN', 'depart_time': '08:51', 'arrive_time': '16:12', 'airline': 'UA', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 321}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:11', 'arrive_time': '22:50', 'flight_numbers': 'UA 1196 / UA 481', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 759, 'duration_display': '12h 39m', 'segments': [{'origin': 'CUN', 'destination': 'ORD', 'depart_time': '12:11', 'arrive_time': '16:04', 'airline': 'UA', 'flight_number': '1196', 'aircraft': 'Boeing 737', 'duration_minutes': 233}, {'origin': 'ORD', 'destination': 'SJC', 'depart_time': '20:03', 'arrive_time': '22:50', 'airline': 'UA', 'flight_number': '481', 'aircraft': 'Boeing 737', 'duration_minutes': 287}], 'layovers': [{'airport': 'ORD', 'duration_minutes': 239, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,08:51,16:12,UA 1679,UA,0,321,5h 21m,12:11,22:50,UA 1196 / UA 481,UA,1,759,12h 39m,08:51,16:12,UA 1679,UA,economy,0,cash,fli,,1208.0,1208.0,USD,,1208.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,26.75,0.0,0.0,1234.75,,2,False,,321,5h 21m,USD 1208.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:51', 'arrive_time': '16:12', 'flight_numbers': 'UA 1679', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 321, 'duration_display': '5h 21m', 'segments': [{'origin': 'SFO', 'destination': 'CUN', 'depart_time': '08:51', 'arrive_time': '16:12', 'airline': 'UA', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 321}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '17:31', 'flight_numbers': 'UA 1059 / UA 2168 / UA 1883', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 700, 'duration_display': '11h 40m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '15:55', 'arrive_time': '17:31', 'airline': 'UA', 'flight_number': '1883', 'aircraft': 'Boeing 737', 'duration_minutes': 156}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 100, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,08:51,16:12,UA 1679,UA,0,321,5h 21m,07:51,17:31,UA 1059 / UA 2168 / UA 1883,UA,2,700,11h 40m,08:51,16:12,UA 1679,UA,economy,0,cash,fli,,1352.0,1352.0,USD,,1352.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,26.75,0.0,0.0,1378.75,,3,False,,321,5h 21m,USD 1352.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '00:45', 'arrive_time': '10:06', 'flight_numbers': 'UA 604 / UA 1619', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 441, 'duration_display': '7h 21m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '00:45', 'arrive_time': '06:35', 'airline': 'UA', 'flight_number': '604', 'aircraft': 'Boeing 777', 'duration_minutes': 230}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '07:48', 'arrive_time': '10:06', 'airline': 'UA', 'flight_number': '1619', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 73, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:11', 'arrive_time': '22:50', 'flight_numbers': 'UA 1196 / UA 481', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 759, 'duration_display': '12h 39m', 'segments': [{'origin': 'CUN', 'destination': 'ORD', 'depart_time': '12:11', 'arrive_time': '16:04', 'airline': 'UA', 'flight_number': '1196', 'aircraft': 'Boeing 737', 'duration_minutes': 233}, {'origin': 'ORD', 'destination': 'SJC', 'depart_time': '20:03', 'arrive_time': '22:50', 'airline': 'UA', 'flight_number': '481', 'aircraft': 'Boeing 737', 'duration_minutes': 287}], 'layovers': [{'airport': 'ORD', 'duration_minutes': 239, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,00:45,10:06,UA 604 / UA 1619,UA,1,441,7h 21m,12:11,22:50,UA 1196 / UA 481,UA,1,759,12h 39m,00:45,10:06,UA 604 / UA 1619,UA,economy,1,cash,fli,,1275.0,1275.0,USD,,1275.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,36.75,100.0,0.0,1461.75,very early departure,16,False,,441,7h 21m,USD 1275.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '23:59', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 505 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 603, 'duration_display': '10h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '23:59', 'arrive_time': '06:02', 'airline': 'UA', 'flight_number': '505', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 243}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 222, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:11', 'arrive_time': '22:50', 'flight_numbers': 'UA 1196 / UA 481', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 759, 'duration_display': '12h 39m', 'segments': [{'origin': 'CUN', 'destination': 'ORD', 'depart_time': '12:11', 'arrive_time': '16:04', 'airline': 'UA', 'flight_number': '1196', 'aircraft': 'Boeing 737', 'duration_minutes': 233}, {'origin': 'ORD', 'destination': 'SJC', 'depart_time': '20:03', 'arrive_time': '22:50', 'airline': 'UA', 'flight_number': '481', 'aircraft': 'Boeing 737', 'duration_minutes': 287}], 'layovers': [{'airport': 'ORD', 'duration_minutes': 239, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,23:59,12:02 +1,UA 505 / UA 1018,UA,1,603,10h 3m,12:11,22:50,UA 1196 / UA 481,UA,1,759,12h 39m,23:59,12:02 +1,UA 505 / UA 1018,UA,economy,1,cash,fli,,1262.0,1262.0,USD,,1262.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,50.25,75.0,75.0,1512.25,"late departure, next_day_arrival",9,False,,603,10h 3m,USD 1262.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '00:45', 'arrive_time': '10:06', 'flight_numbers': 'UA 604 / UA 1619', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 441, 'duration_display': '7h 21m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '00:45', 'arrive_time': '06:35', 'airline': 'UA', 'flight_number': '604', 'aircraft': 'Boeing 777', 'duration_minutes': 230}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '07:48', 'arrive_time': '10:06', 'airline': 'UA', 'flight_number': '1619', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 73, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '17:31', 'flight_numbers': 'UA 1059 / UA 2168 / UA 1883', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 700, 'duration_display': '11h 40m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '15:55', 'arrive_time': '17:31', 'airline': 'UA', 'flight_number': '1883', 'aircraft': 'Boeing 737', 'duration_minutes': 156}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 100, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,00:45,10:06,UA 604 / UA 1619,UA,1,441,7h 21m,07:51,17:31,UA 1059 / UA 2168 / UA 1883,UA,2,700,11h 40m,00:45,10:06,UA 604 / UA 1619,UA,economy,1,cash,fli,,1419.0,1419.0,USD,,1419.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,36.75,100.0,0.0,1605.75,very early departure,17,False,,441,7h 21m,USD 1419.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '23:59', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 505 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 603, 'duration_display': '10h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '23:59', 'arrive_time': '06:02', 'airline': 'UA', 'flight_number': '505', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 243}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 222, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '17:31', 'flight_numbers': 'UA 1059 / UA 2168 / UA 1883', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 700, 'duration_display': '11h 40m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '15:55', 'arrive_time': '17:31', 'airline': 'UA', 'flight_number': '1883', 'aircraft': 'Boeing 737', 'duration_minutes': 156}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 100, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,23:59,12:02 +1,UA 505 / UA 1018,UA,1,603,10h 3m,07:51,17:31,UA 1059 / UA 2168 / UA 1883,UA,2,700,11h 40m,23:59,12:02 +1,UA 505 / UA 1018,UA,economy,1,cash,fli,,1406.0,1406.0,USD,,1406.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,50.25,75.0,75.0,1656.25,"late departure, next_day_arrival",10,False,,603,10h 3m,USD 1406.00,
SFO,CUN,2026-09-04,multi-city,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:51', 'arrive_time': '16:12', 'flight_numbers': 'UA 1679', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 321, 'duration_display': '5h 21m', 'segments': [{'origin': 'SFO', 'destination': 'CUN', 'depart_time': '08:51', 'arrive_time': '16:12', 'airline': 'UA', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 321}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '10:50', 'arrive_time': '22:32', 'flight_numbers': 'AA 1601 / AA 364', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 822, 'duration_display': '13h 42m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '10:50', 'arrive_time': '13:50', 'airline': 'AA', 'flight_number': '1601', 'aircraft': 'Airbus A321', 'duration_minutes': 180}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '21:00', 'arrive_time': '22:32', 'airline': 'AA', 'flight_number': '364', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 430, 'overnight': False, 'change_of_airport': False}]}}",SFO,CUN,2026-09-04,08:51,16:12,UA 1679,UA,0,321,5h 21m,10:50,22:32,AA 1601 / AA 364,AA,1,822,13h 42m,08:51,16:12,UA 1679,UA,economy,0,cash,fli,,2836.0,2836.0,USD,,2836.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_cun_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,26.75,0.0,0.0,2862.75,,4,False,,321,5h 21m,USD 2836.00,
