origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:51', 'arrive_time': '16:12', 'flight_numbers': 'UA 1679', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 321, 'duration_display': '5h 21m', 'segments': [{'origin': 'SFO', 'destination': 'CUN', 'depart_time': '08:51', 'arrive_time': '16:12', 'airline': 'UA', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 321}], 'layovers': []}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,08:51,16:12,UA 1679,UA,0,321,5h 21m,,,,,,,,08:51,16:12,UA 1679,UA,economy,0,cash,fli,,345.0,345.0,USD,,345.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,0.0,26.75,0.0,0.0,371.75,,23,False,,321,5h 21m,USD 345.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '21:13', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 301 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 825, 'duration_display': '13h 45m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '21:13', 'arrive_time': '00:59', 'airline': 'UA', 'flight_number': '301', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 166}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 422, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,21:13,12:58 +1,UA 301 / UA 1119,UA,1,825,13h 45m,,,,,,,,21:13,12:58 +1,UA 301 / UA 1119,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,68.75,0.0,75.0,453.75,next_day_arrival,10,False,,825,13h 45m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '19:56', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1145 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 902, 'duration_display': '15h 2m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '19:56', 'arrive_time': '23:42', 'airline': 'UA', 'flight_number': '1145', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 166}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 499, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,19:56,12:58 +1,UA 1145 / UA 1119,UA,1,902,15h 2m,,,,,,,,19:56,12:58 +1,UA 1145 / UA 1119,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,75.17,0.0,75.0,460.17,next_day_arrival,8,False,,902,15h 2m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '21:13', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 301 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 927, 'duration_display': '15h 27m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '21:13', 'arrive_time': '00:59', 'airline': 'UA', 'flight_number': '301', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 166}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 525, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,21:13,14:40 +1,UA 301 / UA 1177,UA,1,927,15h 27m,,,,,,,,21:13,14:40 +1,UA 301 / UA 1177,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,77.25,0.0,75.0,462.25,next_day_arrival,11,False,,927,15h 27m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:02 +1', 'flight_numbers': 'UA 2019 / UA 1018', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 932, 'duration_display': '15h 32m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '12:02', 'airline': 'UA', 'flight_number': '1018', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 556, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,18:30,12:02 +1,UA 2019 / UA 1018,UA,1,932,15h 32m,,,,,,,,18:30,12:02 +1,UA 2019 / UA 1018,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,77.67,0.0,75.0,462.67,next_day_arrival,5,False,,932,15h 32m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '12:33 +1', 'flight_numbers': 'UA 2019 / UA 1014', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 963, 'duration_display': '16h 3m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '10:15', 'arrive_time': '12:33', 'airline': 'UA', 'flight_number': '1014', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 587, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,18:30,12:33 +1,UA 2019 / UA 1014,UA,1,963,16h 3m,,,,,,,,18:30,12:33 +1,UA 2019 / UA 1014,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,80.25,0.0,75.0,465.25,next_day_arrival,6,False,,963,16h 3m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '19:56', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 1145 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1004, 'duration_display': '16h 44m', 'segments': [{'origin': 'SFO', 'destination': 'DEN', 'depart_time': '19:56', 'arrive_time': '23:42', 'airline': 'UA', 'flight_number': '1145', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 166}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 602, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,19:56,14:40 +1,UA 1145 / UA 1177,UA,1,1004,16h 44m,,,,,,,,19:56,14:40 +1,UA 1145 / UA 1177,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,83.67,0.0,75.0,468.67,next_day_arrival,9,False,,1004,16h 44m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '14:37 +1', 'flight_numbers': 'UA 2019 / UA 1167', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1087, 'duration_display': '18h 7m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '12:19', 'arrive_time': '14:37', 'airline': 'UA', 'flight_number': '1167', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 711, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,18:30,14:37 +1,UA 2019 / UA 1167,UA,1,1087,18h 7m,,,,,,,,18:30,14:37 +1,UA 2019 / UA 1167,UA,economy,1,cash,fli,,260.0,260.0,USD,,260.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,90.58,0.0,75.0,475.58,next_day_arrival,7,False,,1087,18h 7m,USD 260.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:30', 'arrive_time': '10:06 +1', 'flight_numbers': 'UA 2019 / UA 1619', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 816, 'duration_display': '13h 36m', 'segments': [{'origin': 'SFO', 'destination': 'IAH', 'depart_time': '18:30', 'arrive_time': '00:28', 'airline': 'UA', 'flight_number': '2019', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 238}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '07:48', 'arrive_time': '10:06', 'airline': 'UA', 'flight_number': '1619', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 138}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 440, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,18:30,10:06 +1,UA 2019 / UA 1619,UA,1,816,13h 36m,,,,,,,,18:30,10:06 +1,UA 2019 / UA 1619,UA,economy,1,cash,fli,,292.0,292.0,USD,,292.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,68.0,0.0,75.0,485.0,next_day_arrival,16,False,,816,13h 36m,USD 292.00,
SFO,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '08:45', 'arrive_time': '20:03', 'flight_numbers': 'AA 2904 / AA 2650', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 558, 'duration_display': '9h 18m', 'segments': [{'origin': 'SFO', 'destination': 'DFW', 'depart_time': '08:45', 'arrive_time': '14:27', 'airline': 'AA', 'flight_number': '2904', 'aircraft': 'Airbus A321', 'duration_minutes': 222}, {'origin': 'DFW', 'destination': 'CUN', 'depart_time': '17:19', 'arrive_time': '20:03', 'airline': 'AA', 'flight_number': '2650', 'aircraft': 'Boeing 737', 'duration_minutes': 164}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 172, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SFO,CUN,2026-09-04,08:45,20:03,AA 2904 / AA 2650,AA,1,558,9h 18m,,,,,,,,08:45,20:03,AA 2904 / AA 2650,AA,economy,1,cash,fli,,391.0,391.0,USD,,391.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_cun_2026-09-04_economy_fli_raw.json,50.0,46.5,0.0,0.0,487.5,,37,False,,558,9h 18m,USD 391.00,
