origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '20:05', 'arrive_time': '23:54', 'flight_numbers': 'DL 2753 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 409, 'duration_display': '6h 49m', 'segments': [{'origin': 'DTW', 'destination': 'SLC', 'depart_time': '20:05', 'arrive_time': '22:10', 'airline': 'DL', 'flight_number': '2753', 'aircraft': 'Boeing 737', 'duration_minutes': 245}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:55', 'arrive_time': '23:54', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 119}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,20:05,23:54,DL 2753 / DL 1272,DL,1,409,6h 49m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,693.0,693.0,USD,,693.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,766.0,early departure,1,True,,276,4h 36m,USD 693.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '15:50', 'arrive_time': '21:47', 'flight_numbers': 'DL 883 / DL 2318', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 537, 'duration_display': '8h 57m', 'segments': [{'origin': 'DTW', 'destination': 'LAX', 'depart_time': '15:50', 'arrive_time': '17:57', 'airline': 'DL', 'flight_number': '883', 'aircraft': 'Airbus A321neo', 'duration_minutes': 307}, {'origin': 'LAX', 'destination': 'SJC', 'depart_time': '20:30', 'arrive_time': '21:47', 'airline': 'DL', 'flight_number': '2318', 'aircraft': 'Airbus A319', 'duration_minutes': 77}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 153, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,15:50,21:47,DL 883 / DL 2318,DL,1,537,8h 57m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,785.0,785.0,USD,,785.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,858.0,early departure,2,False,,276,4h 36m,USD 785.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '16:20', 'arrive_time': '20:58', 'flight_numbers': 'DL 2203 / DL 2087', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 458, 'duration_display': '7h 38m', 'segments': [{'origin': 'DTW', 'destination': 'MSP', 'depart_time': '16:20', 'arrive_time': '17:14', 'airline': 'DL', 'flight_number': '2203', 'aircraft': 'Airbus A321', 'duration_minutes': 114}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '18:46', 'arrive_time': '20:58', 'airline': 'DL', 'flight_number': '2087', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 252}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 92, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,16:20,20:58,DL 2203 / DL 2087,DL,1,458,7h 38m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,785.0,785.0,USD,,785.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,858.0,early departure,3,False,,276,4h 36m,USD 785.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '17:45', 'arrive_time': '23:54', 'flight_numbers': 'DL 765 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 549, 'duration_display': '9h 9m', 'segments': [{'origin': 'DTW', 'destination': 'SLC', 'depart_time': '17:45', 'arrive_time': '19:51', 'airline': 'DL', 'flight_number': '765', 'aircraft': 'Airbus A321', 'duration_minutes': 246}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:55', 'arrive_time': '23:54', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 119}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 184, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,17:45,23:54,DL 765 / DL 1272,DL,1,549,9h 9m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,785.0,785.0,USD,,785.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,858.0,early departure,4,False,,276,4h 36m,USD 785.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '07:00', 'arrive_time': '12:21', 'flight_numbers': 'DL 1746 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 501, 'duration_display': '8h 21m', 'segments': [{'origin': 'DTW', 'destination': 'MSP', 'depart_time': '07:00', 'arrive_time': '08:03', 'airline': 'DL', 'flight_number': '1746', 'aircraft': 'Airbus A321', 'duration_minutes': 123}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:10', 'arrive_time': '12:21', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 251}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 127, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,07:00,12:21,DL 1746 / DL 2383,DL,1,501,8h 21m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,976.0,early departure,5,False,,276,4h 36m,USD 903.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:00', 'arrive_time': '12:28', 'flight_numbers': 'DL 698 / DL 1254', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 448, 'duration_display': '7h 28m', 'segments': [{'origin': 'DTW', 'destination': 'SLC', 'depart_time': '08:00', 'arrive_time': '10:14', 'airline': 'DL', 'flight_number': '698', 'aircraft': 'Airbus A321', 'duration_minutes': 254}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '11:30', 'arrive_time': '12:28', 'airline': 'DL', 'flight_number': '1254', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 118}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 76, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,08:00,12:28,DL 698 / DL 1254,DL,1,448,7h 28m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,976.0,early departure,6,False,,276,4h 36m,USD 903.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '12:25', 'arrive_time': '16:16', 'flight_numbers': 'DL 935 / DL 1260', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 411, 'duration_display': '6h 51m', 'segments': [{'origin': 'DTW', 'destination': 'SLC', 'depart_time': '12:25', 'arrive_time': '14:30', 'airline': 'DL', 'flight_number': '935', 'aircraft': 'Airbus A321', 'duration_minutes': 245}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '15:20', 'arrive_time': '16:16', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 116}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,12:25,16:16,DL 935 / DL 1260,DL,1,411,6h 51m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,976.0,early departure,7,False,,276,4h 36m,USD 903.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '12:25', 'arrive_time': '18:20', 'flight_numbers': 'DL 935 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 535, 'duration_display': '8h 55m', 'segments': [{'origin': 'DTW', 'destination': 'SLC', 'depart_time': '12:25', 'arrive_time': '14:30', 'airline': 'DL', 'flight_number': '935', 'aircraft': 'Airbus A321', 'duration_minutes': 245}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:15', 'arrive_time': '18:20', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 125}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 165, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,12:25,18:20,DL 935 / DL 3937,DL,1,535,8h 55m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,976.0,early departure,8,False,,276,4h 36m,USD 903.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '13:45', 'arrive_time': '18:52', 'flight_numbers': 'DL 1983 / DL 2136', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 487, 'duration_display': '8h 7m', 'segments': [{'origin': 'DTW', 'destination': 'ATL', 'depart_time': '13:45', 'arrive_time': '15:50', 'airline': 'DL', 'flight_number': '1983', 'aircraft': 'Airbus A321', 'duration_minutes': 125}, {'origin': 'ATL', 'destination': 'SJC', 'depart_time': '16:40', 'arrive_time': '18:52', 'airline': 'DL', 'flight_number': '2136', 'aircraft': 'Boeing 737', 'duration_minutes': 312}], 'layovers': [{'airport': 'ATL', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,13:45,18:52,DL 1983 / DL 2136,DL,1,487,8h 7m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,976.0,early departure,9,False,,276,4h 36m,USD 903.00,
SFO,DTW,2026-11-13,multi-city,DTW,SJC,2026-11-30,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'DTW', 'date': '2026-11-13', 'depart_time': '06:00', 'arrive_time': '13:36', 'flight_numbers': 'DL 772', 'carriers': 'DL', 'stops': 0, 'duration_minutes': 276, 'duration_display': '4h 36m', 'segments': [{'origin': 'SFO', 'destination': 'DTW', 'depart_time': '06:00', 'arrive_time': '13:36', 'airline': 'DL', 'flight_number': '772', 'aircraft': 'Boeing 737', 'duration_minutes': 276}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'DTW', 'destination': 'SJC', 'date': '2026-11-30', 'depart_time': '08:30', 'arrive_time': '12:21', 'flight_numbers': 'DL 2258 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 411, 'duration_display': '6h 51m', 'segments': [{'origin': 'DTW', 'destination': 'MSP', 'depart_time': '08:30', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2258', 'aircraft': 'Airbus A321', 'duration_minutes': 120}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:10', 'arrive_time': '12:21', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 251}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 40, 'overnight': False, 'change_of_airport': False}]}}",SFO,DTW,2026-11-13,06:00,13:36,DL 772,DL,0,276,4h 36m,08:30,12:21,DL 2258 / DL 2383,DL,1,411,6h 51m,06:00,13:36,DL 772,DL,economy,0,cash,fli,,1115.0,1115.0,USD,,1115.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_dtw_2026-11-13_dtw_sjc_2026-11-30_economy_multi_city_fli_raw.json,0.0,23.0,50.0,0.0,1188.0,early departure,10,False,,276,4h 36m,USD 1115.00,
