origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '12:00', 'arrive_time': '15:21', 'flight_numbers': 'UA 2100', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 141, 'duration_display': '2h 21m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,12:00,15:21,UA 2100,UA,0,141,2h 21m,,,,,,,,12:00,15:21,UA 2100,UA,economy,0,cash,fli,,389.0,389.0,USD,,389.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,0.0,11.75,0.0,0.0,400.75,,21,False,,141,2h 21m,USD 389.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:10', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,17:10,22:53,DL 1088 / DL 1464,DL,1,283,4h 43m,,,,,,,,17:10,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,429.0,429.0,USD,,429.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,23.58,0.0,0.0,502.58,,33,False,,283,4h 43m,USD 429.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '21:02', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 2023 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 926, 'duration_display': '15h 26m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,21:02,13:28 +1,AS 2023 / AS 2412,AS,1,926,15h 26m,,,,,,,,21:02,13:28 +1,AS 2023 / AS 2412,AS,economy,1,cash,fli,,305.0,305.0,USD,,305.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,77.17,0.0,75.0,507.17,next_day_arrival,3,False,,926,15h 26m,USD 305.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '18:59', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 525 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1049, 'duration_display': '17h 29m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,18:59,13:28 +1,AS 525 / AS 2412,AS,1,1049,17h 29m,,,,,,,,18:59,13:28 +1,AS 525 / AS 2412,AS,economy,1,cash,fli,,305.0,305.0,USD,,305.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,87.42,0.0,75.0,517.42,next_day_arrival,2,False,,1049,17h 29m,USD 305.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '15:03', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 1302 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1285, 'duration_display': '21h 25m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,15:03,13:28 +1,AS 1302 / AS 2412,AS,1,1285,21h 25m,,,,,,,,15:03,13:28 +1,AS 1302 / AS 2412,AS,economy,1,cash,fli,,305.0,305.0,USD,,305.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,107.08,0.0,75.0,537.08,next_day_arrival,1,True,,1285,21h 25m,USD 305.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 249, 'duration_display': '4h 9m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,06:00,11:09,DL 1331 / DL 2813,DL,1,249,4h 9m,,,,,,,,06:00,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,429.0,429.0,USD,,429.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,20.75,50.0,0.0,549.75,early departure,32,False,,249,4h 9m,USD 429.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '19:46', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 3375 / AS 3495 / AS 2412', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1002, 'duration_display': '16h 42m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,19:46,13:28 +1,AS 3375 / AS 3495 / AS 2412,AS,2,1002,16h 42m,,,,,,,,19:46,13:28 +1,AS 3375 / AS 3495 / AS 2412,AS,economy,2,cash,fli,,330.0,330.0,USD,,330.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,100.0,83.5,0.0,75.0,588.5,next_day_arrival,5,False,,1002,16h 42m,USD 330.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,,,,,,,,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,520.0,520.0,USD,,520.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,20.42,0.0,0.0,590.42,,89,False,,245,4h 5m,USD 520.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '07:03', 'arrive_time': '12:28', 'flight_numbers': 'AS 620 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 265, 'duration_display': '4h 25m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,07:03,12:28,AS 620 / AS 2405,AS,1,265,4h 25m,,,,,,,,07:03,12:28,AS 620 / AS 2405,AS,economy,1,cash,fli,,520.0,520.0,USD,,520.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,22.08,0.0,0.0,592.08,,87,False,,265,4h 25m,USD 520.00,
SFO,FCA,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '18:38', 'arrive_time': '11:27 +1', 'flight_numbers': 'UA 1958 / UA 1106', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 949, 'duration_display': '15h 49m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,FCA,2026-09-04,18:38,11:27 +1,UA 1958 / UA 1106,UA,1,949,15h 49m,,,,,,,,18:38,11:27 +1,UA 1958 / UA 1106,UA,economy,1,cash,fli,,390.0,390.0,USD,,390.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_economy_fli_raw.json,50.0,79.08,0.0,75.0,594.08,next_day_arrival,22,False,,949,15h 49m,USD 390.00,
