origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '16:06', 'flight_numbers': 'DL 2813 / DL 1260', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 304, 'duration_display': '5h 4m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '15:12', 'arrive_time': '16:06', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,12:02,16:06,DL 2813 / DL 1260,DL,1,304,5h 4m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,940.0,940.0,USD,,940.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1013.42,,7,False,,281,4h 41m,USD 940.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '12:00', 'arrive_time': '15:21', 'flight_numbers': 'UA 2100', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 141, 'duration_display': '2h 21m', 'segments': [{'origin': 'SFO', 'destination': 'FCA', 'depart_time': '12:00', 'arrive_time': '15:21', 'airline': 'UA', 'flight_number': '2100', 'aircraft': 'Airbus A320', 'duration_minutes': 141}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '14:31', 'arrive_time': '20:57', 'flight_numbers': 'UA 1199 / UA 2745', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 446, 'duration_display': '7h 26m', 'segments': [{'origin': 'FCA', 'destination': 'DEN', 'depart_time': '14:31', 'arrive_time': '16:45', 'airline': 'UA', 'flight_number': '1199', 'aircraft': 'Boeing 737', 'duration_minutes': 134}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 151, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,12:00,15:21,UA 2100,UA,0,141,2h 21m,14:31,20:57,UA 1199 / UA 2745,UA,1,446,7h 26m,12:00,15:21,UA 2100,UA,economy,0,cash,fli,,1027.0,1027.0,USD,,1027.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,11.75,0.0,0.0,1038.75,,13,False,,141,2h 21m,USD 1027.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '12:00', 'arrive_time': '15:21', 'flight_numbers': 'UA 2100', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 141, 'duration_display': '2h 21m', 'segments': [{'origin': 'SFO', 'destination': 'FCA', 'depart_time': '12:00', 'arrive_time': '15:21', 'airline': 'UA', 'flight_number': '2100', 'aircraft': 'Airbus A320', 'duration_minutes': 141}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '10:45', 'arrive_time': '17:31', 'flight_numbers': 'UA 5991 / UA 1883', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 466, 'duration_display': '7h 46m', 'segments': [{'origin': 'FCA', 'destination': 'DEN', 'depart_time': '10:45', 'arrive_time': '13:10', 'airline': 'UA', 'flight_number': '5991', 'aircraft': 'Embraer 175', 'duration_minutes': 145}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '15:55', 'arrive_time': '17:31', 'airline': 'UA', 'flight_number': '1883', 'aircraft': 'Boeing 737', 'duration_minutes': 156}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 165, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,12:00,15:21,UA 2100,UA,0,141,2h 21m,10:45,17:31,UA 5991 / UA 1883,UA,1,466,7h 46m,12:00,15:21,UA 2100,UA,economy,0,cash,fli,,1067.0,1067.0,USD,,1067.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,11.75,0.0,0.0,1078.75,,14,False,,141,2h 21m,USD 1067.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '16:06', 'flight_numbers': 'DL 2813 / DL 1260', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 304, 'duration_display': '5h 4m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '15:12', 'arrive_time': '16:06', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,12:02,16:06,DL 2813 / DL 1260,DL,1,304,5h 4m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,940.0,940.0,USD,,940.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,1111.58,very early departure,1,True,,259,4h 19m,USD 940.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:20', 'arrive_time': '12:27', 'flight_numbers': 'DL 1578 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 427, 'duration_display': '7h 7m', 'segments': [{'origin': 'FCA', 'destination': 'MSP', 'depart_time': '06:20', 'arrive_time': '09:55', 'airline': 'DL', 'flight_number': '1578', 'aircraft': 'Airbus A321', 'duration_minutes': 155}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 37, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,06:20,12:27,DL 1578 / DL 2383,DL,1,427,7h 7m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,1040.0,1040.0,USD,,1040.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1113.42,,8,False,,281,4h 41m,USD 1040.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '18:29', 'flight_numbers': 'DL 2813 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 218, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,12:02,18:29,DL 2813 / DL 3937,DL,1,447,7h 27m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,1040.0,1040.0,USD,,1040.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1113.42,,9,False,,281,4h 41m,USD 1040.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '12:00', 'arrive_time': '15:21', 'flight_numbers': 'UA 2100', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 141, 'duration_display': '2h 21m', 'segments': [{'origin': 'SFO', 'destination': 'FCA', 'depart_time': '12:00', 'arrive_time': '15:21', 'airline': 'UA', 'flight_number': '2100', 'aircraft': 'Airbus A320', 'duration_minutes': 141}], 'layovers': []}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:20', 'arrive_time': '13:08', 'flight_numbers': 'UA 2736 / UA 1256', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 468, 'duration_display': '7h 48m', 'segments': [{'origin': 'FCA', 'destination': 'DEN', 'depart_time': '06:20', 'arrive_time': '08:36', 'airline': 'UA', 'flight_number': '2736', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 136}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '11:29', 'arrive_time': '13:08', 'airline': 'UA', 'flight_number': '1256', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 159}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 173, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,12:00,15:21,UA 2100,UA,0,141,2h 21m,06:20,13:08,UA 2736 / UA 1256,UA,1,468,7h 48m,12:00,15:21,UA 2100,UA,economy,0,cash,fli,,1116.0,1116.0,USD,,1116.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,0.0,11.75,0.0,0.0,1127.75,,15,False,,141,2h 21m,USD 1116.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:20', 'arrive_time': '12:27', 'flight_numbers': 'DL 1578 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 427, 'duration_display': '7h 7m', 'segments': [{'origin': 'FCA', 'destination': 'MSP', 'depart_time': '06:20', 'arrive_time': '09:55', 'airline': 'DL', 'flight_number': '1578', 'aircraft': 'Airbus A321', 'duration_minutes': 155}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 37, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,06:20,12:27,DL 1578 / DL 2383,DL,1,427,7h 7m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,1040.0,1040.0,USD,,1040.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,1211.58,very early departure,2,False,,259,4h 19m,USD 1040.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '18:29', 'flight_numbers': 'DL 2813 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 218, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,12:02,18:29,DL 2813 / DL 3937,DL,1,447,7h 27m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,1040.0,1040.0,USD,,1040.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,1211.58,very early departure,3,False,,259,4h 19m,USD 1040.00,
SFO,FCA,2026-09-04,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:15', 'arrive_time': '08:54', 'flight_numbers': 'DL 2201 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '05:15', 'arrive_time': '06:58', 'airline': 'DL', 'flight_number': '2201', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 53, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,05:15,08:54,DL 2201 / DL 4026,DL,1,279,4h 39m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,1220.0,1220.0,USD,,1220.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,1293.42,,10,False,,281,4h 41m,USD 1220.00,
