origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,758.0,758.0,USD,,758.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,831.42,,5,False,,281,4h 41m,USD 758.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,810.0,810.0,USD,,810.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,883.42,,6,False,,281,4h 41m,USD 810.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,758.0,758.0,USD,,758.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,929.58,very early departure,1,True,,259,4h 19m,USD 758.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,884.0,884.0,USD,,884.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,957.42,,7,False,,281,4h 41m,USD 884.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '22:53', 'flight_numbers': 'DL 1088 / DL 1464', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 281, 'duration_display': '4h 41m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '21:10', 'arrive_time': '22:53', 'airline': 'DL', 'flight_number': '1464', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,17:12,22:53,DL 1088 / DL 1464,DL,1,281,4h 41m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,17:12,22:53,DL 1088 / DL 1464,DL,economy,1,cash,fli,,884.0,884.0,USD,,884.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,23.42,0.0,0.0,957.42,,8,False,,281,4h 41m,USD 884.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,810.0,810.0,USD,,810.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,981.58,very early departure,2,False,,259,4h 19m,USD 810.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,884.0,884.0,USD,,884.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,1055.58,very early departure,3,False,,259,4h 19m,USD 884.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '11:09', 'flight_numbers': 'DL 1331 / DL 2813', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 259, 'duration_display': '4h 19m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '09:25', 'arrive_time': '11:09', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 104}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 45, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,11:09,DL 1331 / DL 2813,DL,1,259,4h 19m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,05:50,11:09,DL 1331 / DL 2813,DL,economy,1,cash,fli,,884.0,884.0,USD,,884.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,21.58,100.0,0.0,1055.58,very early departure,4,False,,259,4h 19m,USD 884.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '12:52', 'flight_numbers': 'DL 1331 / DL 3804', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 362, 'duration_display': '6h 2m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '10:58', 'arrive_time': '12:52', 'airline': 'DL', 'flight_number': '3804', 'aircraft': 'Embraer 175', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 138, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,12:52,DL 1331 / DL 3804,DL,1,362,6h 2m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,05:50,12:52,DL 1331 / DL 3804,DL,economy,1,cash,fli,,928.0,928.0,USD,,928.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.17,100.0,0.0,1108.17,very early departure,9,False,,362,6h 2m,USD 928.00,
SFO,FCA,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '05:50', 'arrive_time': '12:52', 'flight_numbers': 'DL 1331 / DL 3804', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 362, 'duration_display': '6h 2m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '05:50', 'arrive_time': '08:40', 'airline': 'DL', 'flight_number': '1331', 'aircraft': 'Airbus A321', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'FCA', 'depart_time': '10:58', 'arrive_time': '12:52', 'airline': 'DL', 'flight_number': '3804', 'aircraft': 'Embraer 175', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 138, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-04,05:50,12:52,DL 1331 / DL 3804,DL,1,362,6h 2m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,05:50,12:52,DL 1331 / DL 3804,DL,economy,1,cash,fli,,980.0,980.0,USD,,980.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.17,100.0,0.0,1160.17,very early departure,10,False,,362,6h 2m,USD 980.00,
