origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,698.42,,16,False,,305,5h 5m,USD 623.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '09:37 +1', 'flight_numbers': 'AS 2292 / AS 725', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 876, 'duration_display': '14h 36m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,09:37 +1,AS 2292 / AS 725,AS,1,876,14h 36m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,631.0,631.0,USD,,631.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,706.42,,17,False,,305,5h 5m,USD 631.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '10:59 +1', 'flight_numbers': 'AS 2292 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 958, 'duration_display': '15h 58m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,10:59 +1,AS 2292 / AS 528,AS,1,958,15h 58m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,631.0,631.0,USD,,631.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,706.42,,18,False,,305,5h 5m,USD 631.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:03 +1', 'flight_numbers': 'AS 2292 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1082, 'duration_display': '18h 2m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,13:03 +1,AS 2292 / AS 688,AS,1,1082,18h 2m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,661.0,661.0,USD,,661.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,736.42,,19,False,,305,5h 5m,USD 661.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '14:27 +1', 'flight_numbers': 'AS 2292 / AS 655', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1166, 'duration_display': '19h 26m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,14:27 +1,AS 2292 / AS 655,AS,1,1166,19h 26m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,661.0,661.0,USD,,661.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,736.42,,20,False,,305,5h 5m,USD 661.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '15:56 +1', 'flight_numbers': 'AS 2292 / AS 680', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1255, 'duration_display': '20h 55m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,15:56 +1,AS 2292 / AS 680,AS,1,1255,20h 55m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,686.0,686.0,USD,,686.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,761.42,,21,False,,305,5h 5m,USD 686.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '18:00 +1', 'flight_numbers': 'AS 2292 / AS 1385', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1379, 'duration_display': '22h 59m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,18:00 +1,AS 2292 / AS 1385,AS,1,1379,22h 59m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,686.0,686.0,USD,,686.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,761.42,,22,False,,305,5h 5m,USD 686.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '19:59 +1', 'flight_numbers': 'AS 2292 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1498, 'duration_display': '24h 58m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,20:01,19:59 +1,AS 2292 / AS 619,AS,1,1498,24h 58m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,686.0,686.0,USD,,686.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,761.42,,23,False,,305,5h 5m,USD 686.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 2244 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 343, 'duration_display': '5h 43m'}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,06:15,10:58,AS 2244 / AS 528,AS,1,343,5h 43m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,694.0,694.0,USD,,694.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,25.42,0.0,0.0,769.42,,24,False,,305,5h 5m,USD 694.00,
SFO,FCA,2026-09-05,round-trip,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '19:22', 'arrive_time': '12:28 +1', 'flight_numbers': 'AS 591 / AS 2405', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 966, 'duration_display': '16h 6m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m'}}",SFO,FCA,2026-09-05,19:22,12:28 +1,AS 591 / AS 2405,AS,1,966,16h 6m,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,19:22,12:28 +1,AS 591 / AS 2405,AS,economy,1,cash,fli,,568.0,568.0,USD,,568.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_fca_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,80.5,0.0,75.0,773.5,next_day_arrival,1,True,,966,16h 6m,USD 568.00,
