origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 722 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 42, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,07:15,10:58,AS 722 / AS 528,AS,1,283,4h 43m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,596.0,596.0,USD,,596.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,666.42,,10,False,,245,4h 5m,USD 596.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '07:23', 'arrive_time': '09:07', 'airline': 'AS', 'flight_number': '1410', 'aircraft': 'Boeing 737', 'duration_minutes': 104}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 105, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 722 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 42, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,07:15,10:58,AS 722 / AS 528,AS,1,283,4h 43m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,596.0,596.0,USD,,596.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.42,0.0,0.0,671.42,,1,True,,305,5h 5m,USD 596.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:40', 'flight_numbers': 'AS 660 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 444, 'duration_display': '7h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '20:25', 'arrive_time': '22:40', 'airline': 'AS', 'flight_number': '590', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 205, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,16:16,22:40,AS 660 / AS 590,AS,1,444,7h 24m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,693.42,,11,False,,245,4h 5m,USD 623.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '07:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1410 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 305, 'duration_display': '5h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '07:23', 'arrive_time': '09:07', 'airline': 'AS', 'flight_number': '1410', 'aircraft': 'Boeing 737', 'duration_minutes': 104}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 105, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:40', 'flight_numbers': 'AS 660 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 444, 'duration_display': '7h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '20:25', 'arrive_time': '22:40', 'airline': 'AS', 'flight_number': '590', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 205, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,07:23,13:28,AS 1410 / AS 2412,AS,1,305,5h 5m,16:16,22:40,AS 660 / AS 590,AS,1,444,7h 24m,07:23,13:28,AS 1410 / AS 2412,AS,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.42,0.0,0.0,698.42,,2,False,,305,5h 5m,USD 623.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 722 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 401, 'duration_display': '6h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 162, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,07:15,12:56,AS 722 / AS 688,AS,1,401,6h 41m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,12,False,,245,4h 5m,USD 783.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '13:05', 'arrive_time': '16:37', 'flight_numbers': 'AS 2042 / AS 236', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 272, 'duration_display': '4h 32m', 'segments': [{'origin': 'MSO', 'destination': 'PDX', 'depart_time': '13:05', 'arrive_time': '13:36', 'airline': 'AS', 'flight_number': '2042', 'aircraft': 'Embraer 175', 'duration_minutes': 91}, {'origin': 'PDX', 'destination': 'SFO', 'depart_time': '14:42', 'arrive_time': '16:37', 'airline': 'AS', 'flight_number': '236', 'aircraft': 'Boeing 737', 'duration_minutes': 115}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 66, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,13:05,16:37,AS 2042 / AS 236,AS,1,272,4h 32m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,13,False,,245,4h 5m,USD 783.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '18:00', 'flight_numbers': 'AS 2219 / AS 1385', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 295, 'duration_display': '4h 55m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '15:45', 'arrive_time': '18:00', 'airline': 'AS', 'flight_number': '1385', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,14:05,18:00,AS 2219 / AS 1385,AS,1,295,4h 55m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,14,False,,245,4h 5m,USD 783.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '19:59', 'flight_numbers': 'AS 2219 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 414, 'duration_display': '6h 54m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 184, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,14:05,19:59,AS 2219 / AS 619,AS,1,414,6h 54m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,15,False,,245,4h 5m,USD 783.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '19:59', 'flight_numbers': 'AS 660 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 44, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,16:16,19:59,AS 660 / AS 619,AS,1,283,4h 43m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,16,False,,245,4h 5m,USD 783.00,
SFO,FCA,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'FCA', 'date': '2026-09-05', 'depart_time': '08:23', 'arrive_time': '13:28', 'flight_numbers': 'AS 1411 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 245, 'duration_display': '4h 5m', 'segments': [{'origin': 'SFO', 'destination': 'PDX', 'depart_time': '08:23', 'arrive_time': '10:09', 'airline': 'AS', 'flight_number': '1411', 'aircraft': 'Boeing 737', 'duration_minutes': 106}, {'origin': 'PDX', 'destination': 'FCA', 'depart_time': '10:52', 'arrive_time': '13:28', 'airline': 'AS', 'flight_number': '2412', 'aircraft': 'Embraer 175', 'duration_minutes': 96}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 43, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '21:30', 'flight_numbers': 'AS 660 / AS 628', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 374, 'duration_display': '6h 14m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '19:15', 'arrive_time': '21:30', 'airline': 'AS', 'flight_number': '628', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}]}}",SFO,FCA,2026-09-05,08:23,13:28,AS 1411 / AS 2412,AS,1,245,4h 5m,16:16,21:30,AS 660 / AS 628,AS,1,374,6h 14m,08:23,13:28,AS 1411 / AS 2412,AS,economy,1,cash,fli,,783.0,783.0,USD,,783.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_fca_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,20.42,0.0,0.0,853.42,,17,False,,245,4h 5m,USD 783.00,
