origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '12:00', 'arrive_time': '15:24', 'flight_numbers': 'UA 5422', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 144, 'duration_display': '2h 24m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,12:00,15:24,UA 5422,UA,0,144,2h 24m,,,,,,,,12:00,15:24,UA 5422,UA,economy,0,cash,fli,,427.0,427.0,USD,,427.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,0.0,12.0,0.0,0.0,439.0,,63,False,,144,2h 24m,USD 427.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '07:23', 'arrive_time': '13:25', 'flight_numbers': 'AS 1410 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 302, 'duration_display': '5h 2m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,07:23,13:25,AS 1410 / AS 2146,AS,1,302,5h 2m,,,,,,,,07:23,13:25,AS 1410 / AS 2146,AS,economy,1,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,25.17,0.0,0.0,440.17,,34,False,,302,5h 2m,USD 365.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '15:03', 'arrive_time': '22:56', 'flight_numbers': 'AS 1302 / AS 743 / AS 1435', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 413, 'duration_display': '6h 53m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,15:03,22:56,AS 1302 / AS 743 / AS 1435,AS,2,413,6h 53m,,,,,,,,15:03,22:56,AS 1302 / AS 743 / AS 1435,AS,economy,2,cash,fli,,322.0,322.0,USD,,322.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,100.0,34.42,0.0,0.0,456.42,,13,False,,413,6h 53m,USD 322.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '15:37', 'arrive_time': '23:47', 'flight_numbers': 'DL 2159 / DL 2610', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 430, 'duration_display': '7h 10m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,15:37,23:47,DL 2159 / DL 2610,DL,1,430,7h 10m,,,,,,,,15:37,23:47,DL 2159 / DL 2610,DL,economy,1,cash,fli,,349.0,349.0,USD,,349.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,35.83,50.0,0.0,484.83,late arrival,21,False,,430,7h 10m,USD 349.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:03', 'arrive_time': '12:23', 'flight_numbers': 'AS 580 / AS 2230', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 320, 'duration_display': '5h 20m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,06:03,12:23,AS 580 / AS 2230,AS,1,320,5h 20m,,,,,,,,06:03,12:23,AS 580 / AS 2230,AS,economy,1,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,26.67,50.0,0.0,491.67,early departure,33,False,,320,5h 20m,USD 365.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:23', 'arrive_time': '22:56', 'flight_numbers': 'AS 1411 / AS 743 / AS 1435', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 813, 'duration_display': '13h 33m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,08:23,22:56,AS 1411 / AS 743 / AS 1435,AS,2,813,13h 33m,,,,,,,,08:23,22:56,AS 1411 / AS 743 / AS 1435,AS,economy,2,cash,fli,,328.0,328.0,USD,,328.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,100.0,67.75,0.0,0.0,495.75,,16,False,,813,13h 33m,USD 328.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '07:03', 'arrive_time': '15:17', 'flight_numbers': 'AS 620 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 434, 'duration_display': '7h 14m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,07:03,15:17,AS 620 / AS 660,AS,1,434,7h 14m,,,,,,,,07:03,15:17,AS 620 / AS 660,AS,economy,1,cash,fli,,417.0,417.0,USD,,417.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,36.17,0.0,0.0,503.17,,56,False,,434,7h 14m,USD 417.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '21:02', 'arrive_time': '13:25 +1', 'flight_numbers': 'AS 2023 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 923, 'duration_display': '15h 23m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,21:02,13:25 +1,AS 2023 / AS 2146,AS,1,923,15h 23m,,,,,,,,21:02,13:25 +1,AS 2023 / AS 2146,AS,economy,1,cash,fli,,305.0,305.0,USD,,305.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,76.92,0.0,75.0,506.92,next_day_arrival,10,False,,923,15h 23m,USD 305.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,,,,,,,,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,264.0,264.0,USD,,264.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,19.42,100.0,75.0,508.42,"after-midnight arrival, next_day_arrival",2,False,,233,3h 53m,USD 264.00,
SFO,MSO,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '07:03', 'arrive_time': '12:23', 'flight_numbers': 'AS 620 / AS 2230', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m'}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': ''}}",SFO,MSO,2026-09-04,07:03,12:23,AS 620 / AS 2230,AS,1,260,4h 20m,,,,,,,,07:03,12:23,AS 620 / AS 2230,AS,economy,1,cash,fli,,439.0,439.0,USD,,439.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_economy_fli_raw.json,50.0,21.67,0.0,0.0,510.67,,84,False,,260,4h 20m,USD 439.00,
