origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,289.0,289.0,USD,,289.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,533.42,"after-midnight arrival, next_day_arrival",10,False,,233,3h 53m,USD 289.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:10', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m'}}",SFO,MSO,2026-09-04,17:10,00:18 +1,DL 1088 / DL 1723,DL,1,368,6h 8m,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,17:10,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,289.0,289.0,USD,,289.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,30.67,100.0,75.0,544.67,"after-midnight arrival, next_day_arrival",1,True,,368,6h 8m,USD 289.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:06', 'arrive_time': '14:43', 'flight_numbers': 'DL 2178 / DL 362', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 457, 'duration_display': '7h 37m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m'}}",SFO,MSO,2026-09-04,06:06,14:43,DL 2178 / DL 362,DL,1,457,7h 37m,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,06:06,14:43,DL 2178 / DL 362,DL,economy,1,cash,fli,,533.0,533.0,USD,,533.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,38.08,50.0,0.0,671.08,early departure,19,False,,457,7h 37m,USD 533.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '10:49', 'flight_numbers': 'DL 2795 / DL 1087 / DL 1715', 'carriers': 'DL', 'stops': 2, 'duration_minutes': 379, 'duration_display': '6h 19m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,05:30,10:49,DL 2795 / DL 1087 / DL 1715,DL,2,379,6h 19m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,538.0,538.0,USD,,538.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,782.42,"after-midnight arrival, next_day_arrival",11,False,,233,3h 53m,USD 538.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '13:31', 'flight_numbers': 'DL 2795 / DL 1095 / DL 2725', 'carriers': 'DL', 'stops': 2, 'duration_minutes': 541, 'duration_display': '9h 1m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,05:30,13:31,DL 2795 / DL 1095 / DL 2725,DL,2,541,9h 1m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,538.0,538.0,USD,,538.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,782.42,"after-midnight arrival, next_day_arrival",12,False,,233,3h 53m,USD 538.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:10', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '10:49', 'flight_numbers': 'DL 2795 / DL 1087 / DL 1715', 'carriers': 'DL', 'stops': 2, 'duration_minutes': 379, 'duration_display': '6h 19m'}}",SFO,MSO,2026-09-04,17:10,00:18 +1,DL 1088 / DL 1723,DL,1,368,6h 8m,05:30,10:49,DL 2795 / DL 1087 / DL 1715,DL,2,379,6h 19m,17:10,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,538.0,538.0,USD,,538.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,30.67,100.0,75.0,793.67,"after-midnight arrival, next_day_arrival",2,False,,368,6h 8m,USD 538.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:10', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '13:31', 'flight_numbers': 'DL 2795 / DL 1095 / DL 2725', 'carriers': 'DL', 'stops': 2, 'duration_minutes': 541, 'duration_display': '9h 1m'}}",SFO,MSO,2026-09-04,17:10,00:18 +1,DL 1088 / DL 1723,DL,1,368,6h 8m,05:30,13:31,DL 2795 / DL 1095 / DL 2725,DL,2,541,9h 1m,17:10,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,538.0,538.0,USD,,538.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,30.67,100.0,75.0,793.67,"after-midnight arrival, next_day_arrival",3,False,,368,6h 8m,USD 538.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '13:09', 'flight_numbers': 'DL 2907 / DL 2074', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 489, 'duration_display': '8h 9m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,06:00,13:09,DL 2907 / DL 2074,DL,1,489,8h 9m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,867.42,"after-midnight arrival, next_day_arrival",14,False,,233,3h 53m,USD 623.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '21:59', 'flight_numbers': 'DL 3808 / DL 2762', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 263, 'duration_display': '4h 23m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,18:36,21:59,DL 3808 / DL 2762,DL,1,263,4h 23m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,867.42,"after-midnight arrival, next_day_arrival",15,False,,233,3h 53m,USD 623.00,
SFO,MSO,2026-09-04,round-trip,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m'}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:52', 'flight_numbers': 'DL 3808 / DL 1091', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 376, 'duration_display': '6h 16m'}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,18:36,23:52,DL 3808 / DL 1091,DL,1,376,6h 16m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,623.0,623.0,USD,,623.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sfo_2026-09-07_economy_round_trip_fli_raw.json,50.0,19.42,100.0,75.0,867.42,"after-midnight arrival, next_day_arrival",16,False,,233,3h 53m,USD 623.00,
