origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '19:25', 'arrive_time': '22:15', 'airline': 'DL', 'flight_number': '2652', 'aircraft': 'Boeing 737', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,533.0,533.0,USD,,533.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,19.42,100.0,75.0,777.42,"after-midnight arrival, next_day_arrival",5,False,,233,3h 53m,USD 533.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 366, 'duration_display': '6h 6m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 160, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:54', 'flight_numbers': 'DL 2795 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 264, 'duration_display': '4h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 50, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,17:12,00:18 +1,DL 1088 / DL 1723,DL,1,366,6h 6m,05:30,08:54,DL 2795 / DL 4026,DL,1,264,4h 24m,17:12,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,533.0,533.0,USD,,533.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.5,100.0,75.0,788.5,"after-midnight arrival, next_day_arrival",1,True,,366,6h 6m,USD 533.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '19:25', 'arrive_time': '22:15', 'airline': 'DL', 'flight_number': '2652', 'aircraft': 'Boeing 737', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,585.0,585.0,USD,,585.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,19.42,100.0,75.0,829.42,"after-midnight arrival, next_day_arrival",6,False,,233,3h 53m,USD 585.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 366, 'duration_display': '6h 6m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 160, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:00', 'arrive_time': '12:27', 'flight_numbers': 'DL 2907 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'MSO', 'destination': 'MSP', 'depart_time': '06:00', 'arrive_time': '09:30', 'airline': 'DL', 'flight_number': '2907', 'aircraft': 'Airbus A320', 'duration_minutes': 150}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 62, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,17:12,00:18 +1,DL 1088 / DL 1723,DL,1,366,6h 6m,06:00,12:27,DL 2907 / DL 2383,DL,1,447,7h 27m,17:12,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,585.0,585.0,USD,,585.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.5,100.0,75.0,840.5,"after-midnight arrival, next_day_arrival",2,False,,366,6h 6m,USD 585.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:03', 'arrive_time': '15:17', 'flight_numbers': 'AS 580 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 494, 'duration_display': '8h 14m', 'segments': [{'origin': 'SFO', 'destination': 'SEA', 'depart_time': '06:03', 'arrive_time': '08:11', 'airline': 'AS', 'flight_number': '580', 'aircraft': 'Boeing 737', 'duration_minutes': 128}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 274, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:57', 'flight_numbers': 'AS 660 / AS 1444', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SJC', 'depart_time': '20:43', 'arrive_time': '22:57', 'airline': 'AS', 'flight_number': '1444', 'aircraft': 'Boeing 737', 'duration_minutes': 134}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 223, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,06:03,15:17,AS 580 / AS 660,AS,1,494,8h 14m,16:16,22:57,AS 660 / AS 1444,AS,1,461,7h 41m,06:03,15:17,AS 580 / AS 660,AS,economy,1,cash,fli,,756.0,756.0,USD,,756.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,41.17,50.0,0.0,897.17,early departure,9,False,,494,8h 14m,USD 756.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '19:25', 'arrive_time': '22:15', 'airline': 'DL', 'flight_number': '2652', 'aircraft': 'Boeing 737', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,659.0,659.0,USD,,659.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,19.42,100.0,75.0,903.42,"after-midnight arrival, next_day_arrival",7,False,,233,3h 53m,USD 659.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '19:25', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 2652 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 233, 'duration_display': '3h 53m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '19:25', 'arrive_time': '22:15', 'airline': 'DL', 'flight_number': '2652', 'aircraft': 'Boeing 737', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 30, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,19:25,00:18 +1,DL 2652 / DL 1723,DL,1,233,3h 53m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,19:25,00:18 +1,DL 2652 / DL 1723,DL,economy,1,cash,fli,,659.0,659.0,USD,,659.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,19.42,100.0,75.0,903.42,"after-midnight arrival, next_day_arrival",8,False,,233,3h 53m,USD 659.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 366, 'duration_display': '6h 6m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 160, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:16', 'arrive_time': '18:29', 'flight_numbers': 'DL 4112 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 373, 'duration_display': '6h 13m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '13:16', 'arrive_time': '14:59', 'airline': 'DL', 'flight_number': '4112', 'aircraft': 'Embraer 175', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 148, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,17:12,00:18 +1,DL 1088 / DL 1723,DL,1,366,6h 6m,13:16,18:29,DL 4112 / DL 3937,DL,1,373,6h 13m,17:12,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,659.0,659.0,USD,,659.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.5,100.0,75.0,914.5,"after-midnight arrival, next_day_arrival",3,False,,366,6h 6m,USD 659.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '17:12', 'arrive_time': '00:18 +1', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 366, 'duration_display': '6h 6m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A320', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '22:45', 'arrive_time': '00:18', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 93}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 160, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:36', 'arrive_time': '23:44', 'flight_numbers': 'DL 3808 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 368, 'duration_display': '6h 8m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '18:36', 'arrive_time': '20:18', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 102}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 152, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,17:12,00:18 +1,DL 1088 / DL 1723,DL,1,366,6h 6m,18:36,23:44,DL 3808 / DL 1272,DL,1,368,6h 8m,17:12,00:18 +1,DL 1088 / DL 1723,DL,economy,1,cash,fli,,659.0,659.0,USD,,659.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,30.5,100.0,75.0,914.5,"after-midnight arrival, next_day_arrival",4,False,,366,6h 6m,USD 659.00,
SFO,MSO,2026-09-04,multi-city,MSO,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:03', 'arrive_time': '15:17', 'flight_numbers': 'AS 580 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 494, 'duration_display': '8h 14m', 'segments': [{'origin': 'SFO', 'destination': 'SEA', 'depart_time': '06:03', 'arrive_time': '08:11', 'airline': 'AS', 'flight_number': '580', 'aircraft': 'Boeing 737', 'duration_minutes': 128}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 274, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '22:57', 'flight_numbers': 'AS 2219 / AS 1444', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 592, 'duration_display': '9h 52m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SJC', 'depart_time': '20:43', 'arrive_time': '22:57', 'airline': 'AS', 'flight_number': '1444', 'aircraft': 'Boeing 737', 'duration_minutes': 134}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 363, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-04,06:03,15:17,AS 580 / AS 660,AS,1,494,8h 14m,14:05,22:57,AS 2219 / AS 1444,AS,1,592,9h 52m,06:03,15:17,AS 580 / AS 660,AS,economy,1,cash,fli,,811.0,811.0,USD,,811.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-04_mso_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,41.17,50.0,0.0,952.17,early departure,10,False,,494,8h 14m,USD 811.00,
