origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:41', 'arrive_time': '17:46', 'flight_numbers': 'DL 920 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 425, 'duration_display': '7h 5m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '09:41', 'arrive_time': '12:31', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 214, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '16:06', 'flight_numbers': 'DL 2813 / DL 1260', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 304, 'duration_display': '5h 4m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '15:12', 'arrive_time': '16:06', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,09:41,17:46,DL 920 / DL 3808,DL,1,425,7h 5m,12:02,16:06,DL 2813 / DL 1260,DL,1,304,5h 4m,09:41,17:46,DL 920 / DL 3808,DL,economy,1,cash,fli,,750.0,750.0,USD,,750.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,35.42,0.0,0.0,835.42,,7,False,,425,7h 5m,USD 750.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '17:16', 'arrive_time': '23:12', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 296, 'duration_display': '4h 56m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:16', 'arrive_time': '20:10', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '21:40', 'arrive_time': '23:12', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '16:06', 'flight_numbers': 'DL 2813 / DL 1260', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 304, 'duration_display': '5h 4m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '15:12', 'arrive_time': '16:06', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,17:16,23:12,DL 1088 / DL 1723,DL,1,296,4h 56m,12:02,16:06,DL 2813 / DL 1260,DL,1,304,5h 4m,17:16,23:12,DL 1088 / DL 1723,DL,economy,1,cash,fli,,715.0,715.0,USD,,715.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,24.67,50.0,0.0,839.67,late arrival,1,True,,296,4h 56m,USD 715.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:41', 'arrive_time': '17:46', 'flight_numbers': 'DL 920 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 425, 'duration_display': '7h 5m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '09:41', 'arrive_time': '12:31', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 214, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:20', 'arrive_time': '12:27', 'flight_numbers': 'DL 1578 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 427, 'duration_display': '7h 7m', 'segments': [{'origin': 'FCA', 'destination': 'MSP', 'depart_time': '06:20', 'arrive_time': '09:55', 'airline': 'DL', 'flight_number': '1578', 'aircraft': 'Airbus A321', 'duration_minutes': 155}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 37, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,09:41,17:46,DL 920 / DL 3808,DL,1,425,7h 5m,06:20,12:27,DL 1578 / DL 2383,DL,1,427,7h 7m,09:41,17:46,DL 920 / DL 3808,DL,economy,1,cash,fli,,850.0,850.0,USD,,850.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,35.42,0.0,0.0,935.42,,8,False,,425,7h 5m,USD 850.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:41', 'arrive_time': '17:46', 'flight_numbers': 'DL 920 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 425, 'duration_display': '7h 5m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '09:41', 'arrive_time': '12:31', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 214, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '18:29', 'flight_numbers': 'DL 2813 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 218, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,09:41,17:46,DL 920 / DL 3808,DL,1,425,7h 5m,12:02,18:29,DL 2813 / DL 3937,DL,1,447,7h 27m,09:41,17:46,DL 920 / DL 3808,DL,economy,1,cash,fli,,850.0,850.0,USD,,850.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,35.42,0.0,0.0,935.42,,9,False,,425,7h 5m,USD 850.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '17:16', 'arrive_time': '23:12', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 296, 'duration_display': '4h 56m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:16', 'arrive_time': '20:10', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '21:40', 'arrive_time': '23:12', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:20', 'arrive_time': '12:27', 'flight_numbers': 'DL 1578 / DL 2383', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 427, 'duration_display': '7h 7m', 'segments': [{'origin': 'FCA', 'destination': 'MSP', 'depart_time': '06:20', 'arrive_time': '09:55', 'airline': 'DL', 'flight_number': '1578', 'aircraft': 'Airbus A321', 'duration_minutes': 155}, {'origin': 'MSP', 'destination': 'SJC', 'depart_time': '10:32', 'arrive_time': '12:27', 'airline': 'DL', 'flight_number': '2383', 'aircraft': 'Airbus A320', 'duration_minutes': 235}], 'layovers': [{'airport': 'MSP', 'duration_minutes': 37, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,17:16,23:12,DL 1088 / DL 1723,DL,1,296,4h 56m,06:20,12:27,DL 1578 / DL 2383,DL,1,427,7h 7m,17:16,23:12,DL 1088 / DL 1723,DL,economy,1,cash,fli,,815.0,815.0,USD,,815.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,24.67,50.0,0.0,939.67,late arrival,2,False,,296,4h 56m,USD 815.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '17:16', 'arrive_time': '23:12', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 296, 'duration_display': '4h 56m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:16', 'arrive_time': '20:10', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '21:40', 'arrive_time': '23:12', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:02', 'arrive_time': '18:29', 'flight_numbers': 'DL 2813 / DL 3937', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 447, 'duration_display': '7h 27m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '12:02', 'arrive_time': '13:49', 'airline': 'DL', 'flight_number': '2813', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 107}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '17:27', 'arrive_time': '18:29', 'airline': 'DL', 'flight_number': '3937', 'aircraft': 'Embraer 175', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 218, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,17:16,23:12,DL 1088 / DL 1723,DL,1,296,4h 56m,12:02,18:29,DL 2813 / DL 3937,DL,1,447,7h 27m,17:16,23:12,DL 1088 / DL 1723,DL,economy,1,cash,fli,,815.0,815.0,USD,,815.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,24.67,50.0,0.0,939.67,late arrival,3,False,,296,4h 56m,USD 815.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '15:38', 'arrive_time': '12:35 +1', 'flight_numbers': 'AA 2205 / AA 851', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1197, 'duration_display': '19h 57m', 'segments': [{'origin': 'SFO', 'destination': 'DFW', 'depart_time': '15:38', 'arrive_time': '21:23', 'airline': 'AA', 'flight_number': '2205', 'aircraft': 'Airbus A321', 'duration_minutes': 225}, {'origin': 'DFW', 'destination': 'MSO', 'depart_time': '10:10', 'arrive_time': '12:35', 'airline': 'AA', 'flight_number': '851', 'aircraft': 'Boeing 737', 'duration_minutes': 205}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 767, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '15:24', 'arrive_time': '10:50 +1', 'flight_numbers': 'AA 1337 / AA 2046', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1226, 'duration_display': '20h 26m', 'segments': [{'origin': 'FCA', 'destination': 'DFW', 'depart_time': '15:24', 'arrive_time': '20:00', 'airline': 'AA', 'flight_number': '1337', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 216}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '09:18', 'arrive_time': '10:50', 'airline': 'AA', 'flight_number': '2046', 'aircraft': 'Boeing 737', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 798, 'overnight': True, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,15:38,12:35 +1,AA 2205 / AA 851,AA,1,1197,19h 57m,15:24,10:50 +1,AA 1337 / AA 2046,AA,1,1226,20h 26m,15:38,12:35 +1,AA 2205 / AA 851,AA,economy,1,cash,fli,,760.0,760.0,USD,,760.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,99.75,0.0,75.0,984.75,next_day_arrival,13,False,,1197,19h 57m,USD 760.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:41', 'arrive_time': '17:46', 'flight_numbers': 'DL 920 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 425, 'duration_display': '7h 5m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '09:41', 'arrive_time': '12:31', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 214, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:15', 'arrive_time': '08:54', 'flight_numbers': 'DL 2201 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '05:15', 'arrive_time': '06:58', 'airline': 'DL', 'flight_number': '2201', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 53, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,09:41,17:46,DL 920 / DL 3808,DL,1,425,7h 5m,05:15,08:54,DL 2201 / DL 4026,DL,1,279,4h 39m,09:41,17:46,DL 920 / DL 3808,DL,economy,1,cash,fli,,1030.0,1030.0,USD,,1030.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,35.42,0.0,0.0,1115.42,,10,False,,425,7h 5m,USD 1030.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:41', 'arrive_time': '17:46', 'flight_numbers': 'DL 920 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 425, 'duration_display': '7h 5m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '09:41', 'arrive_time': '12:31', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 110}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 214, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '18:09', 'arrive_time': '23:44', 'flight_numbers': 'DL 3798 / DL 1272', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 395, 'duration_display': '6h 35m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '18:09', 'arrive_time': '19:58', 'airline': 'DL', 'flight_number': '3798', 'aircraft': 'Embraer 175', 'duration_minutes': 109}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '22:50', 'arrive_time': '23:44', 'airline': 'DL', 'flight_number': '1272', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 172, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,09:41,17:46,DL 920 / DL 3808,DL,1,425,7h 5m,18:09,23:44,DL 3798 / DL 1272,DL,1,395,6h 35m,09:41,17:46,DL 920 / DL 3808,DL,economy,1,cash,fli,,1030.0,1030.0,USD,,1030.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,35.42,0.0,0.0,1115.42,,11,False,,425,7h 5m,USD 1030.00,
SFO,MSO,2026-09-05,multi-city,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SFO', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '17:16', 'arrive_time': '23:12', 'flight_numbers': 'DL 1088 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 296, 'duration_display': '4h 56m', 'segments': [{'origin': 'SFO', 'destination': 'SLC', 'depart_time': '17:16', 'arrive_time': '20:10', 'airline': 'DL', 'flight_number': '1088', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 114}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '21:40', 'arrive_time': '23:12', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '05:15', 'arrive_time': '08:54', 'flight_numbers': 'DL 2201 / DL 4026', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SLC', 'depart_time': '05:15', 'arrive_time': '06:58', 'airline': 'DL', 'flight_number': '2201', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 103}, {'origin': 'SLC', 'destination': 'SJC', 'depart_time': '07:51', 'arrive_time': '08:54', 'airline': 'DL', 'flight_number': '4026', 'aircraft': 'Embraer 175', 'duration_minutes': 123}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 53, 'overnight': False, 'change_of_airport': False}]}}",SFO,MSO,2026-09-05,17:16,23:12,DL 1088 / DL 1723,DL,1,296,4h 56m,05:15,08:54,DL 2201 / DL 4026,DL,1,279,4h 39m,17:16,23:12,DL 1088 / DL 1723,DL,economy,1,cash,fli,,995.0,995.0,USD,,995.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sfo_mso_2026-09-05_fca_sjc_2026-09-07_economy_multi_city_fli_raw.json,50.0,24.67,50.0,0.0,1119.67,late arrival,4,False,,296,4h 56m,USD 995.00,
