origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '07:00', 'arrive_time': '17:00', 'flight_numbers': 'DL 1654 / DL 615', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'LAX', 'depart_time': '07:00', 'arrive_time': '08:26', 'airline': 'DL', 'flight_number': '1654', 'aircraft': 'Airbus A319', 'duration_minutes': 86}, {'origin': 'LAX', 'destination': 'CUN', 'depart_time': '10:10', 'arrive_time': '17:00', 'airline': 'DL', 'flight_number': '615', 'aircraft': 'Boeing 737', 'duration_minutes': 290}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:04', 'arrive_time': '13:20', 'flight_numbers': 'AM 501 / AM 668', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 556, 'duration_display': '9h 16m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '06:04', 'arrive_time': '07:25', 'airline': 'AM', 'flight_number': '501', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 141}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '09:45', 'arrive_time': '13:20', 'airline': 'AM', 'flight_number': '668', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 275}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 140, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,07:00,17:00,DL 1654 / DL 615,DL,1,480,8h,06:04,13:20,AM 501 / AM 668,AM,1,556,9h 16m,07:00,17:00,DL 1654 / DL 615,DL,economy,1,cash,fli,,949.0,949.0,USD,,949.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,0.0,0.0,1039.0,,35,False,,480,8h,USD 949.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '07:00', 'arrive_time': '17:00', 'flight_numbers': 'DL 1654 / DL 615', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'LAX', 'depart_time': '07:00', 'arrive_time': '08:26', 'airline': 'DL', 'flight_number': '1654', 'aircraft': 'Airbus A319', 'duration_minutes': 86}, {'origin': 'LAX', 'destination': 'CUN', 'depart_time': '10:10', 'arrive_time': '17:00', 'airline': 'DL', 'flight_number': '615', 'aircraft': 'Boeing 737', 'duration_minutes': 290}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:59', 'arrive_time': '13:20', 'flight_numbers': 'AM 505 / AM 668', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 501, 'duration_display': '8h 21m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '06:59', 'arrive_time': '08:20', 'airline': 'AM', 'flight_number': '505', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 141}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '09:45', 'arrive_time': '13:20', 'airline': 'AM', 'flight_number': '668', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 275}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 85, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,07:00,17:00,DL 1654 / DL 615,DL,1,480,8h,06:59,13:20,AM 505 / AM 668,AM,1,501,8h 21m,07:00,17:00,DL 1654 / DL 615,DL,economy,1,cash,fli,,949.0,949.0,USD,,949.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,0.0,0.0,1039.0,,36,False,,480,8h,USD 949.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '07:00', 'arrive_time': '17:00', 'flight_numbers': 'DL 1654 / DL 615', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'LAX', 'depart_time': '07:00', 'arrive_time': '08:26', 'airline': 'DL', 'flight_number': '1654', 'aircraft': 'Airbus A319', 'duration_minutes': 86}, {'origin': 'LAX', 'destination': 'CUN', 'depart_time': '10:10', 'arrive_time': '17:00', 'airline': 'DL', 'flight_number': '615', 'aircraft': 'Boeing 737', 'duration_minutes': 290}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:31', 'arrive_time': '21:10', 'flight_numbers': 'AM 535 / AM 664', 'carriers': 'AM', 'stops': 1, 'duration_minutes': 519, 'duration_display': '8h 39m', 'segments': [{'origin': 'CUN', 'destination': 'MEX', 'depart_time': '14:31', 'arrive_time': '16:00', 'airline': 'AM', 'flight_number': '535', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 149}, {'origin': 'MEX', 'destination': 'SFO', 'depart_time': '17:20', 'arrive_time': '21:10', 'airline': 'AM', 'flight_number': '664', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 290}], 'layovers': [{'airport': 'MEX', 'duration_minutes': 80, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,07:00,17:00,DL 1654 / DL 615,DL,1,480,8h,14:31,21:10,AM 535 / AM 664,AM,1,519,8h 39m,07:00,17:00,DL 1654 / DL 615,DL,economy,1,cash,fli,,949.0,949.0,USD,,949.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,0.0,0.0,1039.0,,37,False,,480,8h,USD 949.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '22:55', 'flight_numbers': 'UA 1275 / UA 2056', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 635, 'duration_display': '10h 35m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '21:29', 'arrive_time': '22:55', 'airline': 'UA', 'flight_number': '2056', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 86}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 247, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,14:20,22:55,UA 1275 / UA 2056,UA,1,635,10h 35m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,872.0,872.0,USD,,872.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,81.75,0.0,75.0,1078.75,next_day_arrival,1,True,,981,16h 21m,USD 872.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '12:57', 'arrive_time': '16:40', 'flight_numbers': 'UA 1948', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'CUN', 'destination': 'SFO', 'depart_time': '12:57', 'arrive_time': '16:40', 'airline': 'UA', 'flight_number': '1948', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 343}], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,12:57,16:40,UA 1948,UA,0,343,5h 43m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,900.0,900.0,USD,,900.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,81.75,0.0,75.0,1106.75,next_day_arrival,2,False,,981,16h 21m,USD 900.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '20:17', 'flight_numbers': 'UA 1275 / UA 2681', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 477, 'duration_display': '7h 57m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '18:45', 'arrive_time': '20:17', 'airline': 'UA', 'flight_number': '2681', 'aircraft': 'Boeing 737', 'duration_minutes': 92}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,14:20,20:17,UA 1275 / UA 2681,UA,1,477,7h 57m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,81.75,0.0,75.0,1109.75,next_day_arrival,3,False,,981,16h 21m,USD 903.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '21:47', 'flight_numbers': 'UA 1275 / UA 1195', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 567, 'duration_display': '9h 27m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '20:21', 'arrive_time': '21:47', 'airline': 'UA', 'flight_number': '1195', 'aircraft': 'Boeing 737', 'duration_minutes': 86}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 179, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,14:20,21:47,UA 1275 / UA 1195,UA,1,567,9h 27m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,903.0,903.0,USD,,903.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,81.75,0.0,75.0,1109.75,next_day_arrival,4,False,,981,16h 21m,USD 903.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 1924 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1083, 'duration_display': '18h 3m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 689, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '22:55', 'flight_numbers': 'UA 1275 / UA 2056', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 635, 'duration_display': '10h 35m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '21:29', 'arrive_time': '22:55', 'airline': 'UA', 'flight_number': '2056', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 86}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 247, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,14:40 +1,UA 1924 / UA 1177,UA,1,1083,18h 3m,14:20,22:55,UA 1275 / UA 2056,UA,1,635,10h 35m,18:37,14:40 +1,UA 1924 / UA 1177,UA,economy,1,cash,fli,,926.0,926.0,USD,,926.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,90.25,0.0,75.0,1141.25,next_day_arrival,18,False,,1083,18h 3m,USD 926.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 1924 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1083, 'duration_display': '18h 3m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 689, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '12:57', 'arrive_time': '16:40', 'flight_numbers': 'UA 1948', 'carriers': 'UA', 'stops': 0, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'CUN', 'destination': 'SFO', 'depart_time': '12:57', 'arrive_time': '16:40', 'airline': 'UA', 'flight_number': '1948', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 343}], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,14:40 +1,UA 1924 / UA 1177,UA,1,1083,18h 3m,12:57,16:40,UA 1948,UA,0,343,5h 43m,18:37,14:40 +1,UA 1924 / UA 1177,UA,economy,1,cash,fli,,954.0,954.0,USD,,954.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,90.25,0.0,75.0,1169.25,next_day_arrival,19,False,,1083,18h 3m,USD 954.00,
SJC,CUN,2026-09-04,multi-city,CUN,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 1924 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1083, 'duration_display': '18h 3m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 689, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:20', 'arrive_time': '20:17', 'flight_numbers': 'UA 1275 / UA 2681', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 477, 'duration_display': '7h 57m', 'segments': [{'origin': 'CUN', 'destination': 'LAX', 'depart_time': '14:20', 'arrive_time': '17:22', 'airline': 'UA', 'flight_number': '1275', 'aircraft': 'Boeing 737', 'duration_minutes': 302}, {'origin': 'LAX', 'destination': 'SFO', 'depart_time': '18:45', 'arrive_time': '20:17', 'airline': 'UA', 'flight_number': '2681', 'aircraft': 'Boeing 737', 'duration_minutes': 92}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 83, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,14:40 +1,UA 1924 / UA 1177,UA,1,1083,18h 3m,14:20,20:17,UA 1275 / UA 2681,UA,1,477,7h 57m,18:37,14:40 +1,UA 1924 / UA 1177,UA,economy,1,cash,fli,,957.0,957.0,USD,,957.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,90.25,0.0,75.0,1172.25,next_day_arrival,20,False,,1083,18h 3m,USD 957.00,
