origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '15:56', 'arrive_time': '22:32 +1', 'flight_numbers': 'AA 2652 / AA 364', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1956, 'duration_display': '32h 36m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '15:56', 'arrive_time': '19:05', 'airline': 'AA', 'flight_number': '2652', 'aircraft': 'Airbus A321', 'duration_minutes': 189}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '21:00', 'arrive_time': '22:32', 'airline': 'AA', 'flight_number': '364', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 1555, 'overnight': True, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,15:56,22:32 +1,AA 2652 / AA 364,AA,1,1956,32h 36m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,716.0,716.0,USD,,716.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,81.75,0.0,75.0,922.75,next_day_arrival,1,True,,981,16h 21m,USD 716.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '15:56', 'arrive_time': '22:32 +1', 'flight_numbers': 'AA 2652 / AA 364', 'carriers': 'AA', 'stops': 1, 'duration_minutes': 1956, 'duration_display': '32h 36m', 'segments': [{'origin': 'CUN', 'destination': 'DFW', 'depart_time': '15:56', 'arrive_time': '19:05', 'airline': 'AA', 'flight_number': '2652', 'aircraft': 'Airbus A321', 'duration_minutes': 189}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '21:00', 'arrive_time': '22:32', 'airline': 'AA', 'flight_number': '364', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 212}], 'layovers': [{'airport': 'DFW', 'duration_minutes': 1555, 'overnight': True, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,15:56,22:32 +1,AA 2652 / AA 364,AA,1,1956,32h 36m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,716.0,716.0,USD,,716.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,981.83,"late departure, next_day_arrival",5,False,,790,13h 10m,USD 716.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '07:51', 'arrive_time': '20:57', 'flight_numbers': 'UA 1059 / UA 2168 / UA 2745', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 906, 'duration_display': '15h 6m', 'segments': [{'origin': 'CUN', 'destination': 'IAH', 'depart_time': '07:51', 'arrive_time': '10:15', 'airline': 'UA', 'flight_number': '1059', 'aircraft': 'Boeing 737', 'duration_minutes': 144}, {'origin': 'IAH', 'destination': 'DEN', 'depart_time': '12:30', 'arrive_time': '14:15', 'airline': 'UA', 'flight_number': '2168', 'aircraft': 'Airbus A321neo', 'duration_minutes': 165}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '19:16', 'arrive_time': '20:57', 'airline': 'UA', 'flight_number': '2745', 'aircraft': 'Boeing 737', 'duration_minutes': 161}], 'layovers': [{'airport': 'IAH', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 301, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,07:51,20:57,UA 1059 / UA 2168 / UA 2745,UA,2,906,15h 6m,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,840.0,840.0,USD,,840.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,81.75,0.0,75.0,1046.75,next_day_arrival,2,False,,981,16h 21m,USD 840.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '10:31 +1', 'flight_numbers': 'AA 1358 / AA 691 / AA 2179', 'carriers': 'AA', 'stops': 2, 'duration_minutes': 1591, 'duration_display': '26h 31m', 'segments': [{'origin': 'SJC', 'destination': 'PHX', 'depart_time': '06:00', 'arrive_time': '08:03', 'airline': 'AA', 'flight_number': '1358', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 123}, {'origin': 'PHX', 'destination': 'AUS', 'depart_time': '19:30', 'arrive_time': '23:48', 'airline': 'AA', 'flight_number': '691', 'aircraft': 'Boeing 737', 'duration_minutes': 138}, {'origin': 'AUS', 'destination': 'CUN', 'depart_time': '08:00', 'arrive_time': '10:31', 'airline': 'AA', 'flight_number': '2179', 'aircraft': 'Boeing 737', 'duration_minutes': 151}], 'layovers': [{'airport': 'PHX', 'duration_minutes': 687, 'overnight': False, 'change_of_airport': False}, {'airport': 'AUS', 'duration_minutes': 492, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '12:33', 'arrive_time': '10:50 +1', 'flight_numbers': 'AA 1102 / AA 2289 / AA 2046', 'carriers': 'AA', 'stops': 2, 'duration_minutes': 1457, 'duration_display': '24h 17m', 'segments': [{'origin': 'CUN', 'destination': 'MIA', 'depart_time': '12:33', 'arrive_time': '15:28', 'airline': 'AA', 'flight_number': '1102', 'aircraft': 'Airbus A321neo', 'duration_minutes': 115}, {'origin': 'MIA', 'destination': 'DFW', 'depart_time': '19:27', 'arrive_time': '21:42', 'airline': 'AA', 'flight_number': '2289', 'aircraft': 'Airbus A321', 'duration_minutes': 195}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '09:18', 'arrive_time': '10:50', 'airline': 'AA', 'flight_number': '2046', 'aircraft': 'Boeing 737', 'duration_minutes': 212}], 'layovers': [{'airport': 'MIA', 'duration_minutes': 239, 'overnight': False, 'change_of_airport': False}, {'airport': 'DFW', 'duration_minutes': 696, 'overnight': True, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,06:00,10:31 +1,AA 1358 / AA 691 / AA 2179,AA,2,1591,26h 31m,12:33,10:50 +1,AA 1102 / AA 2289 / AA 2046,AA,2,1457,24h 17m,06:00,10:31 +1,AA 1358 / AA 691 / AA 2179,AA,economy,2,cash,fli,,812.0,812.0,USD,,812.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,100.0,132.58,50.0,75.0,1169.58,"early departure, next_day_arrival",28,False,,1591,26h 31m,USD 812.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '10:31 +1', 'flight_numbers': 'AA 1358 / AA 691 / AA 2179', 'carriers': 'AA', 'stops': 2, 'duration_minutes': 1591, 'duration_display': '26h 31m', 'segments': [{'origin': 'SJC', 'destination': 'PHX', 'depart_time': '06:00', 'arrive_time': '08:03', 'airline': 'AA', 'flight_number': '1358', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 123}, {'origin': 'PHX', 'destination': 'AUS', 'depart_time': '19:30', 'arrive_time': '23:48', 'airline': 'AA', 'flight_number': '691', 'aircraft': 'Boeing 737', 'duration_minutes': 138}, {'origin': 'AUS', 'destination': 'CUN', 'depart_time': '08:00', 'arrive_time': '10:31', 'airline': 'AA', 'flight_number': '2179', 'aircraft': 'Boeing 737', 'duration_minutes': 151}], 'layovers': [{'airport': 'PHX', 'duration_minutes': 687, 'overnight': False, 'change_of_airport': False}, {'airport': 'AUS', 'duration_minutes': 492, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:30', 'arrive_time': '10:50 +1', 'flight_numbers': 'AA 1723 / AA 1679 / AA 2046', 'carriers': 'AA', 'stops': 2, 'duration_minutes': 1220, 'duration_display': '20h 20m', 'segments': [{'origin': 'CUN', 'destination': 'MIA', 'depart_time': '16:30', 'arrive_time': '19:25', 'airline': 'AA', 'flight_number': '1723', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 115}, {'origin': 'MIA', 'destination': 'DFW', 'depart_time': '21:46', 'arrive_time': '23:57', 'airline': 'AA', 'flight_number': '1679', 'aircraft': 'Airbus A321', 'duration_minutes': 191}, {'origin': 'DFW', 'destination': 'SJC', 'depart_time': '09:18', 'arrive_time': '10:50', 'airline': 'AA', 'flight_number': '2046', 'aircraft': 'Boeing 737', 'duration_minutes': 212}], 'layovers': [{'airport': 'MIA', 'duration_minutes': 141, 'overnight': False, 'change_of_airport': False}, {'airport': 'DFW', 'duration_minutes': 561, 'overnight': True, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,06:00,10:31 +1,AA 1358 / AA 691 / AA 2179,AA,2,1591,26h 31m,16:30,10:50 +1,AA 1723 / AA 1679 / AA 2046,AA,2,1220,20h 20m,06:00,10:31 +1,AA 1358 / AA 691 / AA 2179,AA,economy,2,cash,fli,,812.0,812.0,USD,,812.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,100.0,132.58,50.0,75.0,1169.58,"early departure, next_day_arrival",30,False,,1591,26h 31m,USD 812.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '16:05', 'arrive_time': '22:15', 'flight_numbers': 'WN 1018 / WN 1679', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 490, 'duration_display': '8h 10m', 'segments': [{'origin': 'CUN', 'destination': 'DEN', 'depart_time': '16:05', 'arrive_time': '19:10', 'airline': 'WN', 'flight_number': '1018', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 245}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '20:40', 'arrive_time': '22:15', 'airline': 'WN', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 155}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,16:05,22:15,WN 1018 / WN 1679,WN,1,490,8h 10m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,917.0,917.0,USD,,917.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,1182.83,"late departure, next_day_arrival",6,False,,790,13h 10m,USD 917.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:10', 'arrive_time': '22:15', 'flight_numbers': 'WN 1996 / WN 2704 / WN 1679', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 665, 'duration_display': '11h 5m', 'segments': [{'origin': 'CUN', 'destination': 'STL', 'depart_time': '13:10', 'arrive_time': '16:15', 'airline': 'WN', 'flight_number': '1996', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 185}, {'origin': 'STL', 'destination': 'DEN', 'depart_time': '18:05', 'arrive_time': '19:20', 'airline': 'WN', 'flight_number': '2704', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 135}, {'origin': 'DEN', 'destination': 'SJC', 'depart_time': '20:40', 'arrive_time': '22:15', 'airline': 'WN', 'flight_number': '1679', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 155}], 'layovers': [{'airport': 'STL', 'duration_minutes': 110, 'overnight': False, 'change_of_airport': False}, {'airport': 'DEN', 'duration_minutes': 80, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,13:10,22:15,WN 1996 / WN 2704 / WN 1679,WN,2,665,11h 5m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,922.0,922.0,USD,,922.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,1187.83,"late departure, next_day_arrival",7,False,,790,13h 10m,USD 922.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:10', 'arrive_time': '22:20', 'flight_numbers': 'WN 1996 / WN 3847 / WN 4965', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 670, 'duration_display': '11h 10m', 'segments': [{'origin': 'CUN', 'destination': 'STL', 'depart_time': '13:10', 'arrive_time': '16:15', 'airline': 'WN', 'flight_number': '1996', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 185}, {'origin': 'STL', 'destination': 'LAS', 'depart_time': '18:25', 'arrive_time': '19:55', 'airline': 'WN', 'flight_number': '3847', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 210}, {'origin': 'LAS', 'destination': 'SJC', 'depart_time': '20:50', 'arrive_time': '22:20', 'airline': 'WN', 'flight_number': '4965', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 90}], 'layovers': [{'airport': 'STL', 'duration_minutes': 130, 'overnight': False, 'change_of_airport': False}, {'airport': 'LAS', 'duration_minutes': 55, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,13:10,22:20,WN 1996 / WN 3847 / WN 4965,WN,2,670,11h 10m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,922.0,922.0,USD,,922.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,1187.83,"late departure, next_day_arrival",8,False,,790,13h 10m,USD 922.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:10', 'arrive_time': '23:05', 'flight_numbers': 'WN 1996 / WN 4380 / WN 3264', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 715, 'duration_display': '11h 55m', 'segments': [{'origin': 'CUN', 'destination': 'STL', 'depart_time': '13:10', 'arrive_time': '16:15', 'airline': 'WN', 'flight_number': '1996', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 185}, {'origin': 'STL', 'destination': 'PHX', 'depart_time': '18:00', 'arrive_time': '19:15', 'airline': 'WN', 'flight_number': '4380', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 195}, {'origin': 'PHX', 'destination': 'SJC', 'depart_time': '21:15', 'arrive_time': '23:05', 'airline': 'WN', 'flight_number': '3264', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 110}], 'layovers': [{'airport': 'STL', 'duration_minutes': 105, 'overnight': False, 'change_of_airport': False}, {'airport': 'PHX', 'duration_minutes': 120, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,13:10,23:05,WN 1996 / WN 4380 / WN 3264,WN,2,715,11h 55m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,922.0,922.0,USD,,922.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,1187.83,"late departure, next_day_arrival",9,False,,790,13h 10m,USD 922.00,
SJC,CUN,2026-09-04,round-trip,CUN,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'CUN', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '13:10', 'arrive_time': '23:20', 'flight_numbers': 'WN 1996 / WN 3001 / WN 576', 'carriers': 'WN', 'stops': 2, 'duration_minutes': 730, 'duration_display': '12h 10m', 'segments': [{'origin': 'CUN', 'destination': 'STL', 'depart_time': '13:10', 'arrive_time': '16:15', 'airline': 'WN', 'flight_number': '1996', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 185}, {'origin': 'STL', 'destination': 'MDW', 'depart_time': '18:15', 'arrive_time': '19:20', 'airline': 'WN', 'flight_number': '3001', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 65}, {'origin': 'MDW', 'destination': 'SJC', 'depart_time': '20:50', 'arrive_time': '23:20', 'airline': 'WN', 'flight_number': '576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 270}], 'layovers': [{'airport': 'STL', 'duration_minutes': 120, 'overnight': False, 'change_of_airport': False}, {'airport': 'MDW', 'duration_minutes': 90, 'overnight': False, 'change_of_airport': False}]}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,13:10,23:20,WN 1996 / WN 3001 / WN 576,WN,2,730,12h 10m,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,922.0,922.0,USD,,922.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_cun_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,65.83,75.0,75.0,1187.83,"late departure, next_day_arrival",10,False,,790,13h 10m,USD 922.00,
