origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:58 +1', 'flight_numbers': 'UA 1924 / UA 1119', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 981, 'duration_display': '16h 21m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '08:01', 'arrive_time': '12:58', 'airline': 'UA', 'flight_number': '1119', 'aircraft': 'Airbus A321neo', 'duration_minutes': 237}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 586, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,12:58 +1,UA 1924 / UA 1119,UA,1,981,16h 21m,,,,,,,,18:37,12:58 +1,UA 1924 / UA 1119,UA,economy,1,cash,fli,,286.0,286.0,USD,,286.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,50.0,81.75,0.0,75.0,492.75,next_day_arrival,1,True,,981,16h 21m,USD 286.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '07:00', 'arrive_time': '17:00', 'flight_numbers': 'DL 1654 / DL 615', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'LAX', 'depart_time': '07:00', 'arrive_time': '08:26', 'airline': 'DL', 'flight_number': '1654', 'aircraft': 'Airbus A319', 'duration_minutes': 86}, {'origin': 'LAX', 'destination': 'CUN', 'depart_time': '10:10', 'arrive_time': '17:00', 'airline': 'DL', 'flight_number': '615', 'aircraft': 'Boeing 737', 'duration_minutes': 290}], 'layovers': [{'airport': 'LAX', 'duration_minutes': 104, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,07:00,17:00,DL 1654 / DL 615,DL,1,480,8h,,,,,,,,07:00,17:00,DL 1654 / DL 615,DL,economy,1,cash,fli,,435.0,435.0,USD,,435.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,50.0,40.0,0.0,0.0,525.0,,54,False,,480,8h,USD 435.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '13:40 +1', 'flight_numbers': 'WN 3576 / WN 1607', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 790, 'duration_display': '13h 10m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '11:00', 'arrive_time': '13:40', 'airline': 'WN', 'flight_number': '1607', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 220}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 265, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,22:30,13:40 +1,WN 3576 / WN 1607,WN,1,790,13h 10m,,,,,,,,22:30,13:40 +1,WN 3576 / WN 1607,WN,economy,1,cash,fli,,286.0,286.0,USD,,286.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,50.0,65.83,75.0,75.0,551.83,"late departure, next_day_arrival",2,False,,790,13h 10m,USD 286.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '14:40 +1', 'flight_numbers': 'UA 1924 / UA 1177', 'carriers': 'UA', 'stops': 1, 'duration_minutes': 1083, 'duration_display': '18h 3m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'CUN', 'depart_time': '09:44', 'arrive_time': '14:40', 'airline': 'UA', 'flight_number': '1177', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 236}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 689, 'overnight': True, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,14:40 +1,UA 1924 / UA 1177,UA,1,1083,18h 3m,,,,,,,,18:37,14:40 +1,UA 1924 / UA 1177,UA,economy,1,cash,fli,,340.0,340.0,USD,,340.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,50.0,90.25,0.0,75.0,555.25,next_day_arrival,15,False,,1083,18h 3m,USD 340.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '18:39', 'flight_numbers': 'DL 1314 / DL 628 / AM 536', 'carriers': 'DL, AM', 'stops': 2, 'duration_minutes': 639, 'duration_display': '10h 39m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1314', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'MEX', 'depart_time': '09:53', 'arrive_time': '13:55', 'airline': 'DL', 'flight_number': '628', 'aircraft': 'Airbus A319', 'duration_minutes': 242}, {'origin': 'MEX', 'destination': 'CUN', 'depart_time': '15:10', 'arrive_time': '18:39', 'airline': 'AM', 'flight_number': '536', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 149}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 58, 'overnight': False, 'change_of_airport': False}, {'airport': 'MEX', 'duration_minutes': 75, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,06:00,18:39,DL 1314 / DL 628 / AM 536,"DL, AM",2,639,10h 39m,,,,,,,,06:00,18:39,DL 1314 / DL 628 / AM 536,"DL, AM",economy,2,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,100.0,53.25,50.0,0.0,568.25,early departure,36,False,,639,10h 39m,USD 365.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '22:30', 'arrive_time': '11:35 +1', 'flight_numbers': 'WN 3576 / WN 1609', 'carriers': 'WN', 'stops': 1, 'duration_minutes': 665, 'duration_display': '11h 5m', 'segments': [{'origin': 'SJC', 'destination': 'BWI', 'depart_time': '22:30', 'arrive_time': '06:35', 'airline': 'WN', 'flight_number': '3576', 'aircraft': 'Boeing 737MAX 8 Passenger', 'duration_minutes': 305}, {'origin': 'BWI', 'destination': 'CUN', 'depart_time': '09:00', 'arrive_time': '11:35', 'airline': 'WN', 'flight_number': '1609', 'aircraft': 'Boeing 737-700 (Scimitar Winglets) Pax', 'duration_minutes': 215}], 'layovers': [{'airport': 'BWI', 'duration_minutes': 145, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,22:30,11:35 +1,WN 3576 / WN 1609,WN,1,665,11h 5m,,,,,,,,22:30,11:35 +1,WN 3576 / WN 1609,WN,economy,1,cash,fli,,320.0,320.0,USD,,320.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,50.0,55.42,75.0,75.0,575.42,"late departure, next_day_arrival",7,False,,665,11h 5m,USD 320.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '22:44', 'flight_numbers': 'DL 1314 / DL 628 / AM 556', 'carriers': 'DL, AM', 'stops': 2, 'duration_minutes': 884, 'duration_display': '14h 44m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1314', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'MEX', 'depart_time': '09:53', 'arrive_time': '13:55', 'airline': 'DL', 'flight_number': '628', 'aircraft': 'Airbus A319', 'duration_minutes': 242}, {'origin': 'MEX', 'destination': 'CUN', 'depart_time': '19:10', 'arrive_time': '22:44', 'airline': 'AM', 'flight_number': '556', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 154}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 58, 'overnight': False, 'change_of_airport': False}, {'airport': 'MEX', 'duration_minutes': 315, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,06:00,22:44,DL 1314 / DL 628 / AM 556,"DL, AM",2,884,14h 44m,,,,,,,,06:00,22:44,DL 1314 / DL 628 / AM 556,"DL, AM",economy,2,cash,fli,,353.0,353.0,USD,,353.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,100.0,73.67,50.0,0.0,576.67,early departure,24,False,,884,14h 44m,USD 353.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '06:00', 'arrive_time': '20:25', 'flight_numbers': 'DL 1314 / DL 628 / AM 560', 'carriers': 'DL, AM', 'stops': 2, 'duration_minutes': 745, 'duration_display': '12h 25m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '06:00', 'arrive_time': '08:55', 'airline': 'DL', 'flight_number': '1314', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 115}, {'origin': 'SLC', 'destination': 'MEX', 'depart_time': '09:53', 'arrive_time': '13:55', 'airline': 'DL', 'flight_number': '628', 'aircraft': 'Airbus A319', 'duration_minutes': 242}, {'origin': 'MEX', 'destination': 'CUN', 'depart_time': '16:55', 'arrive_time': '20:25', 'airline': 'AM', 'flight_number': '560', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 150}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 58, 'overnight': False, 'change_of_airport': False}, {'airport': 'MEX', 'duration_minutes': 180, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,06:00,20:25,DL 1314 / DL 628 / AM 560,"DL, AM",2,745,12h 25m,,,,,,,,06:00,20:25,DL 1314 / DL 628 / AM 560,"DL, AM",economy,2,cash,fli,,365.0,365.0,USD,,365.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,100.0,62.08,50.0,0.0,577.08,early departure,37,False,,745,12h 25m,USD 365.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '19:19 +1', 'flight_numbers': 'UA 1924 / UA 1204 / UA 1020', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 1362, 'duration_display': '22h 42m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'IAH', 'depart_time': '10:07', 'arrive_time': '13:40', 'airline': 'UA', 'flight_number': '1204', 'aircraft': 'Airbus A321neo', 'duration_minutes': 153}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '17:05', 'arrive_time': '19:19', 'airline': 'UA', 'flight_number': '1020', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 134}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 712, 'overnight': True, 'change_of_airport': False}, {'airport': 'IAH', 'duration_minutes': 205, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,19:19 +1,UA 1924 / UA 1204 / UA 1020,UA,2,1362,22h 42m,,,,,,,,18:37,19:19 +1,UA 1924 / UA 1204 / UA 1020,UA,economy,2,cash,fli,,292.0,292.0,USD,,292.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,100.0,113.5,0.0,75.0,580.5,next_day_arrival,3,False,,1362,22h 42m,USD 292.00,
SJC,CUN,2026-09-04,one-way,,,,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'CUN', 'date': '2026-09-04', 'depart_time': '18:37', 'arrive_time': '12:33 +1', 'flight_numbers': 'UA 1924 / UA 320 / UA 1014', 'carriers': 'UA', 'stops': 2, 'duration_minutes': 956, 'duration_display': '15h 56m', 'segments': [{'origin': 'SJC', 'destination': 'DEN', 'depart_time': '18:37', 'arrive_time': '22:15', 'airline': 'UA', 'flight_number': '1924', 'aircraft': 'Boeing 737', 'duration_minutes': 158}, {'origin': 'DEN', 'destination': 'IAH', 'depart_time': '05:00', 'arrive_time': '08:28', 'airline': 'UA', 'flight_number': '320', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 148}, {'origin': 'IAH', 'destination': 'CUN', 'depart_time': '10:15', 'arrive_time': '12:33', 'airline': 'UA', 'flight_number': '1014', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'DEN', 'duration_minutes': 405, 'overnight': True, 'change_of_airport': False}, {'airport': 'IAH', 'duration_minutes': 107, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': '', 'destination': '', 'date': '', 'depart_time': '', 'arrive_time': '', 'flight_numbers': '', 'carriers': '', 'stops': '', 'duration_minutes': '', 'duration_display': '', 'segments': [], 'layovers': []}}",SJC,CUN,2026-09-04,18:37,12:33 +1,UA 1924 / UA 320 / UA 1014,UA,2,956,15h 56m,,,,,,,,18:37,12:33 +1,UA 1924 / UA 320 / UA 1014,UA,economy,2,cash,fli,,326.0,326.0,USD,,326.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_cun_2026-09-04_economy_fli_raw.json,100.0,79.67,0.0,75.0,580.67,next_day_arrival,12,False,,956,15h 56m,USD 326.00,
