origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:17 +1', 'flight_numbers': 'AS 2292 / AS 658', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1096, 'duration_display': '18h 16m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,20:01,13:17 +1,AS 2292 / AS 658,AS,1,1096,18h 16m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,702.0,702.0,USD,,702.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,936.0,next_day_arrival,1,True,,1308,21h 48m,USD 702.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '19:49', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 2193 / AS 3495 / AS 2412', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 999, 'duration_display': '16h 39m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:17 +1', 'flight_numbers': 'AS 2292 / AS 658', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1096, 'duration_display': '18h 16m'}}",SJC,FCA,2026-09-04,19:49,13:28 +1,AS 2193 / AS 3495 / AS 2412,AS,2,999,16h 39m,20:01,13:17 +1,AS 2292 / AS 658,AS,1,1096,18h 16m,19:49,13:28 +1,AS 2193 / AS 3495 / AS 2412,AS,economy,2,cash,fli,,737.0,737.0,USD,,737.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,100.0,83.25,0.0,75.0,995.25,next_day_arrival,33,False,,999,16h 39m,USD 737.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '18:45 +1', 'flight_numbers': 'AS 2292 / AS 521', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1424, 'duration_display': '23h 44m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,20:01,18:45 +1,AS 2292 / AS 521,AS,1,1424,23h 44m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,847.0,847.0,USD,,847.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1081.0,next_day_arrival,2,False,,1308,21h 48m,USD 847.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '20:00 +1', 'flight_numbers': 'AS 2292 / AS 1303', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1499, 'duration_display': '24h 59m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,20:01,20:00 +1,AS 2292 / AS 1303,AS,1,1499,24h 59m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,847.0,847.0,USD,,847.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1081.0,next_day_arrival,3,False,,1308,21h 48m,USD 847.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '19:45', 'arrive_time': '22:56 +1', 'flight_numbers': 'AS 1398 / AS 2256', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1571, 'duration_display': '26h 11m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:44 +1', 'flight_numbers': 'AS 2292 / AS 453 / AS 694', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1123, 'duration_display': '18h 43m'}}",SJC,FCA,2026-09-04,19:45,22:56 +1,AS 1398 / AS 2256,AS,1,1571,26h 11m,20:01,13:44 +1,AS 2292 / AS 453 / AS 694,AS,2,1123,18h 43m,19:45,22:56 +1,AS 1398 / AS 2256,AS,economy,1,cash,fli,,832.0,832.0,USD,,832.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,130.92,0.0,75.0,1087.92,next_day_arrival,57,False,,1571,26h 11m,USD 832.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '13:44', 'flight_numbers': 'AS 2244 / AS 3145 / AS 694', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 509, 'duration_display': '8h 29m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,06:15,13:44,AS 2244 / AS 3145 / AS 694,AS,2,509,8h 29m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,859.0,859.0,USD,,859.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1093.0,next_day_arrival,4,False,,1308,21h 48m,USD 859.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '22:27', 'flight_numbers': 'AS 2244 / AS 441 / AS 755', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1032, 'duration_display': '17h 12m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,06:15,22:27,AS 2244 / AS 441 / AS 755,AS,2,1032,17h 12m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,859.0,859.0,USD,,859.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1093.0,next_day_arrival,5,False,,1308,21h 48m,USD 859.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:44 +1', 'flight_numbers': 'AS 2292 / AS 2049 / AS 694', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1123, 'duration_display': '18h 43m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,20:01,13:44 +1,AS 2292 / AS 2049 / AS 694,AS,2,1123,18h 43m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,859.0,859.0,USD,,859.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1093.0,next_day_arrival,7,False,,1308,21h 48m,USD 859.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '13:44 +1', 'flight_numbers': 'AS 2292 / AS 453 / AS 694', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1123, 'duration_display': '18h 43m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,20:01,13:44 +1,AS 2292 / AS 453 / AS 694,AS,2,1123,18h 43m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,860.0,860.0,USD,,860.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1094.0,next_day_arrival,8,False,,1308,21h 48m,USD 860.00,
SJC,FCA,2026-09-04,round-trip,FCA,SJC,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'FCA', 'date': '2026-09-04', 'depart_time': '14:40', 'arrive_time': '13:28 +1', 'flight_numbers': 'AS 694 / AS 2412', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 1308, 'duration_display': '21h 48m'}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SJC', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '22:56', 'flight_numbers': 'AS 2244 / AS 1367 / AS 1449', 'carriers': 'AS', 'stops': 2, 'duration_minutes': 1061, 'duration_display': '17h 41m'}}",SJC,FCA,2026-09-04,14:40,13:28 +1,AS 694 / AS 2412,AS,1,1308,21h 48m,06:15,22:56,AS 2244 / AS 1367 / AS 1449,AS,2,1061,17h 41m,14:40,13:28 +1,AS 694 / AS 2412,AS,economy,1,cash,fli,,862.0,862.0,USD,,862.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_fca_2026-09-04_fca_sjc_2026-09-07_economy_round_trip_fli_raw.json,50.0,109.0,0.0,75.0,1096.0,next_day_arrival,9,False,,1308,21h 48m,USD 862.00,
