origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '15:17', 'flight_numbers': 'AS 1304 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 146, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '21:25', 'arrive_time': '23:40', 'airline': 'AS', 'flight_number': '411', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,15:17,AS 1304 / AS 660,AS,1,375,6h 15m,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,08:02,15:17,AS 1304 / AS 660,AS,economy,1,cash,fli,,704.0,704.0,USD,,704.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,31.25,0.0,0.0,785.25,,1,True,,375,6h 15m,USD 704.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '22:56', 'flight_numbers': 'AS 1304 / AS 1435', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 834, 'duration_display': '13h 54m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '20:25', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '1435', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 91}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 606, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '21:25', 'arrive_time': '23:40', 'airline': 'AS', 'flight_number': '411', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,22:56,AS 1304 / AS 1435,AS,1,834,13h 54m,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,08:02,22:56,AS 1304 / AS 1435,AS,economy,1,cash,fli,,709.0,709.0,USD,,709.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,69.5,0.0,0.0,828.5,,23,False,,834,13h 54m,USD 709.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:17', 'arrive_time': '15:17', 'flight_numbers': 'AS 762 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 253, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '20:01', 'arrive_time': '23:40', 'flight_numbers': 'AS 2292 / AS 411', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 279, 'duration_display': '4h 39m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '20:01', 'arrive_time': '20:38', 'airline': 'AS', 'flight_number': '2292', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '21:25', 'arrive_time': '23:40', 'airline': 'AS', 'flight_number': '411', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,06:17,15:17,AS 762 / AS 660,AS,1,480,8h,20:01,23:40,AS 2292 / AS 411,AS,1,279,4h 39m,06:17,15:17,AS 762 / AS 660,AS,economy,1,cash,fli,,709.0,709.0,USD,,709.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,50.0,0.0,849.0,early departure,12,False,,480,8h,USD 709.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '15:17', 'flight_numbers': 'AS 1304 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 146, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 2244 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 111, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,15:17,AS 1304 / AS 660,AS,1,375,6h 15m,06:15,10:58,AS 2244 / AS 528,AS,1,343,5h 43m,08:02,15:17,AS 1304 / AS 660,AS,economy,1,cash,fli,,775.0,775.0,USD,,775.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,31.25,0.0,0.0,856.25,,2,False,,375,6h 15m,USD 775.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '22:56', 'flight_numbers': 'AS 1304 / AS 1435', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 834, 'duration_display': '13h 54m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '20:25', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '1435', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 91}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 606, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 2244 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 111, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,22:56,AS 1304 / AS 1435,AS,1,834,13h 54m,06:15,10:58,AS 2244 / AS 528,AS,1,343,5h 43m,08:02,22:56,AS 1304 / AS 1435,AS,economy,1,cash,fli,,780.0,780.0,USD,,780.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,69.5,0.0,0.0,899.5,,24,False,,834,13h 54m,USD 780.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:17', 'arrive_time': '15:17', 'flight_numbers': 'AS 762 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 253, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 2244 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 343, 'duration_display': '5h 43m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 111, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,06:17,15:17,AS 762 / AS 660,AS,1,480,8h,06:15,10:58,AS 2244 / AS 528,AS,1,343,5h 43m,06:17,15:17,AS 762 / AS 660,AS,economy,1,cash,fli,,780.0,780.0,USD,,780.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,50.0,0.0,920.0,early departure,13,False,,480,8h,USD 780.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '15:17', 'flight_numbers': 'AS 1304 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 146, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 2244 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 231, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,15:17,AS 1304 / AS 660,AS,1,375,6h 15m,06:15,12:56,AS 2244 / AS 688,AS,1,461,7h 41m,08:02,15:17,AS 1304 / AS 660,AS,economy,1,cash,fli,,858.0,858.0,USD,,858.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,31.25,0.0,0.0,939.25,,3,False,,375,6h 15m,USD 858.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '22:56', 'flight_numbers': 'AS 1304 / AS 1435', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 834, 'duration_display': '13h 54m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '20:25', 'arrive_time': '22:56', 'airline': 'AS', 'flight_number': '1435', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 91}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 606, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 2244 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 231, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,22:56,AS 1304 / AS 1435,AS,1,834,13h 54m,06:15,12:56,AS 2244 / AS 688,AS,1,461,7h 41m,08:02,22:56,AS 1304 / AS 1435,AS,economy,1,cash,fli,,863.0,863.0,USD,,863.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,69.5,0.0,0.0,982.5,,25,False,,834,13h 54m,USD 863.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '06:17', 'arrive_time': '15:17', 'flight_numbers': 'AS 762 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 480, 'duration_display': '8h', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '06:17', 'arrive_time': '08:32', 'airline': 'AS', 'flight_number': '762', 'aircraft': 'Boeing 737', 'duration_minutes': 135}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 253, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '06:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 2244 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 461, 'duration_display': '7h 41m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '06:15', 'arrive_time': '06:49', 'airline': 'AS', 'flight_number': '2244', 'aircraft': 'Embraer 175', 'duration_minutes': 94}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 231, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,06:17,15:17,AS 762 / AS 660,AS,1,480,8h,06:15,12:56,AS 2244 / AS 688,AS,1,461,7h 41m,06:17,15:17,AS 762 / AS 660,AS,economy,1,cash,fli,,863.0,863.0,USD,,863.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,40.0,50.0,0.0,1003.0,early departure,14,False,,480,8h,USD 863.00,
SJC,MSO,2026-09-04,multi-city,FCA,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-04', 'depart_time': '08:02', 'arrive_time': '15:17', 'flight_numbers': 'AS 1304 / AS 660', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 375, 'duration_display': '6h 15m', 'segments': [{'origin': 'SJC', 'destination': 'SEA', 'depart_time': '08:02', 'arrive_time': '10:19', 'airline': 'AS', 'flight_number': '1304', 'aircraft': 'Boeing 737', 'duration_minutes': 137}, {'origin': 'SEA', 'destination': 'MSO', 'depart_time': '12:45', 'arrive_time': '15:17', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 146, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'FCA', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '18:08', 'arrive_time': '22:40', 'flight_numbers': 'AS 2310 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 332, 'duration_display': '5h 32m', 'segments': [{'origin': 'FCA', 'destination': 'SEA', 'depart_time': '18:08', 'arrive_time': '18:45', 'airline': 'AS', 'flight_number': '2310', 'aircraft': 'Embraer 175', 'duration_minutes': 97}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '20:25', 'arrive_time': '22:40', 'airline': 'AS', 'flight_number': '590', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 100, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-04,08:02,15:17,AS 1304 / AS 660,AS,1,375,6h 15m,18:08,22:40,AS 2310 / AS 590,AS,1,332,5h 32m,08:02,15:17,AS 1304 / AS 660,AS,economy,1,cash,fli,,942.0,942.0,USD,,942.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-04_fca_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,31.25,0.0,0.0,1023.25,,4,False,,375,6h 15m,USD 942.00,
