origin,destination,departure_date,trip_type,return_origin,return_destination,return_date,cash_detail_status,cash_detail_source,legs,outbound_origin,outbound_destination,outbound_date,outbound_depart_time,outbound_arrive_time,outbound_flight_numbers,outbound_carriers,outbound_stops,outbound_duration_minutes,outbound_duration_display,return_depart_time,return_arrive_time,return_flight_numbers,return_carriers,return_stops,return_duration_minutes,return_duration_display,depart_time,arrive_time,flight_numbers,carriers,cabin,stops,source_type,source_name,points,cash_price_usd,cash_price_amount,cash_price_currency,taxes_usd,effective_usd,bookable,remaining_seats,confidence,evidence_path,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,score,flags,provider_rank,provider_is_best,provider_current_price,duration_minutes,duration_display,raw_price,delay
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '09:51', 'arrive_time': '17:46', 'flight_numbers': 'DL 3963 / DL 3808', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 415, 'duration_display': '6h 55m', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '09:51', 'arrive_time': '12:48', 'airline': 'DL', 'flight_number': '3963', 'aircraft': 'Embraer 175', 'duration_minutes': 117}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '16:05', 'arrive_time': '17:46', 'airline': 'DL', 'flight_number': '3808', 'aircraft': 'Embraer 175', 'duration_minutes': 101}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 197, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SFO', 'depart_time': '07:48', 'arrive_time': '08:50', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,09:51,17:46,DL 3963 / DL 3808,DL,1,415,6h 55m,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,09:51,17:46,DL 3963 / DL 3808,DL,economy,1,cash,fli,,494.0,494.0,USD,,494.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,34.58,0.0,0.0,578.58,,1,True,,415,6h 55m,USD 494.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '17:12', 'arrive_time': '23:12', 'flight_numbers': 'DL 1260 / DL 1723', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 300, 'duration_display': '5h', 'segments': [{'origin': 'SJC', 'destination': 'SLC', 'depart_time': '17:12', 'arrive_time': '20:05', 'airline': 'DL', 'flight_number': '1260', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 113}, {'origin': 'SLC', 'destination': 'MSO', 'depart_time': '21:40', 'arrive_time': '23:12', 'airline': 'DL', 'flight_number': '1723', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 92}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 95, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '05:30', 'arrive_time': '08:50', 'flight_numbers': 'DL 2795 / DL 920', 'carriers': 'DL', 'stops': 1, 'duration_minutes': 260, 'duration_display': '4h 20m', 'segments': [{'origin': 'MSO', 'destination': 'SLC', 'depart_time': '05:30', 'arrive_time': '07:01', 'airline': 'DL', 'flight_number': '2795', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 91}, {'origin': 'SLC', 'destination': 'SFO', 'depart_time': '07:48', 'arrive_time': '08:50', 'airline': 'DL', 'flight_number': '920', 'aircraft': 'Airbus A220-100 Passenger', 'duration_minutes': 122}], 'layovers': [{'airport': 'SLC', 'duration_minutes': 47, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,17:12,23:12,DL 1260 / DL 1723,DL,1,300,5h,05:30,08:50,DL 2795 / DL 920,DL,1,260,4h 20m,17:12,23:12,DL 1260 / DL 1723,DL,economy,1,cash,fli,,494.0,494.0,USD,,494.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,25.0,50.0,0.0,619.0,late arrival,4,False,,300,5h,USD 494.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '10:58', 'flight_numbers': 'AS 722 / AS 528', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '08:40', 'arrive_time': '10:58', 'airline': 'AS', 'flight_number': '528', 'aircraft': 'Boeing 737', 'duration_minutes': 138}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 42, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,07:15,10:58,AS 722 / AS 528,AS,1,283,4h 43m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,543.0,543.0,USD,,543.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,619.92,,7,False,,323,5h 23m,USD 543.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '22:40', 'flight_numbers': 'AS 660 / AS 590', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 444, 'duration_display': '7h 24m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '20:25', 'arrive_time': '22:40', 'airline': 'AS', 'flight_number': '590', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 205, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,16:16,22:40,AS 660 / AS 590,AS,1,444,7h 24m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,570.0,570.0,USD,,570.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,646.92,,8,False,,323,5h 23m,USD 570.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '07:15', 'arrive_time': '12:56', 'flight_numbers': 'AS 722 / AS 688', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 401, 'duration_display': '6h 41m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '07:15', 'arrive_time': '07:58', 'airline': 'AS', 'flight_number': '722', 'aircraft': 'Boeing 737', 'duration_minutes': 103}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '10:40', 'arrive_time': '12:56', 'airline': 'AS', 'flight_number': '688', 'aircraft': 'Boeing 737', 'duration_minutes': 136}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 162, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,07:15,12:56,AS 722 / AS 688,AS,1,401,6h 41m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,9,False,,323,5h 23m,USD 730.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '13:05', 'arrive_time': '16:37', 'flight_numbers': 'AS 2042 / AS 236', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 272, 'duration_display': '4h 32m', 'segments': [{'origin': 'MSO', 'destination': 'PDX', 'depart_time': '13:05', 'arrive_time': '13:36', 'airline': 'AS', 'flight_number': '2042', 'aircraft': 'Embraer 175', 'duration_minutes': 91}, {'origin': 'PDX', 'destination': 'SFO', 'depart_time': '14:42', 'arrive_time': '16:37', 'airline': 'AS', 'flight_number': '236', 'aircraft': 'Boeing 737', 'duration_minutes': 115}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 66, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,13:05,16:37,AS 2042 / AS 236,AS,1,272,4h 32m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,10,False,,323,5h 23m,USD 730.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '18:00', 'flight_numbers': 'AS 2219 / AS 1385', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 295, 'duration_display': '4h 55m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '15:45', 'arrive_time': '18:00', 'airline': 'AS', 'flight_number': '1385', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 65, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,14:05,18:00,AS 2219 / AS 1385,AS,1,295,4h 55m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,11,False,,323,5h 23m,USD 730.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '14:05', 'arrive_time': '19:59', 'flight_numbers': 'AS 2219 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 414, 'duration_display': '6h 54m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '14:05', 'arrive_time': '14:40', 'airline': 'AS', 'flight_number': '2219', 'aircraft': 'Embraer 175', 'duration_minutes': 95}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 184, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,14:05,19:59,AS 2219 / AS 619,AS,1,414,6h 54m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,12,False,,323,5h 23m,USD 730.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '19:59', 'flight_numbers': 'AS 660 / AS 619', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 283, 'duration_display': '4h 43m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '17:44', 'arrive_time': '19:59', 'airline': 'AS', 'flight_number': '619', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 44, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,16:16,19:59,AS 660 / AS 619,AS,1,283,4h 43m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,13,False,,323,5h 23m,USD 730.00,
SJC,MSO,2026-09-05,multi-city,MSO,SFO,2026-09-07,complete,fli,"{'outbound': {'direction': 'outbound', 'origin': 'SJC', 'destination': 'MSO', 'date': '2026-09-05', 'depart_time': '07:02', 'arrive_time': '13:25', 'flight_numbers': 'AS 754 / AS 2146', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 323, 'duration_display': '5h 23m', 'segments': [{'origin': 'SJC', 'destination': 'PDX', 'depart_time': '07:02', 'arrive_time': '08:49', 'airline': 'AS', 'flight_number': '754', 'aircraft': 'Boeing 737', 'duration_minutes': 107}, {'origin': 'PDX', 'destination': 'MSO', 'depart_time': '10:48', 'arrive_time': '13:25', 'airline': 'AS', 'flight_number': '2146', 'aircraft': 'Embraer 175', 'duration_minutes': 97}], 'layovers': [{'airport': 'PDX', 'duration_minutes': 119, 'overnight': False, 'change_of_airport': False}]}, 'return': {'direction': 'return', 'origin': 'MSO', 'destination': 'SFO', 'date': '2026-09-07', 'depart_time': '16:16', 'arrive_time': '21:30', 'flight_numbers': 'AS 660 / AS 628', 'carriers': 'AS', 'stops': 1, 'duration_minutes': 374, 'duration_display': '6h 14m', 'segments': [{'origin': 'MSO', 'destination': 'SEA', 'depart_time': '16:16', 'arrive_time': '17:00', 'airline': 'AS', 'flight_number': '660', 'aircraft': 'Boeing 737MAX 9 Passenger', 'duration_minutes': 104}, {'origin': 'SEA', 'destination': 'SFO', 'depart_time': '19:15', 'arrive_time': '21:30', 'airline': 'AS', 'flight_number': '628', 'aircraft': 'Boeing 737', 'duration_minutes': 135}], 'layovers': [{'airport': 'SEA', 'duration_minutes': 135, 'overnight': False, 'change_of_airport': False}]}}",SJC,MSO,2026-09-05,07:02,13:25,AS 754 / AS 2146,AS,1,323,5h 23m,16:16,21:30,AS 660 / AS 628,AS,1,374,6h 14m,07:02,13:25,AS 754 / AS 2146,AS,economy,1,cash,fli,,730.0,730.0,USD,,730.0,True,,medium,/Users/dengcy/Library/Mobile Documents/com~apple~CloudDocs/Agent/Flight_search/cash/data/raw/sjc_mso_2026-09-05_mso_sfo_2026-09-07_economy_multi_city_fli_raw.json,50.0,26.92,0.0,0.0,806.92,,14,False,,323,5h 23m,USD 730.00,
