source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
alaska,Alaska Atmos Rewards,False,1.5,"AA2175, AA2663",economy,1,PHL,AA,9,True,True,12:30,22:59,749,22500,98.45,USD,98.45,cache:2026-06-27,337.5,435.95,50.0,62.42,0.0,0,18.0,530.37,False,971.9,,"Airbus A321, Airbus A321neo/Lr/Xlr","T, T",32x9TkuBSntzT01WItLngwdnewB,3Fc9PvjQ5qouKmLPPnwvoiD5lfs,2026-09-07T12:30:00Z,2026-09-07T22:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1971, AA2663",economy,1,PHL,AA,9,True,True,11:00,22:59,839,22500,98.45,USD,98.45,cache:2026-06-27,337.5,435.95,50.0,69.92,0.0,0,18.0,537.87,False,971.9,,"Boeing 737-800, Airbus A321neo/Lr/Xlr","T, T",32x9TkuBSntzT01WItLngwdnewB,3Fc9PxYjYdTGFWrHNcfkU7OJ2FI,2026-09-07T11:00:00Z,2026-09-07T22:59:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1813, AC739",economy,1,YYZ,AC,9,True,True,21:05,10:44 +1,939,38900,158.3,CAD,111.47,cache:2026-06-27,427.9,539.37,50.0,78.25,0.0,75.0,18.0,724.62,False,971.9,next_day_arrival,"Airbus A321, Airbus A220","L, L",32qhTZjMObLrVyz8mVygjbXrzZ4,3Fc9RgZ3CggT0UCNwPqTSRWg3QA,2026-09-07T21:05:00Z,2026-09-08T10:44:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1813, UA2056",economy,1,YYZ,"AC, UA",9,True,True,21:05,22:55 +1,1670,31300,197.3,CAD,138.93,cache:2026-06-27,344.3,483.23,50.0,139.17,0.0,75.0,18.0,729.4,False,971.9,next_day_arrival,"Airbus A321, Change Of Equipment - All Codes","T, X",32qhTZjMObLrVyz8mVygjbXrzZ4,3EHj3QqnX2VU7Key4nNRcMhpkft,2026-09-07T21:05:00Z,2026-09-08T22:55:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1813, AC741",economy,1,YYZ,AC,9,True,True,21:05,12:34 +1,1049,38900,158.3,CAD,111.47,cache:2026-06-27,427.9,539.37,50.0,87.42,0.0,75.0,18.0,733.79,False,971.9,next_day_arrival,"Airbus A321, Airbus A320","L, L",32qhTZjMObLrVyz8mVygjbXrzZ4,394VZTsr41LBER8McBvpdgpT15h,2026-09-07T21:05:00Z,2026-09-08T12:34:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1813, AC743",economy,1,YYZ,AC,4,True,True,21:05,15:24 +1,1219,38900,158.3,CAD,111.47,cache:2026-06-27,427.9,539.37,50.0,101.58,0.0,75.0,8.0,757.95,False,971.9,next_day_arrival,"Airbus A321, Airbus A220","L, L",32qhTZjMObLrVyz8mVygjbXrzZ4,394VZUiDH69xVFXuACR4OmVNHX1,2026-09-07T21:05:00Z,2026-09-08T15:24:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1813, AC785, UA469",economy,2,"YYZ, LAX","AC, UA",3,True,True,21:05,14:52 +1,1187,33100,205.2,CAD,144.5,cache:2026-06-27,364.1,508.6,100.0,98.92,0.0,75.0,6.0,776.51,False,971.9,"exceeds_preferred_stops, next_day_arrival","Airbus A321, Boeing 787-8, Boeing 737 MAX 9","K, K, X",32qhTZjMObLrVyz8mVygjbXrzZ4,3Fc9RhmhGTKF13Ff0a88fmDNxGi,2026-09-07T21:05:00Z,2026-09-08T14:52:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1883, AC757",economy,1,YUL,AC,4,True,True,13:20,11:17 +1,1437,47700,151.6,CAD,106.75,cache:2026-06-27,524.7,631.45,50.0,119.75,0.0,75.0,8.0,868.2,False,971.9,next_day_arrival,"Airbus A321, Airbus A220","T, T",32qhTZjMObLrVyz8mVygjbXrzZ4,3AaxaX56d6lZd0664bLd9dByWjJ,2026-09-07T13:20:00Z,2026-09-08T11:17:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2175, AA2663",business,1,PHL,AA,2,True,True,12:30,22:59,749,45000,98.45,USD,98.45,cache:2026-06-27,675.0,773.45,50.0,62.42,0.0,0,4.0,881.87,False,1646.9,,"Airbus A321, Airbus A321neo/Lr/Xlr","U, U",32x9TkuBSntzT01WItLngwdnewB,3Fc9PwMzik5Sk2NzLZh9efDSizz,2026-09-07T12:30:00Z,2026-09-07T22:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1971, AA2663",business,1,PHL,AA,3,True,True,11:00,22:59,839,45000,98.45,USD,98.45,cache:2026-06-27,675.0,773.45,50.0,69.92,0.0,0,6.0,887.37,False,1646.9,,"Boeing 737-800, Airbus A321neo/Lr/Xlr","U, U",32x9TkuBSntzT01WItLngwdnewB,3Fc9PtDQ2eIFGV8BRf0dmSqfWxx,2026-09-07T11:00:00Z,2026-09-07T22:59:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AC1811, AC739",economy,1,YYZ,AC,1,True,True,10:50,10:44 +1,1554,47700,158.3,CAD,111.47,cache:2026-06-27,524.7,636.17,50.0,129.5,0.0,75.0,2.0,888.67,False,971.9,next_day_arrival,"Airbus A321, Airbus A220","T, T",32qhTZjMObLrVyz8mVygjbXrzZ4,3Fc9RevDETQ0KpSLztfF446F9yl,2026-09-07T10:50:00Z,2026-09-08T10:44:00Z,0,
