source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,American AAdvantage,False,2.0,"AA316, AA1275, AA3100",economy,2,"DFW, LAX","AA, AA, AA",0,False,True,08:00,23:22,1042,62500,91.55,USD,91.55,cache:2026-06-27,1250.0,1341.55,100.0,86.83,50.0,0,0.0,1578.38,False,971.9,"not_enough_seats, exceeds_preferred_stops, late arrival","Boeing 737-800, Airbus A321neo/Lr/Xlr, Boeing 737-800",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ5RcB8m7XNdLPb3OxXpT9eU,2026-09-07T08:00:00Z,2026-09-07T23:22:00Z
american,American AAdvantage,False,2.0,"AA316, AA1430",business,1,DFW,"AA, AA",0,False,True,08:00,21:13,913,111500,85.95,USD,85.95,cache:2026-06-27,2230.0,2315.95,50.0,76.08,0.0,0,0.0,2442.03,False,1646.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ8i6AfAogFQexwGRH0mAGlF,2026-09-07T08:00:00Z,2026-09-07T21:13:00Z
american,American AAdvantage,False,2.0,"AA316, AA1430",economy,1,DFW,"AA, AA",0,False,True,08:00,21:13,913,68000,85.95,USD,85.95,cache:2026-06-27,1360.0,1445.95,50.0,76.08,0.0,0,0.0,1572.03,False,971.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ1UrCnOpbzqywpi0p5Q1hSB,2026-09-07T08:00:00Z,2026-09-07T21:13:00Z
american,American AAdvantage,False,2.0,"AA316, AA1669, AA3100",economy,2,"DFW, LAX","AA, AA, AA",0,False,True,08:00,23:22,1042,64500,91.55,USD,91.55,cache:2026-06-27,1290.0,1381.55,100.0,86.83,50.0,0,0.0,1618.38,False,971.9,"not_enough_seats, exceeds_preferred_stops, late arrival","Boeing 737-800, Airbus A321, Boeing 737-800",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ52AycFqlMTZ3x272Wxn4iG,2026-09-07T08:00:00Z,2026-09-07T23:22:00Z
american,American AAdvantage,False,2.0,"AA316, AA2125, AA3100",economy,2,"DFW, LAX","AA, AA, AA",0,False,True,08:00,23:22,1042,67500,85.95,USD,85.95,cache:2026-06-27,1350.0,1435.95,100.0,86.83,50.0,0,0.0,1672.78,False,971.9,"not_enough_seats, exceeds_preferred_stops, late arrival","Boeing 737-800, Airbus A321, Boeing 737-800",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQCuJn8cNQzJPeBmUAR02QC3,2026-09-07T08:00:00Z,2026-09-07T23:22:00Z
american,American AAdvantage,False,2.0,"AA316, AA2325",business,1,DFW,"AA, AA",0,False,True,08:00,14:54,534,150000,85.95,USD,85.95,cache:2026-06-27,3000.0,3085.95,50.0,44.5,0.0,0,0.0,3180.45,False,1646.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQCPKMDin8glly1F6fh0EsdE,2026-09-07T08:00:00Z,2026-09-07T14:54:00Z
american,American AAdvantage,False,2.0,"AA316, AA2325",economy,1,DFW,"AA, AA",0,False,True,08:00,14:54,534,71500,85.95,USD,85.95,cache:2026-06-27,1430.0,1515.95,50.0,44.5,0.0,0,0.0,1610.45,False,971.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzPy8BkRiQeW6ravSYYnRM4XN,2026-09-07T08:00:00Z,2026-09-07T14:54:00Z
american,American AAdvantage,False,2.0,"AA316, AA2333",business,1,DFW,"AA, AA",0,False,True,08:00,19:13,793,150000,85.95,USD,85.95,cache:2026-06-27,3000.0,3085.95,50.0,66.08,0.0,0,0.0,3202.03,False,1646.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ0edQw6IYes5OcbhOEUN3O7,2026-09-07T08:00:00Z,2026-09-07T19:13:00Z
american,American AAdvantage,False,2.0,"AA316, AA2333",economy,1,DFW,"AA, AA",0,False,True,08:00,19:13,793,68000,85.95,USD,85.95,cache:2026-06-27,1360.0,1445.95,50.0,66.08,0.0,0,0.0,1562.03,False,971.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3FYzQ2Xxgpe2V9eqE7ZVG9pJokF,2026-09-07T08:00:00Z,2026-09-07T19:13:00Z
american,American AAdvantage,False,2.0,"AA316, AA2522",business,1,DFW,"AA, AA",0,False,True,08:00,22:18,978,117500,85.95,USD,85.95,cache:2026-06-27,2350.0,2435.95,50.0,81.5,0.0,0,0.0,2567.45,False,1646.9,not_enough_seats,"Boeing 737-800, Airbus A321",,33wW7GLTDbgeRWOUFdHkmCwkI1P,3EHj41uhVa9kvezvNCuvBoE0VDl,2026-09-07T08:00:00Z,2026-09-07T22:18:00Z
