source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
flyingblue,Air France/KLM Flying Blue,False,1.1,DL361,economy,0,,DL,9,True,True,08:25,10:43,318,16500,20.5,USD,20.5,cache:2026-06-27,181.5,202.0,0.0,26.5,0.0,0,18.0,210.5,False,428.0,,Boeing 737-900,N,36g5aaujDu5q9GMBOSkHl2aa5dC,3ENGlUei44BLTWwmpvIUVPR2lua,2026-12-04T08:25:00Z,2026-12-04T10:43:00Z,2,"Virgin Atlantic Flying Club 22,000 + USD 5.60; Delta SkyMiles 33,800 + USD 5.60"
united,United MileagePlus,False,1.2,UA1550,economy,0,,UA,9,True,True,07:00,09:23,323,22100,5.6,USD,5.6,cache:2026-06-27,265.2,270.8,0.0,26.92,0.0,0,18.0,279.72,False,428.0,,Airbus A319,YN,37oCkOSQtqkHAkygGeNpgjuooaw,39iPg1AsfNcp3dchrbx6QnixgQu,2026-12-04T07:00:00Z,2026-12-04T09:23:00Z,0,
united,United MileagePlus,False,1.2,"UA6168, UA1147",economy,1,IAD,"UA, UA",9,True,True,06:00,11:20,500,15000,5.6,USD,5.6,cache:2026-06-27,180.0,185.6,50.0,41.67,50.0,0,18.0,309.27,False,428.0,early departure,"Embraer E175, Boeing 777","X, X",37oCkOSQtqkHAkygGeNpgjuooaw,39iPg7QQ151czzwcfn96Y5mPsE9,2026-12-04T06:00:00Z,2026-12-04T11:20:00Z,1,"Air Canada Aeroplan 25,000 + CAD 46.90"
united,United MileagePlus,False,1.2,"UA302, UA2123",economy,1,DEN,"UA, UA",9,True,True,16:55,22:43,528,19900,5.6,USD,5.6,cache:2026-06-27,238.8,244.4,50.0,44.0,0.0,0,18.0,320.4,False,428.0,,"Airbus A320, Boeing 737 MAX 8","YN, YN",37oCkOSQtqkHAkygGeNpgjuooaw,39iPg2pRLQItgaKhRLVE82AEuJd,2026-12-04T16:55:00Z,2026-12-04T22:43:00Z,0,
flyingblue,Air France/KLM Flying Blue,False,1.1,"DL852, DL2986",economy,1,LAX,"DL, DL",9,True,True,18:25,23:11,466,18000,30.3,USD,30.3,cache:2026-06-27,198.0,228.3,50.0,38.83,50.0,0,18.0,349.13,False,428.0,late arrival,"Boeing 757-300, Boeing 737-800","N, N",36g5aaujDu5q9GMBOSkHl2aa5dC,3ENGlRmcp8yD8O4H09FYTk4sq4d,2026-12-04T18:25:00Z,2026-12-04T23:11:00Z,2,"Virgin Atlantic Flying Club 26,000 + USD 5.60; Delta SkyMiles 33,800 + USD 5.60"
alaska,Alaska Atmos Rewards,False,1.5,"AA1673, AA2427",economy,1,PHX,AA,9,True,True,17:51,22:36,465,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,38.75,0.0,0,18.0,351.35,False,428.0,,"Boeing 737-800, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3DgErU15oWpl99s1BOn6Ueio0UV,2026-12-04T17:51:00Z,2026-12-04T22:36:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1310, AA2423",economy,1,PHX,AA,9,True,True,07:24,12:21,477,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,39.75,0.0,0,18.0,352.35,False,428.0,,"Boeing 737-800, Boeing 737 MAX 8","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KA94XqFjIjt5KHWotyYTdJKh,2026-12-04T07:24:00Z,2026-12-04T12:21:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA244, AA825",economy,1,DFW,AA,5,True,True,09:50,15:05,495,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,41.25,0.0,0,10.0,361.85,False,428.0,,"Airbus A321, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3ETO4xefxDbbHCXiDyH8L7Apyi7,2026-12-04T09:50:00Z,2026-12-04T15:05:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3310, AA1005",economy,1,DFW,AA,9,True,True,15:47,22:52,605,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,50.42,0.0,0,18.0,363.02,False,428.0,,"Boeing 737-800, Airbus A321","T, T",36yEpZqHYELTvVNss850JbVZDev,3FVTFOKtznYNznO1Dvw6kvbbmds,2026-12-04T15:47:00Z,2026-12-04T22:52:00Z,0,
flyingblue,Air France/KLM Flying Blue,False,1.1,"DL2753, DL1091",economy,1,SLC,"DL, DL",4,True,True,20:05,23:57,412,19000,30.3,USD,30.3,cache:2026-06-27,209.0,239.3,50.0,34.33,50.0,0,8.0,365.63,False,428.0,late arrival,"Boeing 737-900, Boeing 737-900","N, N",36g5aaujDu5q9GMBOSkHl2aa5dC,3FVTKAU0BcIpi0hs9Z0Lrb8soL5,2026-12-04T20:05:00Z,2026-12-04T23:57:00Z,2,"Virgin Atlantic Flying Club 27,500 + USD 5.60; Delta SkyMiles 33,800 + USD 5.60"
alaska,Alaska Atmos Rewards,False,1.5,"AA3310, AA1430",economy,1,DFW,AA,1,True,True,15:47,20:54,487,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,40.58,0.0,0,2.0,369.18,False,428.0,,"Boeing 737-800, Airbus A321","T, T",36yEpZqHYELTvVNss850JbVZDev,3FVTFPlVhaMhNTQhxj8x73R3MR3,2026-12-04T15:47:00Z,2026-12-04T20:54:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2374, AA701",economy,1,DFW,AA,2,True,True,11:48,17:20,512,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,42.67,0.0,0,4.0,369.27,False,428.0,,"Boeing 737-800, Airbus A321","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KA6Fcp8yRE30zZwkTcLarGtX,2026-12-04T11:48:00Z,2026-12-04T17:20:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3364, AA3246",economy,1,ORD,AA,9,True,True,12:56,20:30,634,17500,23.7,USD,23.7,cache:2026-06-27,262.5,286.2,50.0,52.83,0.0,0,18.0,371.03,False,428.0,,"Embraer E170, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KA923RXzHGBcvgRBlVlQCOVc,2026-12-04T12:56:00Z,2026-12-04T20:30:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA5636, AA3079",economy,1,PHL,AA,7,True,True,11:07,19:24,677,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,56.42,0.0,0,14.0,373.02,False,428.0,,"Bombardier CRJ900, Airbus A321neo/Lr/Xlr","T, T",36yEpZqHYELTvVNss850JbVZDev,3ETO4yEqHe6ZtKajSGaAFXg6QRp,2026-12-04T11:07:00Z,2026-12-04T19:24:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1569, AA825",economy,1,DFW,AA,5,True,True,07:16,15:05,649,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,54.08,0.0,0,10.0,374.68,False,428.0,,"Boeing 737 MAX 8, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KABUtNaC08TpMYnM8QFxuZZx,2026-12-04T07:16:00Z,2026-12-04T15:05:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA244, AA701",economy,1,DFW,AA,4,True,True,09:50,17:20,630,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,52.5,0.0,0,8.0,375.1,False,428.0,,"Airbus A321, Airbus A321","T, T",36yEpZqHYELTvVNss850JbVZDev,3ETO51QnBblJ4LJCREVN3hmig57,2026-12-04T09:50:00Z,2026-12-04T17:20:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2374, AA1175",economy,1,DFW,AA,2,True,True,11:48,19:08,620,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,51.67,0.0,0,4.0,378.27,False,428.0,,"Boeing 737-800, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KAD5z5oTWXDUtUtldWgAV1cW,2026-12-04T11:48:00Z,2026-12-04T19:08:00Z,0,
united,United MileagePlus,False,1.2,"UA302, UA1389",economy,1,DEN,"UA, UA",9,True,True,16:55,21:31,456,26800,5.6,USD,5.6,cache:2026-06-27,321.6,327.2,50.0,38.0,0.0,0,18.0,397.2,False,428.0,,"Airbus A320, Boeing 757-300","YN, YN",37oCkOSQtqkHAkygGeNpgjuooaw,39iPg1ZZBaacNmwo6r9V5rJhR1n,2026-12-04T16:55:00Z,2026-12-04T21:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA6372, AA2418",economy,1,ORD,AA,9,True,True,06:35,11:26,471,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,39.25,50.0,0,18.0,401.85,False,428.0,early departure,"Bombardier CRJ700, Boeing 737 MAX 8","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KAC1qMJRcV0kAXGKdKemtQ1z,2026-12-04T06:35:00Z,2026-12-04T11:26:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA5106, AA2407",economy,1,PHL,AA,9,True,True,06:00,12:08,548,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,45.67,50.0,0,18.0,408.27,False,428.0,early departure,"Bombardier CRJ900, Airbus A321neo/Lr/Xlr","T, T",36yEpZqHYELTvVNss850JbVZDev,3ETO4zsNJ08XlBbpRzWgVGpoqSM,2026-12-04T06:00:00Z,2026-12-04T12:08:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA6372, AA1253",economy,1,ORD,AA,9,True,True,06:35,13:10,575,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,47.92,50.0,0,18.0,410.52,False,428.0,early departure,"Bombardier CRJ700, Boeing 737-800","T, T",36yEpZqHYELTvVNss850JbVZDev,3A3KA9CTMaaO2Tr2Mh3m8IfmR9i,2026-12-04T06:35:00Z,2026-12-04T13:10:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS313, AS1318",economy,1,SEA,AS,9,True,True,16:46,22:09,503,22500,5.6,USD,5.6,cache:2026-06-27,337.5,343.1,50.0,41.92,0.0,0,18.0,417.02,False,428.0,,"Boeing 737-900, Boeing 737-900","Q, Q",36yEpZqHYELTvVNss850JbVZDev,3A3KA7jQzsDuK3v6bP1dgGfjFiF,2026-12-04T16:46:00Z,2026-12-04T22:09:00Z,0,
delta,Delta SkyMiles,False,1.2,DL469,economy,0,,DL,9,True,True,12:15,14:27,312,33800,5.6,USD,5.6,cache:2026-06-27,405.6,411.2,0.0,26.0,0.0,0,18.0,419.2,False,428.0,,Boeing 737-900,NU,37x7OBiYRkFB6mLhngmNPShIK5r,39kW3UL8sLg268eCSk7oKdgn7bE,2026-12-04T12:15:00Z,2026-12-04T14:27:00Z,0,
delta,Delta SkyMiles,False,1.2,DL442,economy,0,,DL,9,True,True,16:35,18:48,313,33800,5.6,USD,5.6,cache:2026-06-27,405.6,411.2,0.0,26.08,0.0,0,18.0,419.28,False,428.0,,Boeing 737-900,NU,37x7OBiYRkFB6mLhngmNPShIK5r,39kW3S2VoPEdiS5CVv1ghi6R6WT,2026-12-04T16:35:00Z,2026-12-04T18:48:00Z,0,
delta,Delta SkyMiles,False,1.2,DL1327,economy,0,,DL,9,True,True,20:20,22:39,319,33800,5.6,USD,5.6,cache:2026-06-27,405.6,411.2,0.0,26.58,0.0,0,18.0,419.78,False,428.0,,Boeing 737-900,NU,37x7OBiYRkFB6mLhngmNPShIK5r,39kW3WsHp2J6H1vYPL4HJprnVE8,2026-12-04T20:20:00Z,2026-12-04T22:39:00Z,0,
united,United MileagePlus,False,1.2,"UA3436, UA2862",economy,1,IAD,"UA, UA",9,True,True,10:12,17:40,628,27700,5.6,USD,5.6,cache:2026-06-27,332.4,338.0,50.0,52.33,0.0,0,18.0,422.33,False,428.0,,"Embraer E175, Boeing 737 MAX 9","YN, YN",37oCkOSQtqkHAkygGeNpgjuooaw,3FSwh82lSWERqIuZgDqQ3RSlfLK,2026-12-04T10:12:00Z,2026-12-04T17:40:00Z,0,
