source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
united,United MileagePlus,False,1.2,"UA4754, UA1116",business,1,ORD,"UA, UA",9,True,True,05:45,10:33,468,79000,5.6,USD,5.6,cache:2026-06-27,948.0,953.6,50.0,39.0,100.0,0,18.0,1124.6,False,957.2,very early departure,"Embraer E175, Boeing 737 MAX 9","JN, JN",39KCJ72cA9HLNxrMYEP32xDhqWD,3FSvDsFIesTjJcPIahPfc05v2pf,2027-01-07T05:45:00Z,2027-01-07T10:33:00Z
united,United MileagePlus,False,1.2,"UA4754, UA1116",economy,1,ORD,"UA, UA",9,True,True,05:45,10:33,468,19900,5.6,USD,5.6,cache:2026-06-27,238.8,244.4,50.0,39.0,100.0,0,18.0,415.4,False,398.55,very early departure,"Embraer E175, Boeing 737 MAX 9","YN, YN",39KCJ72cA9HLNxrMYEP32xDhqWD,3FSvDsmyaU01uFQIZAvAq7R4fuv,2027-01-07T05:45:00Z,2027-01-07T10:33:00Z
united,United MileagePlus,False,1.2,"UA4754, UA2610",business,1,ORD,"UA, UA",9,True,True,05:45,11:31,526,79000,5.6,USD,5.6,cache:2026-06-27,948.0,953.6,50.0,43.83,100.0,0,18.0,1129.43,False,957.2,very early departure,"Embraer E175, Boeing 757-300","JN, JN",39KCJ72cA9HLNxrMYEP32xDhqWD,3FSvDxssBuIbFpprjrUnxGzVMT0,2027-01-07T05:45:00Z,2027-01-07T11:31:00Z
united,United MileagePlus,False,1.2,"UA4754, UA2610",economy,1,ORD,"UA, UA",9,True,True,05:45,11:31,526,26900,5.6,USD,5.6,cache:2026-06-27,322.8,328.4,50.0,43.83,100.0,0,18.0,504.23,False,398.55,very early departure,"Embraer E175, Boeing 757-300","YN, YN",39KCJ72cA9HLNxrMYEP32xDhqWD,3FSvDtqdyRuC7H8CX8XMpEzVRBP,2027-01-07T05:45:00Z,2027-01-07T11:31:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA5338, AA2102, AA2048",economy,2,"PHL, PHX",AA,2,True,True,06:00,16:19,799,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,66.58,50.0,0,4.0,568.18,False,398.55,"exceeds_preferred_stops, early departure","Bombardier CRJ900, Airbus A321neo/Lr/Xlr, Boeing 737-800","T, T, T",38V5oNkbDnOKB19MG4AlmrCmAbR,3ETNlpQFUL9MBqAuOhuli4Uexbc,2027-01-07T06:00:00Z,2027-01-07T16:19:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA5338, AA2586, AA2048",economy,2,"PHL, PHX",AA,9,True,True,06:00,16:19,799,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,100.0,66.58,50.0,0,18.0,554.18,False,398.55,"exceeds_preferred_stops, early departure","Bombardier CRJ900, Airbus A321neo/Lr/Xlr, Boeing 737-800","T, T, T",38V5oNkbDnOKB19MG4AlmrCmAbR,3ETNlqfWHgA4b4ifmyiBmp4ymTZ,2027-01-07T06:00:00Z,2027-01-07T16:19:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA5338, AA3079",economy,1,PHL,AA,9,True,True,06:00,19:31,991,17500,23.7,USD,23.7,cache:2026-06-27,262.5,286.2,50.0,82.58,50.0,0,18.0,450.78,False,398.55,early departure,"Bombardier CRJ900, Airbus A321neo/Lr/Xlr","T, T",38V5oNkbDnOKB19MG4AlmrCmAbR,3A3K082Pa0nZWlkbITQoOMjB9bi,2027-01-07T06:00:00Z,2027-01-07T19:31:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA5444, AS7",economy,1,DCA,"AA, AS",9,True,True,06:00,21:56,1136,17500,23.7,USD,23.7,cache:2026-06-27,262.5,286.2,50.0,94.67,50.0,0,18.0,462.87,False,398.55,early departure,"Bombardier CRJ900, Boeing 737-800","T, T",38V5oNkbDnOKB19MG4AlmrCmAbR,3A3K033bRTb61pWdjCfVR27OCLe,2027-01-07T06:00:00Z,2027-01-07T21:56:00Z
united,United MileagePlus,False,1.2,"UA3652, UA1777",economy,1,EWR,"UA, UA",9,True,True,06:00,12:19,559,22600,5.6,USD,5.6,cache:2026-06-27,271.2,276.8,50.0,46.58,50.0,0,18.0,405.38,False,398.55,early departure,"Embraer E175, Boeing 777","YN, YN",39KCJ72cA9HLNxrMYEP32xDhqWD,3FSvDtnA1B1ONTpsbQoOF7rg5JX,2027-01-07T06:00:00Z,2027-01-07T12:19:00Z
united,United MileagePlus,False,1.2,"UA3652, UA1914",business,1,EWR,"UA, UA",7,True,True,06:00,15:01,721,100000,5.6,USD,5.6,cache:2026-06-27,1200.0,1205.6,50.0,60.08,50.0,0,14.0,1351.68,True,957.2,"early departure, expensive","Embraer E175, Boeing 757-200","JN, JN",39KCJ72cA9HLNxrMYEP32xDhqWD,39iPrgBefYOPJZzB2Zc8wDN8gSd,2027-01-07T06:00:00Z,2027-01-07T15:01:00Z
