source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
delta,Delta SkyMiles,False,1.2,"DL1746, DL2383",business,1,MSP,"DL, DL",5,True,True,07:00,12:21,501,99000,5.6,USD,5.6,cache:2026-06-27,1188.0,1193.6,50.0,41.75,0.0,0,10.0,1275.35,False,1515.2,,"Airbus A321, Airbus A320","OI, OI",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3DHYaDkZSWZRFJ5V1L32aYN72Ix,2026-11-30T07:00:00Z,2026-11-30T12:21:00Z
delta,Delta SkyMiles,False,1.2,"DL1746, DL2383",economy,1,MSP,"DL, DL",9,True,True,07:00,12:21,501,56900,5.6,USD,5.6,cache:2026-06-27,682.8,688.4,50.0,41.75,0.0,0,18.0,762.15,False,826.4,,"Airbus A321, Airbus A320","NK, NK",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3DHYaM4qfmeEDReClR9mVO4A7Ho,2026-11-30T07:00:00Z,2026-11-30T12:21:00Z
delta,Delta SkyMiles,False,1.2,"DL2188, DL2136",business,1,ATL,"DL, DL",1,True,True,12:15,18:52,577,125800,5.6,USD,5.6,cache:2026-06-27,1509.6,1515.2,50.0,48.08,0.0,0,2.0,1611.28,False,1515.2,,"Airbus A321, Boeing 737-900","OD, OD",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tMQp68ZS9j5xDmRs2PGhI1n,2026-11-30T12:15:00Z,2026-11-30T18:52:00Z
delta,Delta SkyMiles,False,1.2,"DL2188, DL2136",economy,1,ATL,"DL, DL",9,True,True,12:15,18:52,577,68400,5.6,USD,5.6,cache:2026-06-27,820.8,826.4,50.0,48.08,0.0,0,18.0,906.48,False,826.4,,"Airbus A321, Boeing 737-900","NQ, NQ",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tJdDXL0n6c74zVQqn1LRcIu,2026-11-30T12:15:00Z,2026-11-30T18:52:00Z
delta,Delta SkyMiles,False,1.2,"DL728, DL4132",business,1,SEA,"DL, DL",7,True,True,12:15,18:58,583,125800,5.6,USD,5.6,cache:2026-06-27,1509.6,1515.2,50.0,48.58,0.0,0,14.0,1599.78,False,1515.2,,"Airbus A321, Embraer E175","OD, OD",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tJUiI278dPJI3sRXmFa4olG,2026-11-30T12:15:00Z,2026-11-30T18:58:00Z
delta,Delta SkyMiles,False,1.2,"DL728, DL4132",economy,1,SEA,"DL, DL",3,True,True,12:15,18:58,583,56900,5.6,USD,5.6,cache:2026-06-27,682.8,688.4,50.0,48.58,0.0,0,6.0,780.98,False,826.4,,"Airbus A321, Embraer E175","NK, NK",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tJN6LRlcF9Z9RoKkfusBmju,2026-11-30T12:15:00Z,2026-11-30T18:58:00Z
delta,Delta SkyMiles,False,1.2,"DL935, DL3937",business,1,SLC,"DL, DL",7,True,True,12:25,18:20,535,110500,5.6,USD,5.6,cache:2026-06-27,1326.0,1331.6,50.0,44.58,0.0,0,14.0,1412.18,False,1515.2,,"Airbus A321, Embraer E175","OI, OI",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tLnvXpZbvtFFItVcIGsQLrZ,2026-11-30T12:25:00Z,2026-11-30T18:20:00Z
delta,Delta SkyMiles,False,1.2,"DL1983, DL2136",business,1,ATL,"DL, DL",6,True,True,13:45,18:52,487,125800,5.6,USD,5.6,cache:2026-06-27,1509.6,1515.2,50.0,40.58,0.0,0,12.0,1593.78,False,1515.2,,"Airbus A321, Boeing 737-900","OD, OD",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3DHYaQ5Pa1HsX0pE1bb43ueT8xO,2026-11-30T13:45:00Z,2026-11-30T18:52:00Z
delta,Delta SkyMiles,False,1.2,"DL1983, DL2136",economy,1,ATL,"DL, DL",9,True,True,13:45,18:52,487,68400,5.6,USD,5.6,cache:2026-06-27,820.8,826.4,50.0,40.58,0.0,0,18.0,898.98,False,826.4,,"Airbus A321, Boeing 737-900","NQ, NQ",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3DHYaOKQPhPtLCMaREylIVEaSFe,2026-11-30T13:45:00Z,2026-11-30T18:52:00Z
delta,Delta SkyMiles,False,1.2,"DL1467, DL933",business,1,ATL,"DL, DL",6,True,True,15:55,22:58,603,125800,5.6,USD,5.6,cache:2026-06-27,1509.6,1515.2,50.0,50.25,0.0,0,12.0,1603.45,False,1515.2,,"Airbus A321, Boeing 737-900","OD, OD",37oCMxJrNOdXyEW1VRSxdHJ3oyF,3A61tMT3hEF8Kmb6JC4G1ihuku9,2026-11-30T15:55:00Z,2026-11-30T22:58:00Z
