source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
alaska,Alaska Atmos Rewards,False,1.5,"AS722, AS1306, AS1406",economy,2,"SEA, LAX",AS,9,True,True,07:15,14:52,517,27500,5.6,USD,5.6,cache:2026-06-27,412.5,418.1,100.0,43.08,0.0,0,18.0,543.18,False,568.1,exceeds_preferred_stops,"Boeing 737-900, Boeing 737-900, Boeing 737-900","S, S, S",32x9a2tpvya2qTpvcRle7ucDIBA,3CaK4dsal0xbsqm3OnPdafFUqjm,2026-09-07T07:15:00Z,2026-09-07T14:52:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS2042, AS236",economy,1,PDX,AS,9,True,True,13:05,16:31,266,32500,5.6,USD,5.6,cache:2026-06-27,487.5,493.1,50.0,22.17,0.0,0,18.0,547.27,False,568.1,,"Embraer E175, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZAvQsSVk33qZwRg4CDCHnMj,2026-09-07T13:05:00Z,2026-09-07T16:31:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS660, AS411",economy,1,SEA,AS,9,True,True,16:13,23:36,503,27500,11.2,USD,11.2,cache:2026-06-27,412.5,423.7,50.0,41.92,50.0,0,18.0,547.62,False,568.1,late arrival,"Boeing 737-900, Boeing 737-900","S, S",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ5XtknwwLFxsLjmagI0yPJk,2026-09-07T16:13:00Z,2026-09-07T23:36:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS722, AS621, AS1450",economy,2,"SEA, SAN",AS,9,True,True,07:15,17:22,667,27500,5.6,USD,5.6,cache:2026-06-27,412.5,418.1,100.0,55.58,0.0,0,18.0,555.68,False,568.1,exceeds_preferred_stops,"Boeing 737-900, Boeing 737-900, Boeing 737-900","S, S, S",32x9a2tpvya2qTpvcRle7ucDIBA,3CaK4jDM3UI9J858MnPY9Z0aQk0,2026-09-07T07:15:00Z,2026-09-07T17:22:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS722, AS650, AS1450",economy,2,"SEA, SAN",AS,9,True,True,07:15,17:22,667,27500,5.6,USD,5.6,cache:2026-06-27,412.5,418.1,100.0,55.58,0.0,0,18.0,555.68,False,568.1,exceeds_preferred_stops,"Boeing 737-900, Boeing 737-900, Boeing 737-900","S, S, S",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ8VC0mbJVJMwzwhqHHmxLTp,2026-09-07T07:15:00Z,2026-09-07T17:22:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS660, AS628",economy,1,SEA,AS,9,True,True,16:13,21:27,374,32500,5.6,USD,5.6,cache:2026-06-27,487.5,493.1,50.0,31.17,0.0,0,18.0,556.27,False,568.1,,"Boeing 737-900, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ6tGa4HstRmR4tG3ntaxcug,2026-09-07T16:13:00Z,2026-09-07T21:27:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS660, AS590",economy,1,SEA,AS,9,True,True,16:13,22:33,440,32500,5.6,USD,5.6,cache:2026-06-27,487.5,493.1,50.0,36.67,0.0,0,18.0,561.77,False,568.1,,"Boeing 737-900, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZA90WFV6L5NER8I27T7gNEt,2026-09-07T16:13:00Z,2026-09-07T22:33:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS2042, AS1393",economy,1,PDX,AS,9,True,True,13:05,19:54,469,32500,11.2,USD,11.2,cache:2026-06-27,487.5,498.7,50.0,39.08,0.0,0,18.0,569.78,False,568.1,,"Embraer E175, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZB10g5PbyPBZVzJManfoxUA,2026-09-07T13:05:00Z,2026-09-07T19:54:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS2219, AS628",economy,1,SEA,AS,9,True,True,14:05,21:27,502,32500,11.2,USD,11.2,cache:2026-06-27,487.5,498.7,50.0,41.83,0.0,0,18.0,572.53,False,568.1,,"Embraer E175, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ6ZeswUObVmY8eBy0KsZxGH,2026-09-07T14:05:00Z,2026-09-07T21:27:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS2042, AS1374",economy,1,PDX,AS,9,True,True,13:05,20:46,521,32500,11.2,USD,11.2,cache:2026-06-27,487.5,498.7,50.0,43.42,0.0,0,18.0,574.12,False,568.1,,"Embraer E175, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ5U2RPzmmnga43yw3eDF8vZ,2026-09-07T13:05:00Z,2026-09-07T20:46:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS2219, AS590",economy,1,SEA,AS,9,True,True,14:05,22:33,568,32500,11.2,USD,11.2,cache:2026-06-27,487.5,498.7,50.0,47.33,0.0,0,18.0,578.03,False,568.1,,"Embraer E175, Boeing 737-900","V, V",32x9a2tpvya2qTpvcRle7ucDIBA,3BkzZ8CVXZdKy3Tu6ZxedWVmo1D,2026-09-07T14:05:00Z,2026-09-07T22:33:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS722, AS3145, AS1374",economy,2,"SEA, PDX",AS,9,True,True,07:15,20:46,871,27500,11.2,USD,11.2,cache:2026-06-27,412.5,423.7,100.0,72.58,0.0,0,18.0,578.28,False,568.1,exceeds_preferred_stops,"Boeing 737-900, Embraer E175, Boeing 737-900","S, S, S",32x9a2tpvya2qTpvcRle7ucDIBA,3DFK2WtKYDYKg868fx5WPiif7sZ,2026-09-07T07:15:00Z,2026-09-07T20:46:00Z,0,
