source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
united,United MileagePlus,False,1.2,UA1679,economy,0,,UA,9,True,True,08:51,16:12,321,28900,62.34,USD,62.34,live:2026-06-27,346.8,409.14,0.0,26.75,0.0,0,18.0,417.89,False,592.59,,Boeing 737 MAX 9,YN,33d4wlCl5uQycjhPmigMOGB3Ysr,3BdOugciRmr4P7aLdqh934wOLXm,2026-09-04T08:51:00Z,2026-09-04T16:12:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA304, AA2650",economy,1,DFW,AA,2,True,True,07:25,20:03,638,17500,74.84,USD,74.84,live:2026-06-27,262.5,337.34,50.0,53.17,0.0,0,4.0,436.51,False,592.59,,"Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdw65Mj80HCo46E1TM9Cu6E7,2026-09-04T07:25:00Z,2026-09-04T20:03:00Z,1,"qantas 23,300 + USD 85.74"
alaska,Alaska Atmos Rewards,False,1.5,"AA2305, AA2650",economy,1,DFW,AA,7,True,True,06:36,20:03,687,17500,74.84,USD,74.84,live:2026-06-27,262.5,337.34,50.0,57.25,50.0,0,14.0,480.59,False,592.59,early departure,"Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdt6SppE09VoovAZqVDT0A5Z,2026-09-04T06:36:00Z,2026-09-04T20:03:00Z,1,"qantas 23,300 + USD 85.74"
united,United MileagePlus,False,1.2,"UA301, UA1119",economy,1,DEN,"UA, UA",9,True,True,21:13,12:58 +1,825,25000,62.34,USD,62.34,live:2026-06-27,300.0,362.34,50.0,68.75,0.0,75.0,18.0,538.09,False,592.59,next_day_arrival,"Boeing 737 MAX 8, Airbus A321neo","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc83Xod7CYtjx9QhhJ9hda53,2026-09-04T21:13:00Z,2026-09-05T12:58:00Z,0,
united,United MileagePlus,False,1.2,"UA1145, UA1119",economy,1,DEN,"UA, UA",9,True,True,19:56,12:58 +1,902,25000,62.34,USD,62.34,live:2026-06-27,300.0,362.34,50.0,75.17,0.0,75.0,18.0,544.51,False,592.59,next_day_arrival,"Boeing 737 MAX 8, Airbus A321neo","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc8cR4TP8iQ5UMAwUS6GPPTK,2026-09-04T19:56:00Z,2026-09-05T12:58:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2205, AA2650",economy,1,DFW,AA,9,True,True,15:39,20:03 +1,1584,17500,80.44,USD,80.44,live:2026-06-27,262.5,342.94,50.0,132.0,0.0,75.0,18.0,581.94,False,592.59,next_day_arrival,"Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3F9Yd7yc5lymxMI0lLI4xsRe3Ad,2026-09-04T15:39:00Z,2026-09-05T20:03:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3022, AA2422",economy,1,MIA,AA,9,True,True,21:35,13:07 +1,812,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,50.0,67.67,0.0,75.0,18.0,587.01,False,592.59,next_day_arrival,"Airbus A321neo/Lr/Xlr, Airbus A321","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FHT7PKFQn5OR0MCjNrccauPKCC,2026-09-04T21:35:00Z,2026-09-05T13:07:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3022, AA158",economy,1,MIA,AA,9,True,True,21:35,15:30 +1,955,22500,74.84,USD,74.84,live:2026-06-27,337.5,412.34,50.0,79.58,0.0,75.0,18.0,598.92,False,592.59,next_day_arrival,"Airbus A321neo/Lr/Xlr, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FHT7NQrzsBmZ3IebQ8cqRsuoAJ,2026-09-04T21:35:00Z,2026-09-05T15:30:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"AV563, AV650",economy,1,SAL,AV,4,True,True,14:15,14:40 +1,1345,22500,186.7,CAD,131.47,live:2026-06-27,247.5,378.97,50.0,112.08,0.0,75.0,8.0,608.05,False,592.59,next_day_arrival,"Airbus A320neo, Airbus A320neo","X, X",32jAqosYYcRMq31vSf3mLjWvAVH,3FbOgmFlSu2N2R3GJoTWsSQkLVk,2026-09-04T14:15:00Z,2026-09-05T14:40:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2111, AA2650",economy,1,DFW,AA,9,True,True,23:30,20:03 +1,1113,17500,80.44,USD,80.44,live:2026-06-27,262.5,342.94,50.0,92.75,75.0,75.0,18.0,617.69,False,592.59,"next_day_arrival, late departure","Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3EvT4BVvjoIRosBWGGP5YgGIt3K,2026-09-04T23:30:00Z,2026-09-05T20:03:00Z,0,
