source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
united,United MileagePlus,False,1.2,"UA604, UA1018",economy,1,IAH,"UA, UA",9,True,True,00:45,12:02,557,42400,62.34,USD,62.34,cache:2026-06-27,508.8,571.14,50.0,46.42,100.0,0,18.0,749.56,False,592.59,very early departure,"Boeing 777, Boeing 737-900","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc45eUfuw8P6CSOQ1s7agbn4,2026-09-04T00:45:00Z,2026-09-04T12:02:00Z
united,United MileagePlus,False,1.2,"UA604, UA1167",economy,1,IAH,"UA, UA",9,True,True,00:45,14:37,712,42400,62.34,USD,62.34,cache:2026-06-27,508.8,571.14,50.0,59.33,100.0,0,18.0,762.47,False,592.59,very early departure,"Boeing 777, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc5exd3TZmxGz5in2wd8WrJz,2026-09-04T00:45:00Z,2026-09-04T14:37:00Z
united,United MileagePlus,False,1.2,"UA604, UA1619",economy,1,IAH,"UA, UA",9,True,True,00:45,10:06,441,42400,62.34,USD,62.34,cache:2026-06-27,508.8,571.14,50.0,36.75,100.0,0,18.0,739.89,False,592.59,very early departure,"Boeing 777, Boeing 737 MAX 9","YN, YN",33d4wlCl5uQycjhPmigMOGB3Ysr,3FKSc2OjSAlLhXaNO3IFl4Sl354,2026-09-04T00:45:00Z,2026-09-04T10:06:00Z
american,American AAdvantage,False,2.0,"AA2116, AA2207",business,1,DFW,"AA, AA",0,False,True,05:30,14:54,444,136500,62.34,USD,62.34,cache:2026-06-27,2730.0,2792.34,50.0,37.0,100.0,0,0.0,2979.34,False,1030.74,"not_enough_seats, very early departure","Airbus A321, Airbus A321",,33o0naTNlD0HGVvwpT7QHFOzPoC,3EHhcSgPEST6WfIKvw9u9wLVnrH,2026-09-04T05:30:00Z,2026-09-04T14:54:00Z
american,American AAdvantage,False,2.0,"AA2116, AA2207",economy,1,DFW,"AA, AA",0,False,True,05:30,14:54,444,53500,62.34,USD,62.34,cache:2026-06-27,1070.0,1132.34,50.0,37.0,100.0,0,0.0,1319.34,False,592.59,"not_enough_seats, very early departure","Airbus A321, Airbus A321",,33o0naTNlD0HGVvwpT7QHFOzPoC,3EHhcWfkIpGd8aRBDrRKqAQQuSO,2026-09-04T05:30:00Z,2026-09-04T14:54:00Z
american,American AAdvantage,False,2.0,"AA2116, AA2650",business,1,DFW,"AA, AA",0,False,True,05:30,20:03,753,48500,62.34,USD,62.34,cache:2026-06-27,970.0,1032.34,50.0,62.75,100.0,0,0.0,1245.09,False,1030.74,"not_enough_seats, very early departure","Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdYsGEOnSO4IyrTiy9T8IbQT,2026-09-04T05:30:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA2116, AA2650",economy,1,DFW,"AA, AA",0,False,True,05:30,20:03,753,29500,62.34,USD,62.34,cache:2026-06-27,590.0,652.34,50.0,62.75,100.0,0,0.0,865.09,False,592.59,"not_enough_seats, very early departure","Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdPG9cyGFvectyYVUM2pr6o1,2026-09-04T05:30:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA2614, AA2451, AA2650",economy,2,"ORD, DFW","AA, AA, AA",0,False,True,06:02,20:03,721,72500,62.34,USD,62.34,cache:2026-06-27,1450.0,1512.34,100.0,60.08,50.0,0,0.0,1722.42,False,592.59,"not_enough_seats, exceeds_preferred_stops, early departure","Boeing 737-800, Boeing 737 MAX 8, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3EHhcUors57et4KVo8A4cvX7rqi,2026-09-04T06:02:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA2305, AA2650",business,1,DFW,"AA, AA",0,False,True,06:36,20:03,687,50500,62.34,USD,62.34,cache:2026-06-27,1010.0,1072.34,50.0,57.25,50.0,0,0.0,1229.59,False,1030.74,"not_enough_seats, early departure","Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdTwniX2grizpfQxbbF4TcsJ,2026-09-04T06:36:00Z,2026-09-04T20:03:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA2305, AA2650",economy,1,DFW,AA,7,True,True,06:36,20:03,687,17500,74.84,USD,74.84,cache:2026-06-27,262.5,337.34,50.0,57.25,50.0,0,14.0,480.59,False,592.59,early departure,"Airbus A321, Boeing 737-800","T, T",32o6jffBLWSOaBl6ylZgptQChIn,3FbOdt6SppE09VoovAZqVDT0A5Z,2026-09-04T06:36:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA2305, AA2650",economy,1,DFW,"AA, AA",0,False,True,06:36,20:03,687,30500,62.34,USD,62.34,cache:2026-06-27,610.0,672.34,50.0,57.25,50.0,0,0.0,829.59,False,592.59,"not_enough_seats, early departure","Airbus A321, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdLhNUG0EBLIeT5TKJ5m8ywc,2026-09-04T06:36:00Z,2026-09-04T20:03:00Z
qantas,qantas,True,2.0,"AA2305, AA2650",economy,1,DFW,AA,1,True,True,06:36,20:03,687,23300,85.74,USD,85.74,cache:2026-06-27,466.0,551.74,50.0,57.25,50.0,0,2.0,706.99,False,592.59,"default_cpp, early departure",,,32U85tL0904bWSjwtwIUb4DZbHO,3FbOeOvGZMTG2iATgikQztFoofn,2026-09-04T06:36:00Z,2026-09-04T20:03:00Z
american,American AAdvantage,False,2.0,"AA1097, AA1154, AA2650",economy,2,"LAX, DFW","AA, AA, AA",0,False,True,07:00,20:03,663,40500,62.34,USD,62.34,cache:2026-06-27,810.0,872.34,100.0,55.25,0.0,0,0.0,1027.59,False,592.59,"not_enough_seats, exceeds_preferred_stops","Boeing 737-800, Airbus A321neo/Lr/Xlr, Boeing 737-800",,33o0naTNlD0HGVvwpT7QHFOzPoC,3DFJdVZTbp32VlTSxZt88VVtflL,2026-09-04T07:00:00Z,2026-09-04T20:03:00Z
