source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
flyingblue,Air France/KLM Flying Blue,False,1.1,DL1927,economy,0,,DL,9,True,True,14:25,22:00,275,16000,15.2,USD,15.2,cache:2026-06-27,176.0,191.2,0.0,22.92,0.0,0,18.0,196.12,False,361.2,,Boeing 737-900,N,36yEnXsIdNgeBDSsKgylbQnKAhb,3AkW1I9YlFbf46uGzQ9Vc2vuWRd,2026-12-10T14:25:00Z,2026-12-10T22:00:00Z,1,"Virgin Atlantic Flying Club 22,000 + USD 5.60"
virginatlantic,Virgin Atlantic Flying Club,False,1.0,DL772,economy,0,,DL,5,True,True,06:00,13:36,276,22000,5.6,USD,5.6,cache:2026-06-27,220.0,225.6,0.0,23.0,50.0,0,10.0,288.6,False,361.2,early departure,Boeing 737-900,N,38E0krFBQTH3Z8XOUi09GUZLLm5,3FYuj3U37s2DUsaSnJfcHQsaDSH,2026-12-10T06:00:00Z,2026-12-10T13:36:00Z,0,
flyingblue,Air France/KLM Flying Blue,False,1.1,"DL2272, DL708",economy,1,LAX,"DL, DL",6,True,True,13:00,23:06,426,17500,19.7,USD,19.7,cache:2026-06-27,192.5,212.2,50.0,35.5,50.0,0,12.0,335.7,False,361.2,late arrival,"Boeing 737-800, Airbus A321neo","N, N",36yEnXsIdNgeBDSsKgylbQnKAhb,3AkW1FSUzBbXeeazBbXL8uAd4Yn,2026-12-10T13:00:00Z,2026-12-10T23:06:00Z,1,"Virgin Atlantic Flying Club 26,000 + USD 5.60"
virginatlantic,Virgin Atlantic Flying Club,False,1.0,"DL920, DL2244",economy,1,SLC,"DL, DL",7,True,True,10:00,19:10,370,27500,5.6,USD,5.6,cache:2026-06-27,275.0,280.6,50.0,30.83,0.0,0,14.0,347.43,False,361.2,,"Airbus A319, Airbus A321","N, N",38E0krFBQTH3Z8XOUi09GUZLLm5,3FYuj6rKZ5M9KbjTXkRYFWH7oRB,2026-12-10T10:00:00Z,2026-12-10T19:10:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA604, UA393",economy,1,IAH,UA,9,True,True,00:45,15:43,718,15000,54.6,CAD,38.45,cache:2026-06-27,165.0,203.45,50.0,59.83,100.0,0,18.0,395.28,False,361.2,very early departure,"Boeing 777, Airbus A319","X, X",378mYdxuuqrZdU9P1xJ8SN6yV66,39JZwq4ji6IG3N8kIPXu07etRwH,2026-12-10T00:45:00Z,2026-12-10T15:43:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA2847, UA1727",economy,1,ORD,UA,7,True,True,00:50,16:57,787,15000,54.6,CAD,38.45,cache:2026-06-27,165.0,203.45,50.0,65.58,100.0,0,14.0,405.03,False,361.2,very early departure,"Airbus A321neo, Airbus A319","X, X",378mYdxuuqrZdU9P1xJ8SN6yV66,3Eq6E8iMdmU6dUyQdwWiP6UcOYi,2026-12-10T00:50:00Z,2026-12-10T16:57:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2114, AA1287",economy,1,PHX,AA,9,True,True,12:20,22:51,451,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,37.58,0.0,0,18.0,425.18,False,361.2,,"Boeing 737 MAX 8, Boeing 737-800","T, T",37GL804nXp2GcWCFAY7ph2XNlwe,38ZnUdccgSGdABaABSIWMDj5FLR,2026-12-10T12:20:00Z,2026-12-10T22:51:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3047, AA245",economy,1,DFW,AA,9,True,True,07:00,17:45,465,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,38.75,0.0,0,18.0,426.35,False,361.2,,"Airbus A321, Airbus A321","T, T",37GL804nXp2GcWCFAY7ph2XNlwe,3ETNEIkig4jBmRYb0PiUHeKB1Lr,2026-12-10T07:00:00Z,2026-12-10T17:45:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA755, UA4024",economy,1,IAD,UA,9,True,True,13:10,23:59,469,25000,46.8,CAD,32.96,cache:2026-06-27,275.0,307.96,50.0,39.08,50.0,0,18.0,429.04,False,361.2,late arrival,"Boeing 777, Embraer E175","X, X",378mYdxuuqrZdU9P1xJ8SN6yV66,3Eq6E33FXW6NbnqVZHiPS9QdhVu,2026-12-10T13:10:00Z,2026-12-10T23:59:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA1878, AA1297",economy,1,CLT,AA,9,True,True,07:15,18:52,517,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,43.08,0.0,0,18.0,430.68,False,361.2,,"Airbus A321, Airbus A319","T, T",37GL804nXp2GcWCFAY7ph2XNlwe,38ZnUdqlCIbL7a1jqrNLlZyTrmi,2026-12-10T07:15:00Z,2026-12-10T18:52:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA3047, AA1860",economy,1,DFW,AA,9,True,True,07:00,18:38,518,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,43.17,0.0,0,18.0,430.77,False,361.2,,"Airbus A321, Boeing 737-800","T, T",37GL804nXp2GcWCFAY7ph2XNlwe,3ETNEJcrgr2yGERaCEuJ1ClaVM4,2026-12-10T07:00:00Z,2026-12-10T18:38:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AA2904, AA1860",economy,1,DFW,AA,5,True,True,08:00,18:38,458,22500,18.1,USD,18.1,cache:2026-06-27,337.5,355.6,50.0,38.17,0.0,0,10.0,433.77,False,361.2,,"Boeing 737-800, Boeing 737-800","T, T",37GL804nXp2GcWCFAY7ph2XNlwe,3ETNEPNzXqQC2gi1SgYqibjQdWJ,2026-12-10T08:00:00Z,2026-12-10T18:38:00Z,0,
