source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
american,American AAdvantage,False,2.0,"AA1476, AA3195",business,1,CLT,"AA, AA",0,False,True,00:25,11:14,469,65000,5.6,USD,5.6,cache:2026-06-27,1300.0,1305.6,50.0,39.08,100.0,0,0.0,1494.68,False,723.7,"not_enough_seats, very early departure","Airbus A321, Airbus A320",,38GsHXxxjuJEqrJUesZ1jz9cLRf,39iS37kmQHgouU9N8RCWJCZR9gC,2026-12-11T00:25:00Z,2026-12-11T11:14:00Z
american,American AAdvantage,False,2.0,"AA1476, AA3195",economy,1,CLT,"AA, AA",0,False,True,00:25,11:14,469,25000,5.6,USD,5.6,cache:2026-06-27,500.0,505.6,50.0,39.08,100.0,0,0.0,694.68,False,405.2,"not_enough_seats, very early departure","Airbus A321, Airbus A320",,38GsHXxxjuJEqrJUesZ1jz9cLRf,39iS3DcpwVLimhPYnjgeI06HcoW,2026-12-11T00:25:00Z,2026-12-11T11:14:00Z
delta,Delta SkyMiles,False,1.2,"DL2789, DL1433",economy,1,MSP,"DL, DL",2,True,True,00:40,11:39,479,33300,5.6,USD,5.6,cache:2026-06-27,399.6,405.2,50.0,39.92,100.0,0,4.0,591.12,False,405.2,very early departure,"Boeing 737-900, Airbus A321","NU, NU",38GsMWFv0pDHw8VWtRCme9K5kgv,3DpmOzy9oVBvf6gdC0dSGFcK4v1,2026-12-11T00:40:00Z,2026-12-11T11:39:00Z
united,United MileagePlus,False,1.2,"UA604, UA4064",economy,1,IAH,"UA, UA",9,True,True,00:45,13:45,600,26800,5.6,USD,5.6,cache:2026-06-27,321.6,327.2,50.0,50.0,100.0,0,18.0,509.2,False,405.2,very early departure,"Boeing 777, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x1xApN9VJ2CEerkawvagn2aR,2026-12-11T00:45:00Z,2026-12-11T13:45:00Z
united,United MileagePlus,False,1.2,"UA1248, UA1727",economy,1,ORD,"UA, UA",9,True,True,05:00,16:57,537,29600,5.6,USD,5.6,cache:2026-06-27,355.2,360.8,50.0,44.75,100.0,0,18.0,537.55,False,405.2,very early departure,"Boeing 737 MAX 9, Airbus A319","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLekcHs6ovJYysMn7Sl7ahsvs,2026-12-11T05:00:00Z,2026-12-11T16:57:00Z
united,United MileagePlus,False,1.2,"UA1248, UA3719",economy,1,ORD,"UA, UA",9,True,True,05:00,15:29,449,37900,5.6,USD,5.6,cache:2026-06-27,454.8,460.4,50.0,37.42,100.0,0,18.0,629.82,True,405.2,"very early departure, expensive","Boeing 737 MAX 9, Embraer E175","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3FNLeoRuw54ttdOXMR4oGg7ZQuI,2026-12-11T05:00:00Z,2026-12-11T15:29:00Z
united,United MileagePlus,False,1.2,"UA1479, UA1915",economy,1,DEN,"UA, UA",9,True,True,05:00,15:14,434,35800,5.6,USD,5.6,cache:2026-06-27,429.6,435.2,50.0,36.17,100.0,0,18.0,603.37,True,405.2,"very early departure, expensive","Airbus A321neo, Airbus A320","YN, YN",3888wcxv2NLqUWsOibGx8H3QHRE,3F4x1xVe4f5xGipC60ZkeVeAl0W,2026-12-11T05:00:00Z,2026-12-11T15:14:00Z
american,American AAdvantage,False,2.0,"AA2614, AA6246",business,1,ORD,"AA, AA",0,False,True,06:00,18:10,550,94500,5.6,USD,5.6,cache:2026-06-27,1890.0,1895.6,50.0,45.83,50.0,0,0.0,2041.43,False,723.7,"not_enough_seats, early departure","Boeing 737-800, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3EzssY4QmP02J74EOfeBKY8RLPB,2026-12-11T06:00:00Z,2026-12-11T18:10:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AA2614, AA6246",economy,1,ORD,AA,2,True,True,06:00,18:10,550,17500,18.1,USD,18.1,cache:2026-06-27,262.5,280.6,50.0,45.83,50.0,0,4.0,422.43,False,405.2,early departure,"Boeing 737-800, Bombardier CRJ700","T, T",37HC7HH5pz8lBYLt15XcesiMRkP,38MIlDd7x8mwkUlKiHQDjm2zVQq,2026-12-11T06:00:00Z,2026-12-11T18:10:00Z
american,American AAdvantage,False,2.0,"AA2614, AA6246",economy,1,ORD,"AA, AA",0,False,True,06:00,18:10,550,17500,5.6,USD,5.6,cache:2026-06-27,350.0,355.6,50.0,45.83,50.0,0,0.0,501.43,False,405.2,"not_enough_seats, early departure","Boeing 737-800, Bombardier CRJ700",,38GsHXxxjuJEqrJUesZ1jz9cLRf,3Ezssc08iFFLcvgfcapg0HNYaHl,2026-12-11T06:00:00Z,2026-12-11T18:10:00Z
