source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw,alternate_count,alternates
aeroplan,Air Canada Aeroplan,False,1.1,"UA301, UA4697",economy,1,DEN,UA,9,True,True,21:05,10:01 +1,716,15000,54.4,CAD,39.02,live:2026-06-11,165.0,204.02,50.0,59.67,0.0,75.0,18.0,370.69,False,508.04,next_day_arrival,"Boeing 737 MAX 8, Embraer E175","X, X",32jAtYBp22LVb66b4n1q3q4IetS,3AUnYrrgUVVt1r61xHwyCdsyDut,2026-09-04T21:05:00Z,2026-09-05T10:01:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA1145, UA4697",economy,1,DEN,UA,9,True,True,19:56,10:01 +1,785,15000,54.4,CAD,39.02,live:2026-06-11,165.0,204.02,50.0,65.42,0.0,75.0,18.0,376.44,False,508.04,next_day_arrival,"Boeing 737 MAX 8, Embraer E175","X, X",32jAtYBp22LVb66b4n1q3q4IetS,3CKnzHVC1QPxP7ebYCxX7bUh0pg,2026-09-04T19:56:00Z,2026-09-05T10:01:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA301, UA2357",economy,1,DEN,UA,9,True,True,21:05,13:27 +1,922,15000,54.4,CAD,39.02,live:2026-06-11,165.0,204.02,50.0,76.83,0.0,75.0,18.0,387.86,False,508.04,next_day_arrival,"Boeing 737 MAX 8, Boeing 737-800","X, X",32jAtYBp22LVb66b4n1q3q4IetS,3AUnYqAFh7OqiZgpmxCs5zSmOld,2026-09-04T21:05:00Z,2026-09-05T13:27:00Z,0,
aeroplan,Air Canada Aeroplan,False,1.1,"UA1814, UA1889, UA2357",economy,2,"SMF, DEN",UA,9,True,True,22:54,13:27 +1,813,15000,54.4,CAD,39.02,live:2026-06-11,165.0,204.02,100.0,67.75,75.0,75.0,18.0,503.77,False,508.04,"exceeds_preferred_stops, next_day_arrival, late departure","Airbus A319, Boeing 737 MAX 9, Boeing 737-800","X, X, X",32jAtYBp22LVb66b4n1q3q4IetS,3AUnYq1UPCUC5BFUiCnghdaeqEN,2026-09-04T22:54:00Z,2026-09-05T13:27:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1302, AS743, AS1435",economy,2,"PDX, SEA",AS,9,True,True,15:03,22:56,413,27500,5.6,USD,5.6,live:2026-06-11,412.5,418.1,100.0,34.42,0.0,0,18.0,534.52,False,508.04,exceeds_preferred_stops,"Boeing 737-900, Boeing 737-800, Boeing 737 MAX 9","S, S, S",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HPpUIZB5zhQIZ60oquXDurR,2026-09-04T15:03:00Z,2026-09-04T22:56:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1410, AS2146",economy,1,PDX,AS,9,True,True,07:23,13:25,302,32500,5.6,USD,5.6,live:2026-06-11,487.5,493.1,50.0,25.17,0.0,0,18.0,550.27,False,508.04,,"Boeing 737-800, Embraer E175","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HQiKKC4ZO47SW3H51sHPtdi,2026-09-04T07:23:00Z,2026-09-04T13:25:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS426, AS574, AS1435",economy,2,"SAN, SEA",AS,9,True,True,07:08,22:56,888,27500,11.2,USD,11.2,live:2026-06-11,412.5,423.7,100.0,74.0,0.0,0,18.0,579.7,False,508.04,exceeds_preferred_stops,"Boeing 737 MAX 9, Boeing 737-900, Boeing 737 MAX 9","S, S, S",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HRzrr0f45N29Y43CVllU997,2026-09-04T07:08:00Z,2026-09-04T22:56:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS426, AS685, AS1435",economy,2,"SAN, SEA",AS,9,True,True,07:08,22:56,888,27500,11.2,USD,11.2,live:2026-06-11,412.5,423.7,100.0,74.0,0.0,0,18.0,579.7,False,508.04,exceeds_preferred_stops,"Boeing 737 MAX 9, Boeing 737-900, Boeing 737 MAX 9","S, S, S",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HT6N9TiDBGUyCKdxu4ixbB3,2026-09-04T07:08:00Z,2026-09-04T22:56:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1411, AS1536, AS1435",economy,2,"PDX, SEA",AS,5,True,True,08:23,22:56,813,27500,11.2,USD,11.2,live:2026-06-11,412.5,423.7,100.0,67.75,0.0,0,10.0,581.45,False,508.04,exceeds_preferred_stops,"Boeing 737-800, Boeing 737-800, Boeing 737 MAX 9","S, S, S",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HTgWL3pt1A8FqmKxKjZacH1,2026-09-04T08:23:00Z,2026-09-04T22:56:00Z,0,
alaska,Alaska Atmos Rewards,False,1.5,"AS1411, AS2243, AS1435",economy,2,"PDX, SEA",AS,5,True,True,08:23,22:56,813,27500,11.2,USD,11.2,live:2026-06-11,412.5,423.7,100.0,67.75,0.0,0,10.0,581.45,False,508.04,exceeds_preferred_stops,"Boeing 737-800, Embraer E175, Boeing 737 MAX 9","S, S, S",32o6js6xnpyc6qNC6UxkMiplfWh,3Eh6HQnnXIg6xm3cHGejHKh9Ey7,2026-09-04T08:23:00Z,2026-09-04T22:56:00Z,0,
