source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS1435",business,1,SEA,AS,9,True,True,06:00,22:59,959,47500,11.2,USD,11.2,cache:2026-06-04,712.5,723.7,50.0,79.92,50.0,0,18.0,885.62,False,723.7,early departure,"Boeing 737-900, Boeing 737-900","D, D",32o6js6xnpyc6qNC6UxkMiplfWh,3DE0BINKYupGdpyIApXeFSCLifW,2026-09-04T06:00:00Z,2026-09-04T22:59:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS1435",economy,1,SEA,AS,9,True,True,06:00,22:59,959,32500,11.2,USD,11.2,cache:2026-06-04,487.5,498.7,50.0,79.92,50.0,0,18.0,660.62,False,508.36,early departure,"Boeing 737-900, Boeing 737-900","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3DE0BLVWJg94qQLqDIzSTa1iCme,2026-09-04T06:00:00Z,2026-09-04T22:59:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS2230",business,1,SEA,AS,8,True,True,06:00,12:22,322,47500,5.6,USD,5.6,cache:2026-06-04,712.5,718.1,50.0,26.83,50.0,0,16.0,828.93,False,723.7,early departure,"Boeing 737-900, Embraer E175","D, D",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsXPLecZVRfJ2Y1xgYbEZapW,2026-09-04T06:00:00Z,2026-09-04T12:22:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS2230",economy,1,SEA,AS,9,True,True,06:00,12:22,322,32500,5.6,USD,5.6,cache:2026-06-04,487.5,493.1,50.0,26.83,50.0,0,18.0,601.93,False,508.36,early departure,"Boeing 737-900, Embraer E175","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsbxalLe6HIU5B2jLAIFbOdv,2026-09-04T06:00:00Z,2026-09-04T12:22:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS660",business,1,SEA,AS,9,True,True,06:00,15:17,497,47500,11.2,USD,11.2,cache:2026-06-04,712.5,723.7,50.0,41.42,50.0,0,18.0,847.12,False,723.7,early departure,"Boeing 737-900, Boeing 737-900","D, D",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsXYPtyFcPZFIFuOmtAoUp6O,2026-09-04T06:00:00Z,2026-09-04T15:17:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS580, AS660",economy,1,SEA,AS,9,True,True,06:00,15:17,497,32500,11.2,USD,11.2,cache:2026-06-04,487.5,498.7,50.0,41.42,50.0,0,18.0,622.12,False,508.36,early departure,"Boeing 737-900, Boeing 737-900","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsWuF69ToxiLspvyDdKUdFtI,2026-09-04T06:00:00Z,2026-09-04T15:17:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS620, AS1435",business,1,SEA,AS,8,True,True,07:00,22:59,899,47500,11.2,USD,11.2,cache:2026-06-04,712.5,723.7,50.0,74.92,0.0,0,16.0,832.62,False,723.7,,"Boeing 737-900, Boeing 737-900","D, D",32o6js6xnpyc6qNC6UxkMiplfWh,3DE0BN5uBUqT8dExE27y2XO3nHv,2026-09-04T07:00:00Z,2026-09-04T22:59:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS620, AS1435",economy,1,SEA,AS,9,True,True,07:00,22:59,899,32500,11.2,USD,11.2,cache:2026-06-04,487.5,498.7,50.0,74.92,0.0,0,18.0,605.62,False,508.36,,"Boeing 737-900, Boeing 737-900","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3DE0BMBoRfJSxDdgjoGZW4cx567,2026-09-04T07:00:00Z,2026-09-04T22:59:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS620, AS2230",business,1,SEA,AS,8,True,True,07:00,12:22,262,47500,5.6,USD,5.6,cache:2026-06-04,712.5,718.1,50.0,21.83,0.0,0,16.0,773.93,False,723.7,,"Boeing 737-900, Embraer E175","D, D",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsXUZSrbnKGwflu9AJFBvgw5,2026-09-04T07:00:00Z,2026-09-04T12:22:00Z
alaska,Alaska Atmos Rewards,False,1.5,"AS620, AS2230",economy,1,SEA,AS,9,True,True,07:00,12:22,262,32500,5.6,USD,5.6,cache:2026-06-04,487.5,493.1,50.0,21.83,0.0,0,18.0,546.93,False,508.36,,"Boeing 737-900, Embraer E175","V, V",32o6js6xnpyc6qNC6UxkMiplfWh,3BggsdnSfypKANvff2G5ja9hJiJ,2026-09-04T07:00:00Z,2026-09-04T12:22:00Z
