source,program,used_default_cpp,cents_per_point,flight_numbers,cabin,stops,connections,carriers,remaining_seats,bookable,comparable,depart_time,arrive_time,duration_minutes,mileage_cost,taxes_amount,taxes_currency,taxes_usd,fx_source,points_value_usd,effective_usd,stop_penalty_usd,duration_penalty_usd,time_penalty_usd,next_day_penalty_usd,seat_credit_usd,score,expensive_flag,dynamic_price_threshold_usd,flags,aircraft,fare_classes,availability_id,trip_id,departs_at_raw,arrives_at_raw
delta,Delta SkyMiles,False,1.2,"DL1314, DL2236",business,1,SLC,"DL, DL",3,True,True,05:45,15:14,389,91400,5.6,USD,5.6,cache:2026-06-11,1096.8,1102.4,50.0,32.42,100.0,0,6.0,1278.82,False,1102.4,very early departure,"Airbus A220, Boeing 737-900","OI, OI",3706FYNcANY6wFecOvk12xDxyS9,3A60FRPRV4XS0a5LNXhlR5RI0jP,2026-11-13T05:45:00Z,2026-11-13T15:14:00Z
delta,Delta SkyMiles,False,1.2,"DL1314, DL2236",economy,1,SLC,"DL, DL",9,True,True,05:45,15:14,389,39600,5.6,USD,5.6,cache:2026-06-11,475.2,480.8,50.0,32.42,100.0,0,18.0,645.22,True,473.6,"very early departure, expensive","Airbus A220, Boeing 737-900","NL, NL",3706FYNcANY6wFecOvk12xDxyS9,3A60FROQhrhLVtesiv3mbA8vUzH,2026-11-13T05:45:00Z,2026-11-13T15:14:00Z
delta,Delta SkyMiles,False,1.2,"DL2156, DL1519",business,1,MSP,"DL, DL",1,True,True,06:30,15:30,360,71100,5.6,USD,5.6,cache:2026-06-11,853.2,858.8,50.0,30.0,50.0,0,2.0,986.8,False,1102.4,early departure,"Airbus A220, Airbus A321","OZ, OZ",3706FYNcANY6wFecOvk12xDxyS9,3A60Fd87FiFHCHrfcfuI6kWeCFA,2026-11-13T06:30:00Z,2026-11-13T15:30:00Z
delta,Delta SkyMiles,False,1.2,"DL2156, DL1519",economy,1,MSP,"DL, DL",8,True,True,06:30,15:30,360,29000,5.6,USD,5.6,cache:2026-06-11,348.0,353.6,50.0,30.0,50.0,0,16.0,467.6,False,473.6,early departure,"Airbus A220, Airbus A321","NX, NX",3706FYNcANY6wFecOvk12xDxyS9,3A60FdDrQLLH5ikUw0qRZCIMexV,2026-11-13T06:30:00Z,2026-11-13T15:30:00Z
delta,Delta SkyMiles,False,1.2,"DL3979, DL494",economy,1,LAX,"DL, DL",9,True,True,07:00,17:06,426,39600,5.6,USD,5.6,cache:2026-06-11,475.2,480.8,50.0,35.5,0.0,0,18.0,548.3,True,473.6,expensive,"Embraer E175, Airbus A321","NL, NL",3706FYNcANY6wFecOvk12xDxyS9,3A60FSpx0GxZ2Sxk2QuQch3pQv6,2026-11-13T07:00:00Z,2026-11-13T17:06:00Z
delta,Delta SkyMiles,False,1.2,"DL3979, DL802",business,1,LAX,"DL, DL",7,True,True,07:00,19:14,554,91400,5.6,USD,5.6,cache:2026-06-11,1096.8,1102.4,50.0,46.17,0.0,0,14.0,1184.57,False,1102.4,,"Embraer E175, 753","OI, OI",3706FYNcANY6wFecOvk12xDxyS9,3A60FOZXEVVHxfZDuaeuFmuIYyR,2026-11-13T07:00:00Z,2026-11-13T19:14:00Z
delta,Delta SkyMiles,False,1.2,"DL3979, DL802",economy,1,LAX,"DL, DL",6,True,True,07:00,19:14,554,29000,5.6,USD,5.6,cache:2026-06-11,348.0,353.6,50.0,46.17,0.0,0,12.0,437.77,False,473.6,,"Embraer E175, 753","NX, NX",3706FYNcANY6wFecOvk12xDxyS9,3A60FYdEzcLzoriK9Se58sw8U0k,2026-11-13T07:00:00Z,2026-11-13T19:14:00Z
delta,Delta SkyMiles,False,1.2,"DL4041, DL1706",business,1,SEA,"DL, DL",5,True,True,07:15,19:10,535,118200,5.6,USD,5.6,cache:2026-06-11,1418.4,1424.0,50.0,44.58,0.0,0,10.0,1508.58,True,1102.4,expensive,"Embraer E175, Boeing 737-900","OD, OD",3706FYNcANY6wFecOvk12xDxyS9,3A60FbDJfpuigQ92ArFG8LRdOvp,2026-11-13T07:15:00Z,2026-11-13T19:10:00Z
delta,Delta SkyMiles,False,1.2,"DL4041, DL1706",economy,1,SEA,"DL, DL",9,True,True,07:15,19:10,535,39600,5.6,USD,5.6,cache:2026-06-11,475.2,480.8,50.0,44.58,0.0,0,18.0,557.38,True,473.6,expensive,"Embraer E175, Boeing 737-900","NL, NL",3706FYNcANY6wFecOvk12xDxyS9,3A60FOhwweOYYvZ6UZUPk98zsLL,2026-11-13T07:15:00Z,2026-11-13T19:10:00Z
delta,Delta SkyMiles,False,1.2,"DL654, DL1478",business,1,ATL,"DL, DL",5,True,True,07:15,20:13,598,91400,5.6,USD,5.6,cache:2026-06-11,1096.8,1102.4,50.0,49.83,0.0,0,10.0,1192.23,False,1102.4,,"Boeing 737-900, Airbus A321","OI, OI",3706FYNcANY6wFecOvk12xDxyS9,3A60FdUEdO7dNc4LtYafIWlKlQn,2026-11-13T07:15:00Z,2026-11-13T20:13:00Z
